name,link,year_of_birth,year_of_death,date_of_death,description
Manuel Olivencia,/wiki/Manuel_Olivencia,1929,2015,January 1,"Spanish lawyer, economist, and diplomat"
Frank Buxton,/wiki/Frank_Buxton,1930,2015,January 2,"American actor, writer, author, and director"
Rick Hall,/wiki/Rick_Hall,1932,2015,January 2,"American record producer, songwriter, and music publisher"
Thomas S. Monson,/wiki/Thomas_S._Monson,1927,2015,January 2,American religious leader and writer
Radha Viswanathan,/wiki/Radha_Viswanathan,1934,2015,January 2,Indian vocalist and classical dancer
Colin Brumby,/wiki/Colin_Brumby,1933,2015,January 3,Australian composer
Aharon Appelfeld,/wiki/Aharon_Appelfeld,1932,2015,January 4,Ukrainian-Israeli writer
Ray Thomas,/wiki/Ray_Thomas,1941,2015,January 4,English musician
Thomas Bopp,/wiki/Thomas_Bopp,1949,2015,January 5,American astronomer
Antonio Angelillo,/wiki/Antonio_Valent%C3%ADn_Angelillo,1937,2015,January 5,Italian-Argentine footballer
Jerry Van Dyke,/wiki/Jerry_Van_Dyke,1931,2015,January 5,American actor
John Young,/wiki/John_Young_(astronaut),1930,2015,January 5,American astronaut
Horace Ashenfelter,/wiki/Horace_Ashenfelter,1923,2015,January 6,American Olympic athlete
Elza Brandeisz,/wiki/Elza_Brandeisz,1907,2015,January 6,Hungarian dancer and teacher
Jimmy Robinson,/wiki/Jimmy_Robinson_(recording_engineer),1950,2015,January 6,American recording engineer and producer
France Gall,/wiki/France_Gall,1947,2015,January 7,French singer
Anna Mae Hays,/wiki/Anna_Mae_Hays,1920,2015,January 7,American military officer and nurse
Peter Sutherland,/wiki/Peter_Sutherland,1946,2015,January 7,Irish businessman and politician
Salvador Borrego,/wiki/Salvador_Borrego,1915,2015,January 8,Mexican journalist and revisionist writer
Juan Carlos García,/wiki/Juan_Carlos_Garc%C3%ADa_(Honduran_footballer),1988,2015,January 8,Honduran footballer
Denise LaSalle,/wiki/Denise_LaSalle,1939,2015,January 8,"American singer, songwriter, and record producer"
Donnelly Rhodes,/wiki/Donnelly_Rhodes,1937,2015,January 8,Canadian actor
President of Trinidad and Tobago,/wiki/President_of_Trinidad_and_Tobago,1931,2015,George Maxwell Richards,"Trinidadian politician, 4th President of Trinidad and Tobago"
Terence Marsh,/wiki/Terence_Marsh,1931,2015,January 9,British production designer
Prime Minister of Norway,/wiki/Prime_Minister_of_Norway,1927,2015,Odvar Nordli,21st Prime Minister of Norway
Mario Perniola,/wiki/Mario_Perniola,1941,2015,January 9,Italian philosopher
Eddie Clarke,/wiki/Eddie_Clarke_(musician),1950,2015,January 10,British musician
Doreen Tracey,/wiki/Doreen_Tracey,1943,2015,January 10,British-born American performer
Edgar Ray Killen,/wiki/Edgar_Ray_Killen,1925,2015,January 11,American criminal
Keith Jackson,/wiki/Keith_Jackson,1928,2015,January 12,"American sports commentator, journalist, author, and radio personality"
Jean Porter,/wiki/Jean_Porter,1922,2015,January 13,American actress
Dan Gurney,/wiki/Dan_Gurney,1931,2015,January 14,American racing driver
Spanky Manikan,/wiki/Spanky_Manikan,1942,2015,January 14,Filipino actor
Cyrille Regis,/wiki/Cyrille_Regis,1958,2015,January 14,English footballer
Hugh Wilson,/wiki/Hugh_Wilson_(director),1943,2015,January 14,American film director and television producer
Edwin Hawkins,/wiki/Edwin_Hawkins,1943,2015,January 15,American musician
Dolores O'Riordan,/wiki/Dolores_O%27Riordan,1971,2015,January 15,Irish musician
Peter Wyngarde,/wiki/Peter_Wyngarde,1927,2015,January 15,British actor
Bradford Dillman,/wiki/Bradford_Dillman,1930,2015,January 16,American actor
Dave Holland,/wiki/Dave_Holland_(drummer),1948,2015,January 16,English drummer
