project,article,granularity,timestamp,access,agent,views
en.wikipedia,Anthony_Bourdain,daily,2015070100,all-access,user,3340
en.wikipedia,Anthony_Bourdain,daily,2015070200,all-access,user,4377
en.wikipedia,Anthony_Bourdain,daily,2015070300,all-access,user,3091
en.wikipedia,Anthony_Bourdain,daily,2015070400,all-access,user,9061
en.wikipedia,Anthony_Bourdain,daily,2015070500,all-access,user,4023
en.wikipedia,Anthony_Bourdain,daily,2015070600,all-access,user,7031
en.wikipedia,Anthony_Bourdain,daily,2015070700,all-access,user,6453
en.wikipedia,Anthony_Bourdain,daily,2015070800,all-access,user,4498
en.wikipedia,Anthony_Bourdain,daily,2015070900,all-access,user,4110
en.wikipedia,Anthony_Bourdain,daily,2015071000,all-access,user,3768
en.wikipedia,Anthony_Bourdain,daily,2015071100,all-access,user,3752
en.wikipedia,Anthony_Bourdain,daily,2015071200,all-access,user,4019
en.wikipedia,Anthony_Bourdain,daily,2015071300,all-access,user,4066
en.wikipedia,Anthony_Bourdain,daily,2015071400,all-access,user,3898
en.wikipedia,Anthony_Bourdain,daily,2015071500,all-access,user,4915
en.wikipedia,Anthony_Bourdain,daily,2015071600,all-access,user,5422
en.wikipedia,Anthony_Bourdain,daily,2015071700,all-access,user,3611
en.wikipedia,Anthony_Bourdain,daily,2015071800,all-access,user,3161
en.wikipedia,Anthony_Bourdain,daily,2015071900,all-access,user,3508
en.wikipedia,Anthony_Bourdain,daily,2015072000,all-access,user,3535
en.wikipedia,Anthony_Bourdain,daily,2015072100,all-access,user,3620
en.wikipedia,Anthony_Bourdain,daily,2015072200,all-access,user,3503
en.wikipedia,Anthony_Bourdain,daily,2015072300,all-access,user,3227
en.wikipedia,Anthony_Bourdain,daily,2015072400,all-access,user,2810
en.wikipedia,Anthony_Bourdain,daily,2015072500,all-access,user,6338
en.wikipedia,Anthony_Bourdain,daily,2015072600,all-access,user,4077
en.wikipedia,Anthony_Bourdain,daily,2015072700,all-access,user,4308
en.wikipedia,Anthony_Bourdain,daily,2015072800,all-access,user,4141
en.wikipedia,Anthony_Bourdain,daily,2015072900,all-access,user,3754
en.wikipedia,Anthony_Bourdain,daily,2015073000,all-access,user,3210
en.wikipedia,Anthony_Bourdain,daily,2015073100,all-access,user,3346
en.wikipedia,Anthony_Bourdain,daily,2015080100,all-access,user,3617
en.wikipedia,Anthony_Bourdain,daily,2015080200,all-access,user,3483
en.wikipedia,Anthony_Bourdain,daily,2015080300,all-access,user,3100
en.wikipedia,Anthony_Bourdain,daily,2015080400,all-access,user,3129
en.wikipedia,Anthony_Bourdain,daily,2015080500,all-access,user,3467
en.wikipedia,Anthony_Bourdain,daily,2015080600,all-access,user,3474
en.wikipedia,Anthony_Bourdain,daily,2015080700,all-access,user,2785
en.wikipedia,Anthony_Bourdain,daily,2015080800,all-access,user,2944
en.wikipedia,Anthony_Bourdain,daily,2015080900,all-access,user,3419
en.wikipedia,Anthony_Bourdain,daily,2015081000,all-access,user,3256
en.wikipedia,Anthony_Bourdain,daily,2015081100,all-access,user,3089
en.wikipedia,Anthony_Bourdain,daily,2015081200,all-access,user,4730
en.wikipedia,Anthony_Bourdain,daily,2015081300,all-access,user,3423
en.wikipedia,Anthony_Bourdain,daily,2015081400,all-access,user,3423
en.wikipedia,Anthony_Bourdain,daily,2015081500,all-access,user,4167
en.wikipedia,Anthony_Bourdain,daily,2015081600,all-access,user,4182
en.wikipedia,Anthony_Bourdain,daily,2015081700,all-access,user,4189
en.wikipedia,Anthony_Bourdain,daily,2015081800,all-access,user,3571
en.wikipedia,Anthony_Bourdain,daily,2015081900,all-access,user,4010
en.wikipedia,Anthony_Bourdain,daily,2015082000,all-access,user,3444
en.wikipedia,Anthony_Bourdain,daily,2015082100,all-access,user,3622
en.wikipedia,Anthony_Bourdain,daily,2015082200,all-access,user,2867
en.wikipedia,Anthony_Bourdain,daily,2015082300,all-access,user,3184
en.wikipedia,Anthony_Bourdain,daily,2015082400,all-access,user,3199
en.wikipedia,Anthony_Bourdain,daily,2015082500,all-access,user,3129
en.wikipedia,Anthony_Bourdain,daily,2015082600,all-access,user,2945
en.wikipedia,Anthony_Bourdain,daily,2015082700,all-access,user,2718
en.wikipedia,Anthony_Bourdain,daily,2015082800,all-access,user,2630
en.wikipedia,Anthony_Bourdain,daily,2015082900,all-access,user,8592
en.wikipedia,Anthony_Bourdain,daily,2015083000,all-access,user,3163
