project,article,granularity,timestamp,access,agent,views
en.wikipedia,Aretha_Franklin,daily,2015070100,all-access,user,2580
en.wikipedia,Aretha_Franklin,daily,2015070200,all-access,user,2333
en.wikipedia,Aretha_Franklin,daily,2015070300,all-access,user,2310
en.wikipedia,Aretha_Franklin,daily,2015070400,all-access,user,2649
en.wikipedia,Aretha_Franklin,daily,2015070500,all-access,user,3611
en.wikipedia,Aretha_Franklin,daily,2015070600,all-access,user,2600
en.wikipedia,Aretha_Franklin,daily,2015070700,all-access,user,2552
en.wikipedia,Aretha_Franklin,daily,2015070800,all-access,user,2457
en.wikipedia,Aretha_Franklin,daily,2015070900,all-access,user,2377
en.wikipedia,Aretha_Franklin,daily,2015071000,all-access,user,2299
en.wikipedia,Aretha_Franklin,daily,2015071100,all-access,user,2564
en.wikipedia,Aretha_Franklin,daily,2015071200,all-access,user,3857
en.wikipedia,Aretha_Franklin,daily,2015071300,all-access,user,2340
en.wikipedia,Aretha_Franklin,daily,2015071400,all-access,user,2302
en.wikipedia,Aretha_Franklin,daily,2015071500,all-access,user,2092
en.wikipedia,Aretha_Franklin,daily,2015071600,all-access,user,2138
en.wikipedia,Aretha_Franklin,daily,2015071700,all-access,user,2192
en.wikipedia,Aretha_Franklin,daily,2015071800,all-access,user,2376
en.wikipedia,Aretha_Franklin,daily,2015071900,all-access,user,3379
en.wikipedia,Aretha_Franklin,daily,2015072000,all-access,user,2266
en.wikipedia,Aretha_Franklin,daily,2015072100,all-access,user,2260
en.wikipedia,Aretha_Franklin,daily,2015072200,all-access,user,2365
en.wikipedia,Aretha_Franklin,daily,2015072300,all-access,user,2233
en.wikipedia,Aretha_Franklin,daily,2015072400,all-access,user,2281
en.wikipedia,Aretha_Franklin,daily,2015072500,all-access,user,2301
en.wikipedia,Aretha_Franklin,daily,2015072600,all-access,user,2562
en.wikipedia,Aretha_Franklin,daily,2015072700,all-access,user,4560
en.wikipedia,Aretha_Franklin,daily,2015072800,all-access,user,3165
en.wikipedia,Aretha_Franklin,daily,2015072900,all-access,user,2876
en.wikipedia,Aretha_Franklin,daily,2015073000,all-access,user,10014
en.wikipedia,Aretha_Franklin,daily,2015073100,all-access,user,3638
en.wikipedia,Aretha_Franklin,daily,2015080100,all-access,user,3149
en.wikipedia,Aretha_Franklin,daily,2015080200,all-access,user,3334
en.wikipedia,Aretha_Franklin,daily,2015080300,all-access,user,3170
en.wikipedia,Aretha_Franklin,daily,2015080400,all-access,user,2903
en.wikipedia,Aretha_Franklin,daily,2015080500,all-access,user,3031
en.wikipedia,Aretha_Franklin,daily,2015080600,all-access,user,3206
en.wikipedia,Aretha_Franklin,daily,2015080700,all-access,user,3068
en.wikipedia,Aretha_Franklin,daily,2015080800,all-access,user,2691
en.wikipedia,Aretha_Franklin,daily,2015080900,all-access,user,2945
en.wikipedia,Aretha_Franklin,daily,2015081000,all-access,user,2643
en.wikipedia,Aretha_Franklin,daily,2015081100,all-access,user,4236
en.wikipedia,Aretha_Franklin,daily,2015081200,all-access,user,3137
en.wikipedia,Aretha_Franklin,daily,2015081300,all-access,user,2600
en.wikipedia,Aretha_Franklin,daily,2015081400,all-access,user,2671
en.wikipedia,Aretha_Franklin,daily,2015081500,all-access,user,2958
en.wikipedia,Aretha_Franklin,daily,2015081600,all-access,user,2800
en.wikipedia,Aretha_Franklin,daily,2015081700,all-access,user,2591
en.wikipedia,Aretha_Franklin,daily,2015081800,all-access,user,2626
en.wikipedia,Aretha_Franklin,daily,2015081900,all-access,user,2876
en.wikipedia,Aretha_Franklin,daily,2015082000,all-access,user,2600
en.wikipedia,Aretha_Franklin,daily,2015082100,all-access,user,2799
en.wikipedia,Aretha_Franklin,daily,2015082200,all-access,user,2493
en.wikipedia,Aretha_Franklin,daily,2015082300,all-access,user,2975
en.wikipedia,Aretha_Franklin,daily,2015082400,all-access,user,2493
en.wikipedia,Aretha_Franklin,daily,2015082500,all-access,user,2456
en.wikipedia,Aretha_Franklin,daily,2015082600,all-access,user,2833
en.wikipedia,Aretha_Franklin,daily,2015082700,all-access,user,2909
en.wikipedia,Aretha_Franklin,daily,2015082800,all-access,user,3195
en.wikipedia,Aretha_Franklin,daily,2015082900,all-access,user,2870
en.wikipedia,Aretha_Franklin,daily,2015083000,all-access,user,2790
en.wikipedia,Aretha_Franklin,daily,2015083100,all-access,user,2738
en.wikipedia,Aretha_Franklin,daily,2015090100,all-access,user,2252
en.wikipedia,Aretha_Franklin,daily,2015090200,all-access,user,2486
en.wikipedia,Aretha_Franklin,daily,2015090300,all-access,user,2378
en.wikipedia,Aretha_Franklin,daily,2015090400,all-access,user,2573
en.wikipedia,Aretha_Franklin,daily,2015090500,all-access,user,4571
en.wikipedia,Aretha_Franklin,daily,2015090600,all-access,user,4018
en.wikipedia,Aretha_Franklin,daily,2015090700,all-access,user,3461
en.wikipedia,Aretha_Franklin,daily,2015090800,all-access,user,2660
en.wikipedia,Aretha_Franklin,daily,2015090900,all-access,user,3293
en.wikipedia,Aretha_Franklin,daily,2015091000,all-access,user,2689
en.wikipedia,Aretha_Franklin,daily,2015091100,all-access,user,2443
en.wikipedia,Aretha_Franklin,daily,2015091200,all-access,user,2450
en.wikipedia,Aretha_Franklin,daily,2015091300,all-access,user,2524
en.wikipedia,Aretha_Franklin,daily,2015091400,all-access,user,2808
en.wikipedia,Aretha_Franklin,daily,2015091500,all-access,user,3126
en.wikipedia,Aretha_Franklin,daily,2015091600,all-access,user,2636
en.wikipedia,Aretha_Franklin,daily,2015091700,all-access,user,2371
en.wikipedia,Aretha_Franklin,daily,2015091800,all-access,user,2368
en.wikipedia,Aretha_Franklin,daily,2015091900,all-access,user,2394
en.wikipedia,Aretha_Franklin,daily,2015092000,all-access,user,2421
en.wikipedia,Aretha_Franklin,daily,2015092100,all-access,user,2528
en.wikipedia,Aretha_Franklin,daily,2015092200,all-access,user,2499
en.wikipedia,Aretha_Franklin,daily,2015092300,all-access,user,2512
en.wikipedia,Aretha_Franklin,daily,2015092400,all-access,user,2630
en.wikipedia,Aretha_Franklin,daily,2015092500,all-access,user,3225
en.wikipedia,Aretha_Franklin,daily,2015092600,all-access,user,4382
en.wikipedia,Aretha_Franklin,daily,2015092700,all-access,user,22580
en.wikipedia,Aretha_Franklin,daily,2015092800,all-access,user,3598
en.wikipedia,Aretha_Franklin,daily,2015092900,all-access,user,2654
en.wikipedia,Aretha_Franklin,daily,2015093000,all-access,user,2438
en.wikipedia,Aretha_Franklin,daily,2015100100,all-access,user,2197
en.wikipedia,Aretha_Franklin,daily,2015100200,all-access,user,2662
en.wikipedia,Aretha_Franklin,daily,2015100300,all-access,user,2876
en.wikipedia,Aretha_Franklin,daily,2015100400,all-access,user,2934
en.wikipedia,Aretha_Franklin,daily,2015100500,all-access,user,2401
en.wikipedia,Aretha_Franklin,daily,2015100600,all-access,user,2440
en.wikipedia,Aretha_Franklin,daily,2015100700,all-access,user,2402
en.wikipedia,Aretha_Franklin,daily,2015100800,all-access,user,2309
en.wikipedia,Aretha_Franklin,daily,2015100900,all-access,user,2457
en.wikipedia,Aretha_Franklin,daily,2015101000,all-access,user,2480
en.wikipedia,Aretha_Franklin,daily,2015101100,all-access,user,2875
en.wikipedia,Aretha_Franklin,daily,2015101200,all-access,user,2373
en.wikipedia,Aretha_Franklin,daily,2015101300,all-access,user,2167
en.wikipedia,Aretha_Franklin,daily,2015101400,all-access,user,2223
en.wikipedia,Aretha_Franklin,daily,2015101500,all-access,user,2306
en.wikipedia,Aretha_Franklin,daily,2015101600,all-access,user,2293
en.wikipedia,Aretha_Franklin,daily,2015101700,all-access,user,2372
en.wikipedia,Aretha_Franklin,daily,2015101800,all-access,user,2528
en.wikipedia,Aretha_Franklin,daily,2015101900,all-access,user,2539
en.wikipedia,Aretha_Franklin,daily,2015102000,all-access,user,2433
en.wikipedia,Aretha_Franklin,daily,2015102100,all-access,user,2224
en.wikipedia,Aretha_Franklin,daily,2015102200,all-access,user,2387
en.wikipedia,Aretha_Franklin,daily,2015102300,all-access,user,2370
en.wikipedia,Aretha_Franklin,daily,2015102400,all-access,user,2539
en.wikipedia,Aretha_Franklin,daily,2015102500,all-access,user,2672
en.wikipedia,Aretha_Franklin,daily,2015102600,all-access,user,2812
en.wikipedia,Aretha_Franklin,daily,2015102700,all-access,user,2583
en.wikipedia,Aretha_Franklin,daily,2015102800,all-access,user,2452
en.wikipedia,Aretha_Franklin,daily,2015102900,all-access,user,2728
en.wikipedia,Aretha_Franklin,daily,2015103000,all-access,user,2295
en.wikipedia,Aretha_Franklin,daily,2015103100,all-access,user,2183
en.wikipedia,Aretha_Franklin,daily,2015110100,all-access,user,2318
en.wikipedia,Aretha_Franklin,daily,2015110200,all-access,user,2582
en.wikipedia,Aretha_Franklin,daily,2015110300,all-access,user,2242
en.wikipedia,Aretha_Franklin,daily,2015110400,all-access,user,3274
en.wikipedia,Aretha_Franklin,daily,2015110500,all-access,user,2567
en.wikipedia,Aretha_Franklin,daily,2015110600,all-access,user,2761
en.wikipedia,Aretha_Franklin,daily,2015110700,all-access,user,2802
en.wikipedia,Aretha_Franklin,daily,2015110800,all-access,user,2708
en.wikipedia,Aretha_Franklin,daily,2015110900,all-access,user,2346
en.wikipedia,Aretha_Franklin,daily,2015111000,all-access,user,2280
en.wikipedia,Aretha_Franklin,daily,2015111100,all-access,user,2371
en.wikipedia,Aretha_Franklin,daily,2015111200,all-access,user,2514
en.wikipedia,Aretha_Franklin,daily,2015111300,all-access,user,2337
en.wikipedia,Aretha_Franklin,daily,2015111400,all-access,user,2448
en.wikipedia,Aretha_Franklin,daily,2015111500,all-access,user,2630
en.wikipedia,Aretha_Franklin,daily,2015111600,all-access,user,2456
en.wikipedia,Aretha_Franklin,daily,2015111700,all-access,user,2385
en.wikipedia,Aretha_Franklin,daily,2015111800,all-access,user,2397
en.wikipedia,Aretha_Franklin,daily,2015111900,all-access,user,2478
en.wikipedia,Aretha_Franklin,daily,2015112000,all-access,user,2393
en.wikipedia,Aretha_Franklin,daily,2015112100,all-access,user,2573
en.wikipedia,Aretha_Franklin,daily,2015112200,all-access,user,2825
en.wikipedia,Aretha_Franklin,daily,2015112300,all-access,user,2536
en.wikipedia,Aretha_Franklin,daily,2015112400,all-access,user,2380
en.wikipedia,Aretha_Franklin,daily,2015112500,all-access,user,2739
en.wikipedia,Aretha_Franklin,daily,2015112600,all-access,user,4067
en.wikipedia,Aretha_Franklin,daily,2015112700,all-access,user,3238
en.wikipedia,Aretha_Franklin,daily,2015112800,all-access,user,2807
en.wikipedia,Aretha_Franklin,daily,2015112900,all-access,user,3052
en.wikipedia,Aretha_Franklin,daily,2015113000,all-access,user,2697
en.wikipedia,Aretha_Franklin,daily,2015120100,all-access,user,2467
en.wikipedia,Aretha_Franklin,daily,2015120200,all-access,user,2466
en.wikipedia,Aretha_Franklin,daily,2015120300,all-access,user,2325
en.wikipedia,Aretha_Franklin,daily,2015120400,all-access,user,2557
en.wikipedia,Aretha_Franklin,daily,2015120500,all-access,user,2351
en.wikipedia,Aretha_Franklin,daily,2015120600,all-access,user,2910
en.wikipedia,Aretha_Franklin,daily,2015120700,all-access,user,3316
en.wikipedia,Aretha_Franklin,daily,2015120800,all-access,user,3330
en.wikipedia,Aretha_Franklin,daily,2015120900,all-access,user,3193
en.wikipedia,Aretha_Franklin,daily,2015121000,all-access,user,3618
en.wikipedia,Aretha_Franklin,daily,2015121100,all-access,user,3045
en.wikipedia,Aretha_Franklin,daily,2015121200,all-access,user,2778
en.wikipedia,Aretha_Franklin,daily,2015121300,all-access,user,2675
en.wikipedia,Aretha_Franklin,daily,2015121400,all-access,user,2597
en.wikipedia,Aretha_Franklin,daily,2015121500,all-access,user,2743
en.wikipedia,Aretha_Franklin,daily,2015121600,all-access,user,2986
en.wikipedia,Aretha_Franklin,daily,2015121700,all-access,user,2555
en.wikipedia,Aretha_Franklin,daily,2015121800,all-access,user,2499
en.wikipedia,Aretha_Franklin,daily,2015121900,all-access,user,2601
en.wikipedia,Aretha_Franklin,daily,2015122000,all-access,user,2607
en.wikipedia,Aretha_Franklin,daily,2015122100,all-access,user,2722
en.wikipedia,Aretha_Franklin,daily,2015122200,all-access,user,2597
en.wikipedia,Aretha_Franklin,daily,2015122300,all-access,user,2541
en.wikipedia,Aretha_Franklin,daily,2015122400,all-access,user,2732
en.wikipedia,Aretha_Franklin,daily,2015122500,all-access,user,2439
en.wikipedia,Aretha_Franklin,daily,2015122600,all-access,user,2631
en.wikipedia,Aretha_Franklin,daily,2015122700,all-access,user,2889
en.wikipedia,Aretha_Franklin,daily,2015122800,all-access,user,2938
en.wikipedia,Aretha_Franklin,daily,2015122900,all-access,user,2649
en.wikipedia,Aretha_Franklin,daily,2015123000,all-access,user,58702
en.wikipedia,Aretha_Franklin,daily,2015123100,all-access,user,60742
en.wikipedia,Aretha_Franklin,daily,2016010100,all-access,user,28660
en.wikipedia,Aretha_Franklin,daily,2016010200,all-access,user,20269
en.wikipedia,Aretha_Franklin,daily,2016010300,all-access,user,11409
en.wikipedia,Aretha_Franklin,daily,2016010400,all-access,user,7573
en.wikipedia,Aretha_Franklin,daily,2016010500,all-access,user,5271
en.wikipedia,Aretha_Franklin,daily,2016010600,all-access,user,4358
en.wikipedia,Aretha_Franklin,daily,2016010700,all-access,user,3808
en.wikipedia,Aretha_Franklin,daily,2016010800,all-access,user,4488
en.wikipedia,Aretha_Franklin,daily,2016010900,all-access,user,4730
en.wikipedia,Aretha_Franklin,daily,2016011000,all-access,user,4009
en.wikipedia,Aretha_Franklin,daily,2016011100,all-access,user,3779
en.wikipedia,Aretha_Franklin,daily,2016011200,all-access,user,3302
en.wikipedia,Aretha_Franklin,daily,2016011300,all-access,user,2998
en.wikipedia,Aretha_Franklin,daily,2016011400,all-access,user,3371
en.wikipedia,Aretha_Franklin,daily,2016011500,all-access,user,3076
en.wikipedia,Aretha_Franklin,daily,2016011600,all-access,user,3321
en.wikipedia,Aretha_Franklin,daily,2016011700,all-access,user,3268
en.wikipedia,Aretha_Franklin,daily,2016011800,all-access,user,3204
en.wikipedia,Aretha_Franklin,daily,2016011900,all-access,user,3357
en.wikipedia,Aretha_Franklin,daily,2016012000,all-access,user,2812
en.wikipedia,Aretha_Franklin,daily,2016012100,all-access,user,2849
en.wikipedia,Aretha_Franklin,daily,2016012200,all-access,user,3399
en.wikipedia,Aretha_Franklin,daily,2016012300,all-access,user,4871
en.wikipedia,Aretha_Franklin,daily,2016012400,all-access,user,5128
en.wikipedia,Aretha_Franklin,daily,2016012500,all-access,user,3653
en.wikipedia,Aretha_Franklin,daily,2016012600,all-access,user,3062
en.wikipedia,Aretha_Franklin,daily,2016012700,all-access,user,3085
en.wikipedia,Aretha_Franklin,daily,2016012800,all-access,user,3814
en.wikipedia,Aretha_Franklin,daily,2016012900,all-access,user,3051
en.wikipedia,Aretha_Franklin,daily,2016013000,all-access,user,3406
en.wikipedia,Aretha_Franklin,daily,2016013100,all-access,user,3264
en.wikipedia,Aretha_Franklin,daily,2016020100,all-access,user,3356
en.wikipedia,Aretha_Franklin,daily,2016020200,all-access,user,3375
en.wikipedia,Aretha_Franklin,daily,2016020300,all-access,user,3464
en.wikipedia,Aretha_Franklin,daily,2016020400,all-access,user,3139
en.wikipedia,Aretha_Franklin,daily,2016020500,all-access,user,3292
en.wikipedia,Aretha_Franklin,daily,2016020600,all-access,user,3574
en.wikipedia,Aretha_Franklin,daily,2016020700,all-access,user,3189
en.wikipedia,Aretha_Franklin,daily,2016020800,all-access,user,3984
en.wikipedia,Aretha_Franklin,daily,2016020900,all-access,user,3507
en.wikipedia,Aretha_Franklin,daily,2016021000,all-access,user,3476
en.wikipedia,Aretha_Franklin,daily,2016021100,all-access,user,3295
en.wikipedia,Aretha_Franklin,daily,2016021200,all-access,user,3035
en.wikipedia,Aretha_Franklin,daily,2016021300,all-access,user,2965
en.wikipedia,Aretha_Franklin,daily,2016021400,all-access,user,3294
en.wikipedia,Aretha_Franklin,daily,2016021500,all-access,user,3194
en.wikipedia,Aretha_Franklin,daily,2016021600,all-access,user,3893
en.wikipedia,Aretha_Franklin,daily,2016021700,all-access,user,3541
en.wikipedia,Aretha_Franklin,daily,2016021800,all-access,user,3649
en.wikipedia,Aretha_Franklin,daily,2016021900,all-access,user,4392
en.wikipedia,Aretha_Franklin,daily,2016022000,all-access,user,3358
en.wikipedia,Aretha_Franklin,daily,2016022100,all-access,user,3299
en.wikipedia,Aretha_Franklin,daily,2016022200,all-access,user,3521
en.wikipedia,Aretha_Franklin,daily,2016022300,all-access,user,3421
en.wikipedia,Aretha_Franklin,daily,2016022400,all-access,user,3097
en.wikipedia,Aretha_Franklin,daily,2016022500,all-access,user,3258
en.wikipedia,Aretha_Franklin,daily,2016022600,all-access,user,3453
en.wikipedia,Aretha_Franklin,daily,2016022700,all-access,user,3154
en.wikipedia,Aretha_Franklin,daily,2016022800,all-access,user,3061
en.wikipedia,Aretha_Franklin,daily,2016022900,all-access,user,2881
en.wikipedia,Aretha_Franklin,daily,2016030100,all-access,user,2631
en.wikipedia,Aretha_Franklin,daily,2016030200,all-access,user,2422
en.wikipedia,Aretha_Franklin,daily,2016030300,all-access,user,2596
en.wikipedia,Aretha_Franklin,daily,2016030400,all-access,user,2782
en.wikipedia,Aretha_Franklin,daily,2016030500,all-access,user,2851
en.wikipedia,Aretha_Franklin,daily,2016030600,all-access,user,3179
en.wikipedia,Aretha_Franklin,daily,2016030700,all-access,user,2632
en.wikipedia,Aretha_Franklin,daily,2016030800,all-access,user,2681
en.wikipedia,Aretha_Franklin,daily,2016030900,all-access,user,2964
en.wikipedia,Aretha_Franklin,daily,2016031000,all-access,user,2826
en.wikipedia,Aretha_Franklin,daily,2016031100,all-access,user,2407
en.wikipedia,Aretha_Franklin,daily,2016031200,all-access,user,2401
en.wikipedia,Aretha_Franklin,daily,2016031300,all-access,user,2577
en.wikipedia,Aretha_Franklin,daily,2016031400,all-access,user,2630
en.wikipedia,Aretha_Franklin,daily,2016031500,all-access,user,2666
en.wikipedia,Aretha_Franklin,daily,2016031600,all-access,user,2491
en.wikipedia,Aretha_Franklin,daily,2016031700,all-access,user,2390
en.wikipedia,Aretha_Franklin,daily,2016031800,all-access,user,2364
