project,article,granularity,timestamp,access,agent,views
en.wikipedia,Avicii,daily,2015070100,all-access,user,4912
en.wikipedia,Avicii,daily,2015070200,all-access,user,5355
en.wikipedia,Avicii,daily,2015070300,all-access,user,6302
en.wikipedia,Avicii,daily,2015070400,all-access,user,6373
en.wikipedia,Avicii,daily,2015070500,all-access,user,5978
en.wikipedia,Avicii,daily,2015070600,all-access,user,5259
en.wikipedia,Avicii,daily,2015070700,all-access,user,5121
en.wikipedia,Avicii,daily,2015070800,all-access,user,5099
en.wikipedia,Avicii,daily,2015070900,all-access,user,5324
en.wikipedia,Avicii,daily,2015071000,all-access,user,5508
en.wikipedia,Avicii,daily,2015071100,all-access,user,14747
en.wikipedia,Avicii,daily,2015071200,all-access,user,7328
en.wikipedia,Avicii,daily,2015071300,all-access,user,6100
en.wikipedia,Avicii,daily,2015071400,all-access,user,5381
en.wikipedia,Avicii,daily,2015071500,all-access,user,5136
en.wikipedia,Avicii,daily,2015071600,all-access,user,4983
en.wikipedia,Avicii,daily,2015071700,all-access,user,5101
en.wikipedia,Avicii,daily,2015071800,all-access,user,5119
en.wikipedia,Avicii,daily,2015071900,all-access,user,5282
en.wikipedia,Avicii,daily,2015072000,all-access,user,4956
en.wikipedia,Avicii,daily,2015072100,all-access,user,4874
en.wikipedia,Avicii,daily,2015072200,all-access,user,4874
en.wikipedia,Avicii,daily,2015072300,all-access,user,4983
en.wikipedia,Avicii,daily,2015072400,all-access,user,5764
en.wikipedia,Avicii,daily,2015072500,all-access,user,6198
en.wikipedia,Avicii,daily,2015072600,all-access,user,5954
en.wikipedia,Avicii,daily,2015072700,all-access,user,5632
en.wikipedia,Avicii,daily,2015072800,all-access,user,5347
en.wikipedia,Avicii,daily,2015072900,all-access,user,5288
en.wikipedia,Avicii,daily,2015073000,all-access,user,5182
en.wikipedia,Avicii,daily,2015073100,all-access,user,5863
en.wikipedia,Avicii,daily,2015080100,all-access,user,6662
en.wikipedia,Avicii,daily,2015080200,all-access,user,5724
en.wikipedia,Avicii,daily,2015080300,all-access,user,5009
en.wikipedia,Avicii,daily,2015080400,all-access,user,5107
en.wikipedia,Avicii,daily,2015080500,all-access,user,5318
en.wikipedia,Avicii,daily,2015080600,all-access,user,4920
