project,article,granularity,timestamp,access,agent,views
en.wikipedia,Billy_Graham,daily,2015070100,all-access,user,2983
en.wikipedia,Billy_Graham,daily,2015070200,all-access,user,2612
en.wikipedia,Billy_Graham,daily,2015070300,all-access,user,2416
en.wikipedia,Billy_Graham,daily,2015070400,all-access,user,2339
en.wikipedia,Billy_Graham,daily,2015070500,all-access,user,2752
en.wikipedia,Billy_Graham,daily,2015070600,all-access,user,2582
en.wikipedia,Billy_Graham,daily,2015070700,all-access,user,2530
en.wikipedia,Billy_Graham,daily,2015070800,all-access,user,2330
en.wikipedia,Billy_Graham,daily,2015070900,all-access,user,2470
en.wikipedia,Billy_Graham,daily,2015071000,all-access,user,2247
en.wikipedia,Billy_Graham,daily,2015071100,all-access,user,2326
en.wikipedia,Billy_Graham,daily,2015071200,all-access,user,3094
en.wikipedia,Billy_Graham,daily,2015071300,all-access,user,2620
en.wikipedia,Billy_Graham,daily,2015071400,all-access,user,2511
en.wikipedia,Billy_Graham,daily,2015071500,all-access,user,2393
en.wikipedia,Billy_Graham,daily,2015071600,all-access,user,2461
en.wikipedia,Billy_Graham,daily,2015071700,all-access,user,2186
en.wikipedia,Billy_Graham,daily,2015071800,all-access,user,2389
en.wikipedia,Billy_Graham,daily,2015071900,all-access,user,3188
en.wikipedia,Billy_Graham,daily,2015072000,all-access,user,2638
en.wikipedia,Billy_Graham,daily,2015072100,all-access,user,2378
en.wikipedia,Billy_Graham,daily,2015072200,all-access,user,2497
en.wikipedia,Billy_Graham,daily,2015072300,all-access,user,2310
en.wikipedia,Billy_Graham,daily,2015072400,all-access,user,2276
en.wikipedia,Billy_Graham,daily,2015072500,all-access,user,2182
en.wikipedia,Billy_Graham,daily,2015072600,all-access,user,3129
en.wikipedia,Billy_Graham,daily,2015072700,all-access,user,2385
en.wikipedia,Billy_Graham,daily,2015072800,all-access,user,2434
en.wikipedia,Billy_Graham,daily,2015072900,all-access,user,2408
en.wikipedia,Billy_Graham,daily,2015073000,all-access,user,2235
en.wikipedia,Billy_Graham,daily,2015073100,all-access,user,2104
en.wikipedia,Billy_Graham,daily,2015080100,all-access,user,2110
en.wikipedia,Billy_Graham,daily,2015080200,all-access,user,2768
en.wikipedia,Billy_Graham,daily,2015080300,all-access,user,2115
en.wikipedia,Billy_Graham,daily,2015080400,all-access,user,2240
en.wikipedia,Billy_Graham,daily,2015080500,all-access,user,2214
en.wikipedia,Billy_Graham,daily,2015080600,all-access,user,2382
en.wikipedia,Billy_Graham,daily,2015080700,all-access,user,2199
en.wikipedia,Billy_Graham,daily,2015080800,all-access,user,2822
en.wikipedia,Billy_Graham,daily,2015080900,all-access,user,3438
en.wikipedia,Billy_Graham,daily,2015081000,all-access,user,3428
en.wikipedia,Billy_Graham,daily,2015081100,all-access,user,2661
en.wikipedia,Billy_Graham,daily,2015081200,all-access,user,2844
en.wikipedia,Billy_Graham,daily,2015081300,all-access,user,3484
en.wikipedia,Billy_Graham,daily,2015081400,all-access,user,2557
en.wikipedia,Billy_Graham,daily,2015081500,all-access,user,2738
en.wikipedia,Billy_Graham,daily,2015081600,all-access,user,3315
en.wikipedia,Billy_Graham,daily,2015081700,all-access,user,3111
en.wikipedia,Billy_Graham,daily,2015081800,all-access,user,5515
en.wikipedia,Billy_Graham,daily,2015081900,all-access,user,5215
en.wikipedia,Billy_Graham,daily,2015082000,all-access,user,6765
en.wikipedia,Billy_Graham,daily,2015082100,all-access,user,3165
en.wikipedia,Billy_Graham,daily,2015082200,all-access,user,6426
en.wikipedia,Billy_Graham,daily,2015082300,all-access,user,5022
en.wikipedia,Billy_Graham,daily,2015082400,all-access,user,3408
en.wikipedia,Billy_Graham,daily,2015082500,all-access,user,3191
en.wikipedia,Billy_Graham,daily,2015082600,all-access,user,2881
en.wikipedia,Billy_Graham,daily,2015082700,all-access,user,2685
en.wikipedia,Billy_Graham,daily,2015082800,all-access,user,2483
en.wikipedia,Billy_Graham,daily,2015082900,all-access,user,2747
en.wikipedia,Billy_Graham,daily,2015083000,all-access,user,3578
en.wikipedia,Billy_Graham,daily,2015083100,all-access,user,2866
en.wikipedia,Billy_Graham,daily,2015090100,all-access,user,2736
en.wikipedia,Billy_Graham,daily,2015090200,all-access,user,2570
en.wikipedia,Billy_Graham,daily,2015090300,all-access,user,2515
en.wikipedia,Billy_Graham,daily,2015090400,all-access,user,2443
en.wikipedia,Billy_Graham,daily,2015090500,all-access,user,2335
en.wikipedia,Billy_Graham,daily,2015090600,all-access,user,3264
en.wikipedia,Billy_Graham,daily,2015090700,all-access,user,2794
en.wikipedia,Billy_Graham,daily,2015090800,all-access,user,2694
en.wikipedia,Billy_Graham,daily,2015090900,all-access,user,2834
en.wikipedia,Billy_Graham,daily,2015091000,all-access,user,2615
en.wikipedia,Billy_Graham,daily,2015091100,all-access,user,2597
en.wikipedia,Billy_Graham,daily,2015091200,all-access,user,2372
en.wikipedia,Billy_Graham,daily,2015091300,all-access,user,4230
en.wikipedia,Billy_Graham,daily,2015091400,all-access,user,2976
en.wikipedia,Billy_Graham,daily,2015091500,all-access,user,2654
en.wikipedia,Billy_Graham,daily,2015091600,all-access,user,2772
en.wikipedia,Billy_Graham,daily,2015091700,all-access,user,2852
en.wikipedia,Billy_Graham,daily,2015091800,all-access,user,2886
en.wikipedia,Billy_Graham,daily,2015091900,all-access,user,2477
en.wikipedia,Billy_Graham,daily,2015092000,all-access,user,3180
en.wikipedia,Billy_Graham,daily,2015092100,all-access,user,3108
en.wikipedia,Billy_Graham,daily,2015092200,all-access,user,3343
en.wikipedia,Billy_Graham,daily,2015092300,all-access,user,3394
en.wikipedia,Billy_Graham,daily,2015092400,all-access,user,3157
en.wikipedia,Billy_Graham,daily,2015092500,all-access,user,3065
en.wikipedia,Billy_Graham,daily,2015092600,all-access,user,2818
en.wikipedia,Billy_Graham,daily,2015092700,all-access,user,3902
en.wikipedia,Billy_Graham,daily,2015092800,all-access,user,3011
en.wikipedia,Billy_Graham,daily,2015092900,all-access,user,2696
en.wikipedia,Billy_Graham,daily,2015093000,all-access,user,4199
en.wikipedia,Billy_Graham,daily,2015100100,all-access,user,2854
en.wikipedia,Billy_Graham,daily,2015100200,all-access,user,2747
en.wikipedia,Billy_Graham,daily,2015100300,all-access,user,2616
en.wikipedia,Billy_Graham,daily,2015100400,all-access,user,3685
en.wikipedia,Billy_Graham,daily,2015100500,all-access,user,3620
