project,article,granularity,timestamp,access,agent,views
en.wikipedia,Bruno_Sammartino,daily,2015070100,all-access,user,987
en.wikipedia,Bruno_Sammartino,daily,2015070200,all-access,user,925
en.wikipedia,Bruno_Sammartino,daily,2015070300,all-access,user,1017
en.wikipedia,Bruno_Sammartino,daily,2015070400,all-access,user,949
en.wikipedia,Bruno_Sammartino,daily,2015070500,all-access,user,1101
en.wikipedia,Bruno_Sammartino,daily,2015070600,all-access,user,981
en.wikipedia,Bruno_Sammartino,daily,2015070700,all-access,user,1087
en.wikipedia,Bruno_Sammartino,daily,2015070800,all-access,user,955
en.wikipedia,Bruno_Sammartino,daily,2015070900,all-access,user,971
en.wikipedia,Bruno_Sammartino,daily,2015071000,all-access,user,1038
en.wikipedia,Bruno_Sammartino,daily,2015071100,all-access,user,1051
en.wikipedia,Bruno_Sammartino,daily,2015071200,all-access,user,939
en.wikipedia,Bruno_Sammartino,daily,2015071300,all-access,user,922
en.wikipedia,Bruno_Sammartino,daily,2015071400,all-access,user,1027
en.wikipedia,Bruno_Sammartino,daily,2015071500,all-access,user,1058
en.wikipedia,Bruno_Sammartino,daily,2015071600,all-access,user,1242
en.wikipedia,Bruno_Sammartino,daily,2015071700,all-access,user,1400
en.wikipedia,Bruno_Sammartino,daily,2015071800,all-access,user,1058
en.wikipedia,Bruno_Sammartino,daily,2015071900,all-access,user,1108
en.wikipedia,Bruno_Sammartino,daily,2015072000,all-access,user,1428
en.wikipedia,Bruno_Sammartino,daily,2015072100,all-access,user,1271
en.wikipedia,Bruno_Sammartino,daily,2015072200,all-access,user,1559
en.wikipedia,Bruno_Sammartino,daily,2015072300,all-access,user,1303
en.wikipedia,Bruno_Sammartino,daily,2015072400,all-access,user,1741
en.wikipedia,Bruno_Sammartino,daily,2015072500,all-access,user,1590
en.wikipedia,Bruno_Sammartino,daily,2015072600,all-access,user,1433
en.wikipedia,Bruno_Sammartino,daily,2015072700,all-access,user,1282
en.wikipedia,Bruno_Sammartino,daily,2015072800,all-access,user,1483
en.wikipedia,Bruno_Sammartino,daily,2015072900,all-access,user,1114
en.wikipedia,Bruno_Sammartino,daily,2015073000,all-access,user,1133
en.wikipedia,Bruno_Sammartino,daily,2015073100,all-access,user,1556
en.wikipedia,Bruno_Sammartino,daily,2015080100,all-access,user,4004
en.wikipedia,Bruno_Sammartino,daily,2015080200,all-access,user,2190
en.wikipedia,Bruno_Sammartino,daily,2015080300,all-access,user,1810
en.wikipedia,Bruno_Sammartino,daily,2015080400,all-access,user,2318
en.wikipedia,Bruno_Sammartino,daily,2015080500,all-access,user,1658
en.wikipedia,Bruno_Sammartino,daily,2015080600,all-access,user,1430
en.wikipedia,Bruno_Sammartino,daily,2015080700,all-access,user,1434
en.wikipedia,Bruno_Sammartino,daily,2015080800,all-access,user,1167
en.wikipedia,Bruno_Sammartino,daily,2015080900,all-access,user,1217
en.wikipedia,Bruno_Sammartino,daily,2015081000,all-access,user,1177
en.wikipedia,Bruno_Sammartino,daily,2015081100,all-access,user,1402
en.wikipedia,Bruno_Sammartino,daily,2015081200,all-access,user,1218
en.wikipedia,Bruno_Sammartino,daily,2015081300,all-access,user,1103
en.wikipedia,Bruno_Sammartino,daily,2015081400,all-access,user,1109
en.wikipedia,Bruno_Sammartino,daily,2015081500,all-access,user,994
en.wikipedia,Bruno_Sammartino,daily,2015081600,all-access,user,1235
en.wikipedia,Bruno_Sammartino,daily,2015081700,all-access,user,1166
en.wikipedia,Bruno_Sammartino,daily,2015081800,all-access,user,1837
en.wikipedia,Bruno_Sammartino,daily,2015081900,all-access,user,1379
en.wikipedia,Bruno_Sammartino,daily,2015082000,all-access,user,1234
en.wikipedia,Bruno_Sammartino,daily,2015082100,all-access,user,1280
en.wikipedia,Bruno_Sammartino,daily,2015082200,all-access,user,1189
en.wikipedia,Bruno_Sammartino,daily,2015082300,all-access,user,1299
en.wikipedia,Bruno_Sammartino,daily,2015082400,all-access,user,1898
en.wikipedia,Bruno_Sammartino,daily,2015082500,all-access,user,5025
en.wikipedia,Bruno_Sammartino,daily,2015082600,all-access,user,2087
en.wikipedia,Bruno_Sammartino,daily,2015082700,all-access,user,1763
en.wikipedia,Bruno_Sammartino,daily,2015082800,all-access,user,1720
en.wikipedia,Bruno_Sammartino,daily,2015082900,all-access,user,1475
en.wikipedia,Bruno_Sammartino,daily,2015083000,all-access,user,1804
en.wikipedia,Bruno_Sammartino,daily,2015083100,all-access,user,1689
en.wikipedia,Bruno_Sammartino,daily,2015090100,all-access,user,2665
en.wikipedia,Bruno_Sammartino,daily,2015090200,all-access,user,2232
en.wikipedia,Bruno_Sammartino,daily,2015090300,all-access,user,1645
en.wikipedia,Bruno_Sammartino,daily,2015090400,all-access,user,1428
en.wikipedia,Bruno_Sammartino,daily,2015090500,all-access,user,1379
en.wikipedia,Bruno_Sammartino,daily,2015090600,all-access,user,1465
en.wikipedia,Bruno_Sammartino,daily,2015090700,all-access,user,1265
