project,article,granularity,timestamp,access,agent,views
en.wikipedia,Burt_Reynolds,daily,2015070100,all-access,user,3566
en.wikipedia,Burt_Reynolds,daily,2015070200,all-access,user,3571
en.wikipedia,Burt_Reynolds,daily,2015070300,all-access,user,4221
en.wikipedia,Burt_Reynolds,daily,2015070400,all-access,user,4530
en.wikipedia,Burt_Reynolds,daily,2015070500,all-access,user,4562
en.wikipedia,Burt_Reynolds,daily,2015070600,all-access,user,4338
en.wikipedia,Burt_Reynolds,daily,2015070700,all-access,user,3847
en.wikipedia,Burt_Reynolds,daily,2015070800,all-access,user,4486
en.wikipedia,Burt_Reynolds,daily,2015070900,all-access,user,4057
en.wikipedia,Burt_Reynolds,daily,2015071000,all-access,user,4369
en.wikipedia,Burt_Reynolds,daily,2015071100,all-access,user,6260
en.wikipedia,Burt_Reynolds,daily,2015071200,all-access,user,6199
en.wikipedia,Burt_Reynolds,daily,2015071300,all-access,user,6298
en.wikipedia,Burt_Reynolds,daily,2015071400,all-access,user,4830
en.wikipedia,Burt_Reynolds,daily,2015071500,all-access,user,5251
en.wikipedia,Burt_Reynolds,daily,2015071600,all-access,user,3706
en.wikipedia,Burt_Reynolds,daily,2015071700,all-access,user,3630
en.wikipedia,Burt_Reynolds,daily,2015071800,all-access,user,3931
en.wikipedia,Burt_Reynolds,daily,2015071900,all-access,user,4621
en.wikipedia,Burt_Reynolds,daily,2015072000,all-access,user,4736
en.wikipedia,Burt_Reynolds,daily,2015072100,all-access,user,4367
en.wikipedia,Burt_Reynolds,daily,2015072200,all-access,user,4455
en.wikipedia,Burt_Reynolds,daily,2015072300,all-access,user,4691
en.wikipedia,Burt_Reynolds,daily,2015072400,all-access,user,3613
en.wikipedia,Burt_Reynolds,daily,2015072500,all-access,user,3781
en.wikipedia,Burt_Reynolds,daily,2015072600,all-access,user,5061
en.wikipedia,Burt_Reynolds,daily,2015072700,all-access,user,5107
en.wikipedia,Burt_Reynolds,daily,2015072800,all-access,user,5047
en.wikipedia,Burt_Reynolds,daily,2015072900,all-access,user,4728
en.wikipedia,Burt_Reynolds,daily,2015073000,all-access,user,3959
en.wikipedia,Burt_Reynolds,daily,2015073100,all-access,user,4192
en.wikipedia,Burt_Reynolds,daily,2015080100,all-access,user,5137
en.wikipedia,Burt_Reynolds,daily,2015080200,all-access,user,6857
en.wikipedia,Burt_Reynolds,daily,2015080300,all-access,user,3909
en.wikipedia,Burt_Reynolds,daily,2015080400,all-access,user,4128
en.wikipedia,Burt_Reynolds,daily,2015080500,all-access,user,4907
en.wikipedia,Burt_Reynolds,daily,2015080600,all-access,user,4598
en.wikipedia,Burt_Reynolds,daily,2015080700,all-access,user,4093
en.wikipedia,Burt_Reynolds,daily,2015080800,all-access,user,4611
en.wikipedia,Burt_Reynolds,daily,2015080900,all-access,user,5484
en.wikipedia,Burt_Reynolds,daily,2015081000,all-access,user,4248
en.wikipedia,Burt_Reynolds,daily,2015081100,all-access,user,4277
en.wikipedia,Burt_Reynolds,daily,2015081200,all-access,user,3909
en.wikipedia,Burt_Reynolds,daily,2015081300,all-access,user,4406
en.wikipedia,Burt_Reynolds,daily,2015081400,all-access,user,4178
en.wikipedia,Burt_Reynolds,daily,2015081500,all-access,user,7008
en.wikipedia,Burt_Reynolds,daily,2015081600,all-access,user,9777
en.wikipedia,Burt_Reynolds,daily,2015081700,all-access,user,5189
en.wikipedia,Burt_Reynolds,daily,2015081800,all-access,user,5557
en.wikipedia,Burt_Reynolds,daily,2015081900,all-access,user,4047
en.wikipedia,Burt_Reynolds,daily,2015082000,all-access,user,4096
en.wikipedia,Burt_Reynolds,daily,2015082100,all-access,user,4375
en.wikipedia,Burt_Reynolds,daily,2015082200,all-access,user,5469
en.wikipedia,Burt_Reynolds,daily,2015082300,all-access,user,10160
en.wikipedia,Burt_Reynolds,daily,2015082400,all-access,user,4517
en.wikipedia,Burt_Reynolds,daily,2015082500,all-access,user,3832
en.wikipedia,Burt_Reynolds,daily,2015082600,all-access,user,3664
en.wikipedia,Burt_Reynolds,daily,2015082700,all-access,user,3780
en.wikipedia,Burt_Reynolds,daily,2015082800,all-access,user,3861
en.wikipedia,Burt_Reynolds,daily,2015082900,all-access,user,4440
en.wikipedia,Burt_Reynolds,daily,2015083000,all-access,user,5215
