project,article,granularity,timestamp,access,agent,views
en.wikipedia,Charles_Krauthammer,daily,2015070100,all-access,user,667
en.wikipedia,Charles_Krauthammer,daily,2015070200,all-access,user,801
en.wikipedia,Charles_Krauthammer,daily,2015070300,all-access,user,2245
en.wikipedia,Charles_Krauthammer,daily,2015070400,all-access,user,764
en.wikipedia,Charles_Krauthammer,daily,2015070500,all-access,user,643
en.wikipedia,Charles_Krauthammer,daily,2015070600,all-access,user,878
en.wikipedia,Charles_Krauthammer,daily,2015070700,all-access,user,2492
en.wikipedia,Charles_Krauthammer,daily,2015070800,all-access,user,3309
en.wikipedia,Charles_Krauthammer,daily,2015070900,all-access,user,1741
en.wikipedia,Charles_Krauthammer,daily,2015071000,all-access,user,1759
en.wikipedia,Charles_Krauthammer,daily,2015071100,all-access,user,852
en.wikipedia,Charles_Krauthammer,daily,2015071200,all-access,user,679
en.wikipedia,Charles_Krauthammer,daily,2015071300,all-access,user,814
en.wikipedia,Charles_Krauthammer,daily,2015071400,all-access,user,2522
en.wikipedia,Charles_Krauthammer,daily,2015071500,all-access,user,1066
en.wikipedia,Charles_Krauthammer,daily,2015071600,all-access,user,1096
en.wikipedia,Charles_Krauthammer,daily,2015071700,all-access,user,3002
en.wikipedia,Charles_Krauthammer,daily,2015071800,all-access,user,1081
en.wikipedia,Charles_Krauthammer,daily,2015071900,all-access,user,820
en.wikipedia,Charles_Krauthammer,daily,2015072000,all-access,user,908
en.wikipedia,Charles_Krauthammer,daily,2015072100,all-access,user,2845
en.wikipedia,Charles_Krauthammer,daily,2015072200,all-access,user,1090
en.wikipedia,Charles_Krauthammer,daily,2015072300,all-access,user,787
en.wikipedia,Charles_Krauthammer,daily,2015072400,all-access,user,1015
en.wikipedia,Charles_Krauthammer,daily,2015072500,all-access,user,739
en.wikipedia,Charles_Krauthammer,daily,2015072600,all-access,user,585
en.wikipedia,Charles_Krauthammer,daily,2015072700,all-access,user,911
en.wikipedia,Charles_Krauthammer,daily,2015072800,all-access,user,1419
en.wikipedia,Charles_Krauthammer,daily,2015072900,all-access,user,960
en.wikipedia,Charles_Krauthammer,daily,2015073000,all-access,user,1859
en.wikipedia,Charles_Krauthammer,daily,2015073100,all-access,user,3176
en.wikipedia,Charles_Krauthammer,daily,2015080100,all-access,user,984
en.wikipedia,Charles_Krauthammer,daily,2015080200,all-access,user,673
en.wikipedia,Charles_Krauthammer,daily,2015080300,all-access,user,642
en.wikipedia,Charles_Krauthammer,daily,2015080400,all-access,user,4792
en.wikipedia,Charles_Krauthammer,daily,2015080500,all-access,user,1239
en.wikipedia,Charles_Krauthammer,daily,2015080600,all-access,user,3874
en.wikipedia,Charles_Krauthammer,daily,2015080700,all-access,user,28258
en.wikipedia,Charles_Krauthammer,daily,2015080800,all-access,user,4648
en.wikipedia,Charles_Krauthammer,daily,2015080900,all-access,user,2204
en.wikipedia,Charles_Krauthammer,daily,2015081000,all-access,user,1692
en.wikipedia,Charles_Krauthammer,daily,2015081100,all-access,user,1569
en.wikipedia,Charles_Krauthammer,daily,2015081200,all-access,user,1582
en.wikipedia,Charles_Krauthammer,daily,2015081300,all-access,user,1070
en.wikipedia,Charles_Krauthammer,daily,2015081400,all-access,user,1170
en.wikipedia,Charles_Krauthammer,daily,2015081500,all-access,user,782
en.wikipedia,Charles_Krauthammer,daily,2015081600,all-access,user,619
en.wikipedia,Charles_Krauthammer,daily,2015081700,all-access,user,958
en.wikipedia,Charles_Krauthammer,daily,2015081800,all-access,user,3342
en.wikipedia,Charles_Krauthammer,daily,2015081900,all-access,user,1159
en.wikipedia,Charles_Krauthammer,daily,2015082000,all-access,user,1186
