project,article,granularity,timestamp,access,agent,views
en.wikipedia,D.J._Finney,daily,2015070200,all-access,user,2
en.wikipedia,D.J._Finney,daily,2015070300,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015070500,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015070700,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015071200,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015071300,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015071400,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015071500,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015071600,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015072000,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015072400,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015072500,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015072700,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015072800,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015072900,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015073000,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015073100,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015080100,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015080300,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015080400,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015080500,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015080600,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015080800,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015081000,all-access,user,3
en.wikipedia,D.J._Finney,daily,2015081100,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015081300,all-access,user,2
en.wikipedia,D.J._Finney,daily,2015081400,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015081600,all-access,user,2
en.wikipedia,D.J._Finney,daily,2015081700,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015081900,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015082000,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015082100,all-access,user,2
en.wikipedia,D.J._Finney,daily,2015082200,all-access,user,2
en.wikipedia,D.J._Finney,daily,2015082300,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015082400,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015082500,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015082700,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015082800,all-access,user,3
en.wikipedia,D.J._Finney,daily,2015083000,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015083100,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015090200,all-access,user,2
en.wikipedia,D.J._Finney,daily,2015090300,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015090400,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015090600,all-access,user,3
en.wikipedia,D.J._Finney,daily,2015090700,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015090800,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015090900,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015091000,all-access,user,2
en.wikipedia,D.J._Finney,daily,2015091100,all-access,user,3
en.wikipedia,D.J._Finney,daily,2015091200,all-access,user,2
en.wikipedia,D.J._Finney,daily,2015091400,all-access,user,4
en.wikipedia,D.J._Finney,daily,2015091500,all-access,user,4
en.wikipedia,D.J._Finney,daily,2015091600,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015091700,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015091800,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015091900,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015092000,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015092100,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015092200,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015092300,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015092400,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015092500,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015092600,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015092700,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015092800,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015092900,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015093000,all-access,user,2
en.wikipedia,D.J._Finney,daily,2015100100,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015100200,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015100400,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015100500,all-access,user,2
en.wikipedia,D.J._Finney,daily,2015100700,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015100800,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015100900,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015101100,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015101200,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015101400,all-access,user,1
en.wikipedia,D.J._Finney,daily,2015101600,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015101700,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015101800,all-access,user,0
en.wikipedia,D.J._Finney,daily,2015101900,all-access,user,1
