project,article,granularity,timestamp,access,agent,views
en.wikipedia,Dennis_Nilsen,daily,2015070100,all-access,user,641
en.wikipedia,Dennis_Nilsen,daily,2015070200,all-access,user,765
en.wikipedia,Dennis_Nilsen,daily,2015070300,all-access,user,660
en.wikipedia,Dennis_Nilsen,daily,2015070400,all-access,user,619
en.wikipedia,Dennis_Nilsen,daily,2015070500,all-access,user,774
en.wikipedia,Dennis_Nilsen,daily,2015070600,all-access,user,1035
en.wikipedia,Dennis_Nilsen,daily,2015070700,all-access,user,815
en.wikipedia,Dennis_Nilsen,daily,2015070800,all-access,user,784
en.wikipedia,Dennis_Nilsen,daily,2015070900,all-access,user,763
en.wikipedia,Dennis_Nilsen,daily,2015071000,all-access,user,597
en.wikipedia,Dennis_Nilsen,daily,2015071100,all-access,user,612
en.wikipedia,Dennis_Nilsen,daily,2015071200,all-access,user,819
en.wikipedia,Dennis_Nilsen,daily,2015071300,all-access,user,709
en.wikipedia,Dennis_Nilsen,daily,2015071400,all-access,user,688
en.wikipedia,Dennis_Nilsen,daily,2015071500,all-access,user,866
en.wikipedia,Dennis_Nilsen,daily,2015071600,all-access,user,658
en.wikipedia,Dennis_Nilsen,daily,2015071700,all-access,user,702
en.wikipedia,Dennis_Nilsen,daily,2015071800,all-access,user,644
en.wikipedia,Dennis_Nilsen,daily,2015071900,all-access,user,735
en.wikipedia,Dennis_Nilsen,daily,2015072000,all-access,user,637
en.wikipedia,Dennis_Nilsen,daily,2015072100,all-access,user,701
en.wikipedia,Dennis_Nilsen,daily,2015072200,all-access,user,793
en.wikipedia,Dennis_Nilsen,daily,2015072300,all-access,user,724
en.wikipedia,Dennis_Nilsen,daily,2015072400,all-access,user,688
en.wikipedia,Dennis_Nilsen,daily,2015072500,all-access,user,732
en.wikipedia,Dennis_Nilsen,daily,2015072600,all-access,user,945
en.wikipedia,Dennis_Nilsen,daily,2015072700,all-access,user,2081
en.wikipedia,Dennis_Nilsen,daily,2015072800,all-access,user,907
en.wikipedia,Dennis_Nilsen,daily,2015072900,all-access,user,741
en.wikipedia,Dennis_Nilsen,daily,2015073000,all-access,user,681
en.wikipedia,Dennis_Nilsen,daily,2015073100,all-access,user,758
en.wikipedia,Dennis_Nilsen,daily,2015080100,all-access,user,835
en.wikipedia,Dennis_Nilsen,daily,2015080200,all-access,user,860
en.wikipedia,Dennis_Nilsen,daily,2015080300,all-access,user,780
en.wikipedia,Dennis_Nilsen,daily,2015080400,all-access,user,793
en.wikipedia,Dennis_Nilsen,daily,2015080500,all-access,user,819
en.wikipedia,Dennis_Nilsen,daily,2015080600,all-access,user,698
en.wikipedia,Dennis_Nilsen,daily,2015080700,all-access,user,710
en.wikipedia,Dennis_Nilsen,daily,2015080800,all-access,user,751
en.wikipedia,Dennis_Nilsen,daily,2015080900,all-access,user,767
en.wikipedia,Dennis_Nilsen,daily,2015081000,all-access,user,734
en.wikipedia,Dennis_Nilsen,daily,2015081100,all-access,user,812
en.wikipedia,Dennis_Nilsen,daily,2015081200,all-access,user,860
en.wikipedia,Dennis_Nilsen,daily,2015081300,all-access,user,845
en.wikipedia,Dennis_Nilsen,daily,2015081400,all-access,user,704
en.wikipedia,Dennis_Nilsen,daily,2015081500,all-access,user,794
en.wikipedia,Dennis_Nilsen,daily,2015081600,all-access,user,758
en.wikipedia,Dennis_Nilsen,daily,2015081700,all-access,user,935
en.wikipedia,Dennis_Nilsen,daily,2015081800,all-access,user,824
en.wikipedia,Dennis_Nilsen,daily,2015081900,all-access,user,808
en.wikipedia,Dennis_Nilsen,daily,2015082000,all-access,user,834
en.wikipedia,Dennis_Nilsen,daily,2015082100,all-access,user,693
en.wikipedia,Dennis_Nilsen,daily,2015082200,all-access,user,586
en.wikipedia,Dennis_Nilsen,daily,2015082300,all-access,user,726
en.wikipedia,Dennis_Nilsen,daily,2015082400,all-access,user,864
en.wikipedia,Dennis_Nilsen,daily,2015082500,all-access,user,1217
en.wikipedia,Dennis_Nilsen,daily,2015082600,all-access,user,1041
en.wikipedia,Dennis_Nilsen,daily,2015082700,all-access,user,692
en.wikipedia,Dennis_Nilsen,daily,2015082800,all-access,user,699
en.wikipedia,Dennis_Nilsen,daily,2015082900,all-access,user,730
en.wikipedia,Dennis_Nilsen,daily,2015083000,all-access,user,894
en.wikipedia,Dennis_Nilsen,daily,2015083100,all-access,user,797
en.wikipedia,Dennis_Nilsen,daily,2015090100,all-access,user,671
en.wikipedia,Dennis_Nilsen,daily,2015090200,all-access,user,656
en.wikipedia,Dennis_Nilsen,daily,2015090300,all-access,user,693
en.wikipedia,Dennis_Nilsen,daily,2015090400,all-access,user,662
en.wikipedia,Dennis_Nilsen,daily,2015090500,all-access,user,558
en.wikipedia,Dennis_Nilsen,daily,2015090600,all-access,user,562
en.wikipedia,Dennis_Nilsen,daily,2015090700,all-access,user,657
en.wikipedia,Dennis_Nilsen,daily,2015090800,all-access,user,698
en.wikipedia,Dennis_Nilsen,daily,2015090900,all-access,user,661
en.wikipedia,Dennis_Nilsen,daily,2015091000,all-access,user,620
en.wikipedia,Dennis_Nilsen,daily,2015091100,all-access,user,660
en.wikipedia,Dennis_Nilsen,daily,2015091200,all-access,user,596
en.wikipedia,Dennis_Nilsen,daily,2015091300,all-access,user,711
en.wikipedia,Dennis_Nilsen,daily,2015091400,all-access,user,988
en.wikipedia,Dennis_Nilsen,daily,2015091500,all-access,user,1150
en.wikipedia,Dennis_Nilsen,daily,2015091600,all-access,user,803
en.wikipedia,Dennis_Nilsen,daily,2015091700,all-access,user,708
en.wikipedia,Dennis_Nilsen,daily,2015091800,all-access,user,647
