project,article,granularity,timestamp,access,agent,views
en.wikipedia,Dolores_O'Riordan,daily,2015070100,all-access,user,957
en.wikipedia,Dolores_O'Riordan,daily,2015070200,all-access,user,955
en.wikipedia,Dolores_O'Riordan,daily,2015070300,all-access,user,977
en.wikipedia,Dolores_O'Riordan,daily,2015070400,all-access,user,856
en.wikipedia,Dolores_O'Riordan,daily,2015070500,all-access,user,922
en.wikipedia,Dolores_O'Riordan,daily,2015070600,all-access,user,1005
en.wikipedia,Dolores_O'Riordan,daily,2015070700,all-access,user,968
en.wikipedia,Dolores_O'Riordan,daily,2015070800,all-access,user,991
en.wikipedia,Dolores_O'Riordan,daily,2015070900,all-access,user,1023
en.wikipedia,Dolores_O'Riordan,daily,2015071000,all-access,user,976
en.wikipedia,Dolores_O'Riordan,daily,2015071100,all-access,user,958
en.wikipedia,Dolores_O'Riordan,daily,2015071200,all-access,user,1072
en.wikipedia,Dolores_O'Riordan,daily,2015071300,all-access,user,1028
en.wikipedia,Dolores_O'Riordan,daily,2015071400,all-access,user,1012
en.wikipedia,Dolores_O'Riordan,daily,2015071500,all-access,user,996
en.wikipedia,Dolores_O'Riordan,daily,2015071600,all-access,user,946
en.wikipedia,Dolores_O'Riordan,daily,2015071700,all-access,user,906
en.wikipedia,Dolores_O'Riordan,daily,2015071800,all-access,user,1025
en.wikipedia,Dolores_O'Riordan,daily,2015071900,all-access,user,879
en.wikipedia,Dolores_O'Riordan,daily,2015072000,all-access,user,967
en.wikipedia,Dolores_O'Riordan,daily,2015072100,all-access,user,1006
en.wikipedia,Dolores_O'Riordan,daily,2015072200,all-access,user,1076
en.wikipedia,Dolores_O'Riordan,daily,2015072300,all-access,user,958
en.wikipedia,Dolores_O'Riordan,daily,2015072400,all-access,user,1030
en.wikipedia,Dolores_O'Riordan,daily,2015072500,all-access,user,996
en.wikipedia,Dolores_O'Riordan,daily,2015072600,all-access,user,974
en.wikipedia,Dolores_O'Riordan,daily,2015072700,all-access,user,900
en.wikipedia,Dolores_O'Riordan,daily,2015072800,all-access,user,977
en.wikipedia,Dolores_O'Riordan,daily,2015072900,all-access,user,965
en.wikipedia,Dolores_O'Riordan,daily,2015073000,all-access,user,909
en.wikipedia,Dolores_O'Riordan,daily,2015073100,all-access,user,1002
en.wikipedia,Dolores_O'Riordan,daily,2015080100,all-access,user,995
en.wikipedia,Dolores_O'Riordan,daily,2015080200,all-access,user,1014
en.wikipedia,Dolores_O'Riordan,daily,2015080300,all-access,user,978
en.wikipedia,Dolores_O'Riordan,daily,2015080400,all-access,user,1011
en.wikipedia,Dolores_O'Riordan,daily,2015080500,all-access,user,1006
en.wikipedia,Dolores_O'Riordan,daily,2015080600,all-access,user,1003
en.wikipedia,Dolores_O'Riordan,daily,2015080700,all-access,user,935
en.wikipedia,Dolores_O'Riordan,daily,2015080800,all-access,user,1126
en.wikipedia,Dolores_O'Riordan,daily,2015080900,all-access,user,1087
en.wikipedia,Dolores_O'Riordan,daily,2015081000,all-access,user,918
en.wikipedia,Dolores_O'Riordan,daily,2015081100,all-access,user,1006
en.wikipedia,Dolores_O'Riordan,daily,2015081200,all-access,user,1012
en.wikipedia,Dolores_O'Riordan,daily,2015081300,all-access,user,1062
en.wikipedia,Dolores_O'Riordan,daily,2015081400,all-access,user,1028
en.wikipedia,Dolores_O'Riordan,daily,2015081500,all-access,user,1067
en.wikipedia,Dolores_O'Riordan,daily,2015081600,all-access,user,1040
en.wikipedia,Dolores_O'Riordan,daily,2015081700,all-access,user,991
en.wikipedia,Dolores_O'Riordan,daily,2015081800,all-access,user,976
en.wikipedia,Dolores_O'Riordan,daily,2015081900,all-access,user,1014
en.wikipedia,Dolores_O'Riordan,daily,2015082000,all-access,user,1023
en.wikipedia,Dolores_O'Riordan,daily,2015082100,all-access,user,1017
en.wikipedia,Dolores_O'Riordan,daily,2015082200,all-access,user,933
en.wikipedia,Dolores_O'Riordan,daily,2015082300,all-access,user,1033
en.wikipedia,Dolores_O'Riordan,daily,2015082400,all-access,user,907
en.wikipedia,Dolores_O'Riordan,daily,2015082500,all-access,user,1023
en.wikipedia,Dolores_O'Riordan,daily,2015082600,all-access,user,976
en.wikipedia,Dolores_O'Riordan,daily,2015082700,all-access,user,966
en.wikipedia,Dolores_O'Riordan,daily,2015082800,all-access,user,1057
en.wikipedia,Dolores_O'Riordan,daily,2015082900,all-access,user,927
en.wikipedia,Dolores_O'Riordan,daily,2015083000,all-access,user,908
en.wikipedia,Dolores_O'Riordan,daily,2015083100,all-access,user,895
en.wikipedia,Dolores_O'Riordan,daily,2015090100,all-access,user,931
en.wikipedia,Dolores_O'Riordan,daily,2015090200,all-access,user,1352
en.wikipedia,Dolores_O'Riordan,daily,2015090300,all-access,user,1896
en.wikipedia,Dolores_O'Riordan,daily,2015090400,all-access,user,1163
en.wikipedia,Dolores_O'Riordan,daily,2015090500,all-access,user,1166
en.wikipedia,Dolores_O'Riordan,daily,2015090600,all-access,user,1626
en.wikipedia,Dolores_O'Riordan,daily,2015090700,all-access,user,1273
en.wikipedia,Dolores_O'Riordan,daily,2015090800,all-access,user,995
en.wikipedia,Dolores_O'Riordan,daily,2015090900,all-access,user,943
en.wikipedia,Dolores_O'Riordan,daily,2015091000,all-access,user,1864
en.wikipedia,Dolores_O'Riordan,daily,2015091100,all-access,user,1067
en.wikipedia,Dolores_O'Riordan,daily,2015091200,all-access,user,1009
