project,article,granularity,timestamp,access,agent,views
en.wikipedia,Dorothy_Rungeling,daily,2016061500,all-access,user,15
en.wikipedia,Dorothy_Rungeling,daily,2016061600,all-access,user,11
en.wikipedia,Dorothy_Rungeling,daily,2016061700,all-access,user,5
en.wikipedia,Dorothy_Rungeling,daily,2016061800,all-access,user,1
en.wikipedia,Dorothy_Rungeling,daily,2016061900,all-access,user,0
en.wikipedia,Dorothy_Rungeling,daily,2016062000,all-access,user,13
en.wikipedia,Dorothy_Rungeling,daily,2016062100,all-access,user,4
en.wikipedia,Dorothy_Rungeling,daily,2016062200,all-access,user,1
en.wikipedia,Dorothy_Rungeling,daily,2016062400,all-access,user,5
en.wikipedia,Dorothy_Rungeling,daily,2016062500,all-access,user,0
en.wikipedia,Dorothy_Rungeling,daily,2016062600,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016062700,all-access,user,1
en.wikipedia,Dorothy_Rungeling,daily,2016062800,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016062900,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016063000,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016070100,all-access,user,5
en.wikipedia,Dorothy_Rungeling,daily,2016070200,all-access,user,4
en.wikipedia,Dorothy_Rungeling,daily,2016070300,all-access,user,3
en.wikipedia,Dorothy_Rungeling,daily,2016070400,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016070500,all-access,user,1
en.wikipedia,Dorothy_Rungeling,daily,2016070600,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016070700,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016070800,all-access,user,1
en.wikipedia,Dorothy_Rungeling,daily,2016070900,all-access,user,1
en.wikipedia,Dorothy_Rungeling,daily,2016071000,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016071100,all-access,user,3
en.wikipedia,Dorothy_Rungeling,daily,2016071200,all-access,user,3
en.wikipedia,Dorothy_Rungeling,daily,2016071300,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016071400,all-access,user,1
en.wikipedia,Dorothy_Rungeling,daily,2016071500,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016071600,all-access,user,1
en.wikipedia,Dorothy_Rungeling,daily,2016071700,all-access,user,6
en.wikipedia,Dorothy_Rungeling,daily,2016071800,all-access,user,3
en.wikipedia,Dorothy_Rungeling,daily,2016071900,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016072000,all-access,user,1
en.wikipedia,Dorothy_Rungeling,daily,2016072100,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016072200,all-access,user,1
en.wikipedia,Dorothy_Rungeling,daily,2016072300,all-access,user,1
en.wikipedia,Dorothy_Rungeling,daily,2016072400,all-access,user,1
en.wikipedia,Dorothy_Rungeling,daily,2016072500,all-access,user,11
en.wikipedia,Dorothy_Rungeling,daily,2016072600,all-access,user,8
en.wikipedia,Dorothy_Rungeling,daily,2016080900,all-access,user,1
en.wikipedia,Dorothy_Rungeling,daily,2016091900,all-access,user,81
en.wikipedia,Dorothy_Rungeling,daily,2016092000,all-access,user,36
en.wikipedia,Dorothy_Rungeling,daily,2016092100,all-access,user,7
en.wikipedia,Dorothy_Rungeling,daily,2016092300,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016092400,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016092500,all-access,user,3
en.wikipedia,Dorothy_Rungeling,daily,2016092600,all-access,user,7
en.wikipedia,Dorothy_Rungeling,daily,2016092700,all-access,user,1
en.wikipedia,Dorothy_Rungeling,daily,2016092800,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016092900,all-access,user,0
en.wikipedia,Dorothy_Rungeling,daily,2016093000,all-access,user,1
en.wikipedia,Dorothy_Rungeling,daily,2016100100,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016100200,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016100300,all-access,user,3
en.wikipedia,Dorothy_Rungeling,daily,2016100400,all-access,user,10
en.wikipedia,Dorothy_Rungeling,daily,2016100500,all-access,user,54
en.wikipedia,Dorothy_Rungeling,daily,2016100600,all-access,user,21
en.wikipedia,Dorothy_Rungeling,daily,2016100700,all-access,user,22
en.wikipedia,Dorothy_Rungeling,daily,2016100800,all-access,user,22
en.wikipedia,Dorothy_Rungeling,daily,2016100900,all-access,user,11
en.wikipedia,Dorothy_Rungeling,daily,2016101000,all-access,user,10
en.wikipedia,Dorothy_Rungeling,daily,2016101100,all-access,user,13
en.wikipedia,Dorothy_Rungeling,daily,2016101200,all-access,user,5
en.wikipedia,Dorothy_Rungeling,daily,2016101300,all-access,user,6
en.wikipedia,Dorothy_Rungeling,daily,2016101400,all-access,user,5
en.wikipedia,Dorothy_Rungeling,daily,2016101500,all-access,user,8
en.wikipedia,Dorothy_Rungeling,daily,2016101600,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016101700,all-access,user,6
en.wikipedia,Dorothy_Rungeling,daily,2016101800,all-access,user,9
en.wikipedia,Dorothy_Rungeling,daily,2016101900,all-access,user,8
en.wikipedia,Dorothy_Rungeling,daily,2016102000,all-access,user,8
en.wikipedia,Dorothy_Rungeling,daily,2016102100,all-access,user,4
en.wikipedia,Dorothy_Rungeling,daily,2016102200,all-access,user,4
en.wikipedia,Dorothy_Rungeling,daily,2016102300,all-access,user,4
en.wikipedia,Dorothy_Rungeling,daily,2016102400,all-access,user,4
en.wikipedia,Dorothy_Rungeling,daily,2016102500,all-access,user,7
en.wikipedia,Dorothy_Rungeling,daily,2016102600,all-access,user,4
en.wikipedia,Dorothy_Rungeling,daily,2016102700,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016102800,all-access,user,2
en.wikipedia,Dorothy_Rungeling,daily,2016102900,all-access,user,5
