project,article,granularity,timestamp,access,agent,views
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018032000,all-access,user,49
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018032100,all-access,user,33
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018032200,all-access,user,10
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018032300,all-access,user,11
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018032400,all-access,user,7
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018032500,all-access,user,11
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018032600,all-access,user,12
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018032700,all-access,user,15
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018032800,all-access,user,23
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018032900,all-access,user,24
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018033000,all-access,user,10
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018033100,all-access,user,5
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018040100,all-access,user,11
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018040200,all-access,user,11
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018040300,all-access,user,11
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018040400,all-access,user,128
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018040500,all-access,user,72
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018040600,all-access,user,78
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018040700,all-access,user,68
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018040800,all-access,user,66
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018040900,all-access,user,52
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018041000,all-access,user,4337
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018041100,all-access,user,3488
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018041200,all-access,user,1275
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018041300,all-access,user,787
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018041400,all-access,user,443
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018041500,all-access,user,312
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018041600,all-access,user,291
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018041700,all-access,user,212
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018041800,all-access,user,147
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018041900,all-access,user,94
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018042000,all-access,user,111
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018042100,all-access,user,97
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018042200,all-access,user,79
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018042300,all-access,user,70
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018042400,all-access,user,45
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018042500,all-access,user,37
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018042600,all-access,user,40
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018042700,all-access,user,26
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018042800,all-access,user,31
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018042900,all-access,user,27
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018043000,all-access,user,30
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018050100,all-access,user,30
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018050200,all-access,user,22
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018050300,all-access,user,10
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018050400,all-access,user,15
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018050500,all-access,user,19
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018050600,all-access,user,28
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018050700,all-access,user,19
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018050800,all-access,user,18
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018050900,all-access,user,28
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018051000,all-access,user,15
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018051100,all-access,user,13
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018051200,all-access,user,8
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018051300,all-access,user,12
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018051400,all-access,user,17
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018051500,all-access,user,13
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018051600,all-access,user,15
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018051700,all-access,user,14
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018051800,all-access,user,6
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018051900,all-access,user,11
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018052000,all-access,user,11
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018052100,all-access,user,13
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018052200,all-access,user,11
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018052300,all-access,user,4
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018052400,all-access,user,8
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018052500,all-access,user,6
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018052600,all-access,user,5
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018052700,all-access,user,10
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018052800,all-access,user,7
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018052900,all-access,user,9
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018053000,all-access,user,5
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018053100,all-access,user,7
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018060100,all-access,user,5
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018060200,all-access,user,4
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018060300,all-access,user,7
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018060400,all-access,user,12
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018060500,all-access,user,7
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018060600,all-access,user,9
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018060700,all-access,user,5
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018060800,all-access,user,8
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018060900,all-access,user,7
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018061000,all-access,user,4
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018061100,all-access,user,5
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018061200,all-access,user,11
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018061300,all-access,user,21
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018061400,all-access,user,5
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018061500,all-access,user,9
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018061600,all-access,user,6
en.wikipedia,Edelgard_Huber_von_Gersdorff,daily,2018061700,all-access,user,4
