project,article,granularity,timestamp,access,agent,views
en.wikipedia,First_Lady_of_the_United_States,daily,2015070100,all-access,user,704
en.wikipedia,First_Lady_of_the_United_States,daily,2015070200,all-access,user,694
en.wikipedia,First_Lady_of_the_United_States,daily,2015070300,all-access,user,640
en.wikipedia,First_Lady_of_the_United_States,daily,2015070400,all-access,user,800
en.wikipedia,First_Lady_of_the_United_States,daily,2015070500,all-access,user,830
en.wikipedia,First_Lady_of_the_United_States,daily,2015070600,all-access,user,794
en.wikipedia,First_Lady_of_the_United_States,daily,2015070700,all-access,user,708
en.wikipedia,First_Lady_of_the_United_States,daily,2015070800,all-access,user,651
en.wikipedia,First_Lady_of_the_United_States,daily,2015070900,all-access,user,654
en.wikipedia,First_Lady_of_the_United_States,daily,2015071000,all-access,user,1105
en.wikipedia,First_Lady_of_the_United_States,daily,2015071100,all-access,user,612
en.wikipedia,First_Lady_of_the_United_States,daily,2015071200,all-access,user,664
en.wikipedia,First_Lady_of_the_United_States,daily,2015071300,all-access,user,576
en.wikipedia,First_Lady_of_the_United_States,daily,2015071400,all-access,user,570
en.wikipedia,First_Lady_of_the_United_States,daily,2015071500,all-access,user,691
en.wikipedia,First_Lady_of_the_United_States,daily,2015071600,all-access,user,736
en.wikipedia,First_Lady_of_the_United_States,daily,2015071700,all-access,user,566
en.wikipedia,First_Lady_of_the_United_States,daily,2015071800,all-access,user,575
en.wikipedia,First_Lady_of_the_United_States,daily,2015071900,all-access,user,669
en.wikipedia,First_Lady_of_the_United_States,daily,2015072000,all-access,user,654
en.wikipedia,First_Lady_of_the_United_States,daily,2015072100,all-access,user,672
en.wikipedia,First_Lady_of_the_United_States,daily,2015072200,all-access,user,662
en.wikipedia,First_Lady_of_the_United_States,daily,2015072300,all-access,user,824
en.wikipedia,First_Lady_of_the_United_States,daily,2015072400,all-access,user,859
en.wikipedia,First_Lady_of_the_United_States,daily,2015072500,all-access,user,961
en.wikipedia,First_Lady_of_the_United_States,daily,2015072600,all-access,user,791
en.wikipedia,First_Lady_of_the_United_States,daily,2015072700,all-access,user,762
en.wikipedia,First_Lady_of_the_United_States,daily,2015072800,all-access,user,796
en.wikipedia,First_Lady_of_the_United_States,daily,2015072900,all-access,user,739
en.wikipedia,First_Lady_of_the_United_States,daily,2015073000,all-access,user,644
en.wikipedia,First_Lady_of_the_United_States,daily,2015073100,all-access,user,609
en.wikipedia,First_Lady_of_the_United_States,daily,2015080100,all-access,user,575
en.wikipedia,First_Lady_of_the_United_States,daily,2015080200,all-access,user,641
en.wikipedia,First_Lady_of_the_United_States,daily,2015080300,all-access,user,567
en.wikipedia,First_Lady_of_the_United_States,daily,2015080400,all-access,user,665
en.wikipedia,First_Lady_of_the_United_States,daily,2015080500,all-access,user,714
en.wikipedia,First_Lady_of_the_United_States,daily,2015080600,all-access,user,698
en.wikipedia,First_Lady_of_the_United_States,daily,2015080700,all-access,user,779
en.wikipedia,First_Lady_of_the_United_States,daily,2015080800,all-access,user,678
en.wikipedia,First_Lady_of_the_United_States,daily,2015080900,all-access,user,742
