project,article,granularity,timestamp,access,agent,views
en.wikipedia,Frank_Havens,daily,2015070100,all-access,user,2
en.wikipedia,Frank_Havens,daily,2015070400,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015070500,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015070800,all-access,user,2
en.wikipedia,Frank_Havens,daily,2015070900,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015071000,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015071100,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015071200,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015071700,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015071800,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015071900,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015072000,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015072100,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015072200,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015072300,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015072500,all-access,user,2
en.wikipedia,Frank_Havens,daily,2015072800,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015072900,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015073000,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015073100,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015080300,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015080700,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015080900,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015081600,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015081900,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015082000,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015082200,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015082300,all-access,user,2
en.wikipedia,Frank_Havens,daily,2015082400,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015082500,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015082600,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015082800,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015082900,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015090700,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015090900,all-access,user,2
en.wikipedia,Frank_Havens,daily,2015091000,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015091200,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015091300,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015091600,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015091800,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015092100,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015092300,all-access,user,3
en.wikipedia,Frank_Havens,daily,2015092700,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015092900,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015100200,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015100400,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015100500,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015100700,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015101000,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015101200,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015101700,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015101900,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015102000,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015102200,all-access,user,3
en.wikipedia,Frank_Havens,daily,2015102400,all-access,user,1
en.wikipedia,Frank_Havens,daily,2015102800,all-access,user,0
en.wikipedia,Frank_Havens,daily,2015102900,all-access,user,0
