project,article,granularity,timestamp,access,agent,views
en.wikipedia,Gottfried_Weilenmann,daily,2015070100,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015070200,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015070300,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015070500,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015070600,all-access,user,2
en.wikipedia,Gottfried_Weilenmann,daily,2015070800,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015071000,all-access,user,3
en.wikipedia,Gottfried_Weilenmann,daily,2015071200,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015071300,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015071400,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015071500,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015071600,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015071800,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015071900,all-access,user,2
en.wikipedia,Gottfried_Weilenmann,daily,2015072200,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015072300,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015072400,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015072600,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015072700,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015072800,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015072900,all-access,user,2
en.wikipedia,Gottfried_Weilenmann,daily,2015073100,all-access,user,2
en.wikipedia,Gottfried_Weilenmann,daily,2015080400,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015080500,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015080600,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015080700,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015080900,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015081000,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015081100,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015081600,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015081700,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015082200,all-access,user,3
en.wikipedia,Gottfried_Weilenmann,daily,2015082400,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015082600,all-access,user,2
en.wikipedia,Gottfried_Weilenmann,daily,2015082700,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015082800,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015083100,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015090200,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015090300,all-access,user,8
en.wikipedia,Gottfried_Weilenmann,daily,2015090800,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015090900,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015091000,all-access,user,2
en.wikipedia,Gottfried_Weilenmann,daily,2015091200,all-access,user,1
en.wikipedia,Gottfried_Weilenmann,daily,2015091300,all-access,user,0
en.wikipedia,Gottfried_Weilenmann,daily,2015091500,all-access,user,1
