project,article,granularity,timestamp,access,agent,views
en.wikipedia,Idrissa_Ouédraogo,daily,2015070900,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015071200,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015071300,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015071700,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015072200,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015072400,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015073100,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015080200,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015080500,all-access,user,2
en.wikipedia,Idrissa_Ouédraogo,daily,2015080700,all-access,user,2
en.wikipedia,Idrissa_Ouédraogo,daily,2015081000,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015081200,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015081400,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015081500,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015081600,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015081700,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015081800,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015082000,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015082600,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015083000,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015090100,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015090300,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015090700,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015090800,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015091000,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015091100,all-access,user,2
en.wikipedia,Idrissa_Ouédraogo,daily,2015091500,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015091600,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015092100,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015092300,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015092500,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015092800,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015093000,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015100300,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015100500,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015100700,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015100900,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015101300,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015101600,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015101800,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015101900,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015102000,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015102200,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015102300,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015102400,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015102600,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015103100,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015110100,all-access,user,3
en.wikipedia,Idrissa_Ouédraogo,daily,2015110600,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015110700,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015110800,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015110900,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015111200,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015111300,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015111400,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015111700,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015111800,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015112000,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015112200,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015112400,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015112700,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015112800,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015120100,all-access,user,0
en.wikipedia,Idrissa_Ouédraogo,daily,2015120200,all-access,user,1
en.wikipedia,Idrissa_Ouédraogo,daily,2015120400,all-access,user,0
