project,article,granularity,timestamp,access,agent,views
en.wikipedia,Jerry_Van_Dyke,daily,2015070100,all-access,user,1013
en.wikipedia,Jerry_Van_Dyke,daily,2015070200,all-access,user,1392
en.wikipedia,Jerry_Van_Dyke,daily,2015070300,all-access,user,1028
en.wikipedia,Jerry_Van_Dyke,daily,2015070400,all-access,user,2402
en.wikipedia,Jerry_Van_Dyke,daily,2015070500,all-access,user,1516
en.wikipedia,Jerry_Van_Dyke,daily,2015070600,all-access,user,1224
en.wikipedia,Jerry_Van_Dyke,daily,2015070700,all-access,user,1019
en.wikipedia,Jerry_Van_Dyke,daily,2015070800,all-access,user,833
en.wikipedia,Jerry_Van_Dyke,daily,2015070900,all-access,user,933
en.wikipedia,Jerry_Van_Dyke,daily,2015071000,all-access,user,881
en.wikipedia,Jerry_Van_Dyke,daily,2015071100,all-access,user,966
en.wikipedia,Jerry_Van_Dyke,daily,2015071200,all-access,user,1314
en.wikipedia,Jerry_Van_Dyke,daily,2015071300,all-access,user,980
en.wikipedia,Jerry_Van_Dyke,daily,2015071400,all-access,user,895
en.wikipedia,Jerry_Van_Dyke,daily,2015071500,all-access,user,805
en.wikipedia,Jerry_Van_Dyke,daily,2015071600,all-access,user,971
en.wikipedia,Jerry_Van_Dyke,daily,2015071700,all-access,user,828
en.wikipedia,Jerry_Van_Dyke,daily,2015071800,all-access,user,848
en.wikipedia,Jerry_Van_Dyke,daily,2015071900,all-access,user,963
en.wikipedia,Jerry_Van_Dyke,daily,2015072000,all-access,user,1036
en.wikipedia,Jerry_Van_Dyke,daily,2015072100,all-access,user,935
en.wikipedia,Jerry_Van_Dyke,daily,2015072200,all-access,user,1038
en.wikipedia,Jerry_Van_Dyke,daily,2015072300,all-access,user,952
en.wikipedia,Jerry_Van_Dyke,daily,2015072400,all-access,user,968
en.wikipedia,Jerry_Van_Dyke,daily,2015072500,all-access,user,1062
en.wikipedia,Jerry_Van_Dyke,daily,2015072600,all-access,user,1056
en.wikipedia,Jerry_Van_Dyke,daily,2015072700,all-access,user,2202
en.wikipedia,Jerry_Van_Dyke,daily,2015072800,all-access,user,1394
en.wikipedia,Jerry_Van_Dyke,daily,2015072900,all-access,user,1406
en.wikipedia,Jerry_Van_Dyke,daily,2015073000,all-access,user,1063
en.wikipedia,Jerry_Van_Dyke,daily,2015073100,all-access,user,1107
en.wikipedia,Jerry_Van_Dyke,daily,2015080100,all-access,user,1065
en.wikipedia,Jerry_Van_Dyke,daily,2015080200,all-access,user,1717
en.wikipedia,Jerry_Van_Dyke,daily,2015080300,all-access,user,910
en.wikipedia,Jerry_Van_Dyke,daily,2015080400,all-access,user,927
en.wikipedia,Jerry_Van_Dyke,daily,2015080500,all-access,user,960
en.wikipedia,Jerry_Van_Dyke,daily,2015080600,all-access,user,1035
en.wikipedia,Jerry_Van_Dyke,daily,2015080700,all-access,user,1075
en.wikipedia,Jerry_Van_Dyke,daily,2015080800,all-access,user,1059
en.wikipedia,Jerry_Van_Dyke,daily,2015080900,all-access,user,1222
en.wikipedia,Jerry_Van_Dyke,daily,2015081000,all-access,user,1199
en.wikipedia,Jerry_Van_Dyke,daily,2015081100,all-access,user,1475
en.wikipedia,Jerry_Van_Dyke,daily,2015081200,all-access,user,1247
en.wikipedia,Jerry_Van_Dyke,daily,2015081300,all-access,user,1121
en.wikipedia,Jerry_Van_Dyke,daily,2015081400,all-access,user,1624
