project,article,granularity,timestamp,access,agent,views
en.wikipedia,Jim_Neidhart,daily,2015070100,all-access,user,632
en.wikipedia,Jim_Neidhart,daily,2015070200,all-access,user,550
en.wikipedia,Jim_Neidhart,daily,2015070300,all-access,user,624
en.wikipedia,Jim_Neidhart,daily,2015070400,all-access,user,639
en.wikipedia,Jim_Neidhart,daily,2015070500,all-access,user,814
en.wikipedia,Jim_Neidhart,daily,2015070600,all-access,user,1281
en.wikipedia,Jim_Neidhart,daily,2015070700,all-access,user,2100
en.wikipedia,Jim_Neidhart,daily,2015070800,all-access,user,1032
en.wikipedia,Jim_Neidhart,daily,2015070900,all-access,user,793
en.wikipedia,Jim_Neidhart,daily,2015071000,all-access,user,1514
en.wikipedia,Jim_Neidhart,daily,2015071100,all-access,user,832
en.wikipedia,Jim_Neidhart,daily,2015071200,all-access,user,801
en.wikipedia,Jim_Neidhart,daily,2015071300,all-access,user,1228
en.wikipedia,Jim_Neidhart,daily,2015071400,all-access,user,989
en.wikipedia,Jim_Neidhart,daily,2015071500,all-access,user,14936
en.wikipedia,Jim_Neidhart,daily,2015071600,all-access,user,4007
en.wikipedia,Jim_Neidhart,daily,2015071700,all-access,user,4762
en.wikipedia,Jim_Neidhart,daily,2015071800,all-access,user,4015
en.wikipedia,Jim_Neidhart,daily,2015071900,all-access,user,3501
en.wikipedia,Jim_Neidhart,daily,2015072000,all-access,user,2512
en.wikipedia,Jim_Neidhart,daily,2015072100,all-access,user,3252
en.wikipedia,Jim_Neidhart,daily,2015072200,all-access,user,4574
en.wikipedia,Jim_Neidhart,daily,2015072300,all-access,user,1716
en.wikipedia,Jim_Neidhart,daily,2015072400,all-access,user,2094
en.wikipedia,Jim_Neidhart,daily,2015072500,all-access,user,1439
en.wikipedia,Jim_Neidhart,daily,2015072600,all-access,user,1430
en.wikipedia,Jim_Neidhart,daily,2015072700,all-access,user,1343
en.wikipedia,Jim_Neidhart,daily,2015072800,all-access,user,2224
en.wikipedia,Jim_Neidhart,daily,2015072900,all-access,user,1671
en.wikipedia,Jim_Neidhart,daily,2015073000,all-access,user,1120
en.wikipedia,Jim_Neidhart,daily,2015073100,all-access,user,1089
en.wikipedia,Jim_Neidhart,daily,2015080100,all-access,user,2347
en.wikipedia,Jim_Neidhart,daily,2015080200,all-access,user,1755
en.wikipedia,Jim_Neidhart,daily,2015080300,all-access,user,1375
en.wikipedia,Jim_Neidhart,daily,2015080400,all-access,user,2465
en.wikipedia,Jim_Neidhart,daily,2015080500,all-access,user,1464
en.wikipedia,Jim_Neidhart,daily,2015080600,all-access,user,1102
en.wikipedia,Jim_Neidhart,daily,2015080700,all-access,user,994
en.wikipedia,Jim_Neidhart,daily,2015080800,all-access,user,986
en.wikipedia,Jim_Neidhart,daily,2015080900,all-access,user,1162
en.wikipedia,Jim_Neidhart,daily,2015081000,all-access,user,950
en.wikipedia,Jim_Neidhart,daily,2015081100,all-access,user,1832
en.wikipedia,Jim_Neidhart,daily,2015081200,all-access,user,2595
en.wikipedia,Jim_Neidhart,daily,2015081300,all-access,user,1113
en.wikipedia,Jim_Neidhart,daily,2015081400,all-access,user,896
en.wikipedia,Jim_Neidhart,daily,2015081500,all-access,user,1071
en.wikipedia,Jim_Neidhart,daily,2015081600,all-access,user,1068
en.wikipedia,Jim_Neidhart,daily,2015081700,all-access,user,905
en.wikipedia,Jim_Neidhart,daily,2015081800,all-access,user,1030
en.wikipedia,Jim_Neidhart,daily,2015081900,all-access,user,1024
en.wikipedia,Jim_Neidhart,daily,2015082000,all-access,user,805
en.wikipedia,Jim_Neidhart,daily,2015082100,all-access,user,805
en.wikipedia,Jim_Neidhart,daily,2015082200,all-access,user,883
en.wikipedia,Jim_Neidhart,daily,2015082300,all-access,user,898
en.wikipedia,Jim_Neidhart,daily,2015082400,all-access,user,860
en.wikipedia,Jim_Neidhart,daily,2015082500,all-access,user,950
en.wikipedia,Jim_Neidhart,daily,2015082600,all-access,user,1049
en.wikipedia,Jim_Neidhart,daily,2015082700,all-access,user,860
en.wikipedia,Jim_Neidhart,daily,2015082800,all-access,user,716
en.wikipedia,Jim_Neidhart,daily,2015082900,all-access,user,737
en.wikipedia,Jim_Neidhart,daily,2015083000,all-access,user,800
en.wikipedia,Jim_Neidhart,daily,2015083100,all-access,user,740
en.wikipedia,Jim_Neidhart,daily,2015090100,all-access,user,842
en.wikipedia,Jim_Neidhart,daily,2015090200,all-access,user,1387
en.wikipedia,Jim_Neidhart,daily,2015090300,all-access,user,1104
en.wikipedia,Jim_Neidhart,daily,2015090400,all-access,user,1057
en.wikipedia,Jim_Neidhart,daily,2015090500,all-access,user,960
en.wikipedia,Jim_Neidhart,daily,2015090600,all-access,user,868
en.wikipedia,Jim_Neidhart,daily,2015090700,all-access,user,1006
en.wikipedia,Jim_Neidhart,daily,2015090800,all-access,user,944
en.wikipedia,Jim_Neidhart,daily,2015090900,all-access,user,896
en.wikipedia,Jim_Neidhart,daily,2015091000,all-access,user,789
en.wikipedia,Jim_Neidhart,daily,2015091100,all-access,user,697
en.wikipedia,Jim_Neidhart,daily,2015091200,all-access,user,734
en.wikipedia,Jim_Neidhart,daily,2015091300,all-access,user,931
en.wikipedia,Jim_Neidhart,daily,2015091400,all-access,user,718
en.wikipedia,Jim_Neidhart,daily,2015091500,all-access,user,714
en.wikipedia,Jim_Neidhart,daily,2015091600,all-access,user,710
en.wikipedia,Jim_Neidhart,daily,2015091700,all-access,user,585
en.wikipedia,Jim_Neidhart,daily,2015091800,all-access,user,717
en.wikipedia,Jim_Neidhart,daily,2015091900,all-access,user,661
en.wikipedia,Jim_Neidhart,daily,2015092000,all-access,user,608
en.wikipedia,Jim_Neidhart,daily,2015092100,all-access,user,707
en.wikipedia,Jim_Neidhart,daily,2015092200,all-access,user,1256
en.wikipedia,Jim_Neidhart,daily,2015092300,all-access,user,1021
en.wikipedia,Jim_Neidhart,daily,2015092400,all-access,user,716
en.wikipedia,Jim_Neidhart,daily,2015092500,all-access,user,913
en.wikipedia,Jim_Neidhart,daily,2015092600,all-access,user,727
en.wikipedia,Jim_Neidhart,daily,2015092700,all-access,user,713
en.wikipedia,Jim_Neidhart,daily,2015092800,all-access,user,652
en.wikipedia,Jim_Neidhart,daily,2015092900,all-access,user,832
en.wikipedia,Jim_Neidhart,daily,2015093000,all-access,user,1324
en.wikipedia,Jim_Neidhart,daily,2015100100,all-access,user,743
en.wikipedia,Jim_Neidhart,daily,2015100200,all-access,user,769
en.wikipedia,Jim_Neidhart,daily,2015100300,all-access,user,701
en.wikipedia,Jim_Neidhart,daily,2015100400,all-access,user,656
en.wikipedia,Jim_Neidhart,daily,2015100500,all-access,user,647
en.wikipedia,Jim_Neidhart,daily,2015100600,all-access,user,1700
en.wikipedia,Jim_Neidhart,daily,2015100700,all-access,user,727
en.wikipedia,Jim_Neidhart,daily,2015100800,all-access,user,706
en.wikipedia,Jim_Neidhart,daily,2015100900,all-access,user,782
en.wikipedia,Jim_Neidhart,daily,2015101000,all-access,user,674
en.wikipedia,Jim_Neidhart,daily,2015101100,all-access,user,680
en.wikipedia,Jim_Neidhart,daily,2015101200,all-access,user,811
en.wikipedia,Jim_Neidhart,daily,2015101300,all-access,user,608
en.wikipedia,Jim_Neidhart,daily,2015101400,all-access,user,595
en.wikipedia,Jim_Neidhart,daily,2015101500,all-access,user,674
en.wikipedia,Jim_Neidhart,daily,2015101600,all-access,user,673
en.wikipedia,Jim_Neidhart,daily,2015101700,all-access,user,567
en.wikipedia,Jim_Neidhart,daily,2015101800,all-access,user,538
en.wikipedia,Jim_Neidhart,daily,2015101900,all-access,user,739
en.wikipedia,Jim_Neidhart,daily,2015102000,all-access,user,724
en.wikipedia,Jim_Neidhart,daily,2015102100,all-access,user,584
en.wikipedia,Jim_Neidhart,daily,2015102200,all-access,user,609
en.wikipedia,Jim_Neidhart,daily,2015102300,all-access,user,668
en.wikipedia,Jim_Neidhart,daily,2015102400,all-access,user,557
en.wikipedia,Jim_Neidhart,daily,2015102500,all-access,user,631
en.wikipedia,Jim_Neidhart,daily,2015102600,all-access,user,566
en.wikipedia,Jim_Neidhart,daily,2015102700,all-access,user,640
en.wikipedia,Jim_Neidhart,daily,2015102800,all-access,user,614
en.wikipedia,Jim_Neidhart,daily,2015102900,all-access,user,581
en.wikipedia,Jim_Neidhart,daily,2015103000,all-access,user,743
en.wikipedia,Jim_Neidhart,daily,2015103100,all-access,user,626
en.wikipedia,Jim_Neidhart,daily,2015110100,all-access,user,739
en.wikipedia,Jim_Neidhart,daily,2015110200,all-access,user,670
en.wikipedia,Jim_Neidhart,daily,2015110300,all-access,user,642
en.wikipedia,Jim_Neidhart,daily,2015110400,all-access,user,757
en.wikipedia,Jim_Neidhart,daily,2015110500,all-access,user,919
en.wikipedia,Jim_Neidhart,daily,2015110600,all-access,user,854
en.wikipedia,Jim_Neidhart,daily,2015110700,all-access,user,707
en.wikipedia,Jim_Neidhart,daily,2015110800,all-access,user,701
en.wikipedia,Jim_Neidhart,daily,2015110900,all-access,user,692
en.wikipedia,Jim_Neidhart,daily,2015111000,all-access,user,917
en.wikipedia,Jim_Neidhart,daily,2015111100,all-access,user,625
en.wikipedia,Jim_Neidhart,daily,2015111200,all-access,user,644
en.wikipedia,Jim_Neidhart,daily,2015111300,all-access,user,631
en.wikipedia,Jim_Neidhart,daily,2015111400,all-access,user,565
en.wikipedia,Jim_Neidhart,daily,2015111500,all-access,user,647
en.wikipedia,Jim_Neidhart,daily,2015111600,all-access,user,625
en.wikipedia,Jim_Neidhart,daily,2015111700,all-access,user,665
en.wikipedia,Jim_Neidhart,daily,2015111800,all-access,user,571
en.wikipedia,Jim_Neidhart,daily,2015111900,all-access,user,537
en.wikipedia,Jim_Neidhart,daily,2015112000,all-access,user,549
en.wikipedia,Jim_Neidhart,daily,2015112100,all-access,user,557
en.wikipedia,Jim_Neidhart,daily,2015112200,all-access,user,730
en.wikipedia,Jim_Neidhart,daily,2015112300,all-access,user,660
en.wikipedia,Jim_Neidhart,daily,2015112400,all-access,user,577
en.wikipedia,Jim_Neidhart,daily,2015112500,all-access,user,537
en.wikipedia,Jim_Neidhart,daily,2015112600,all-access,user,622
en.wikipedia,Jim_Neidhart,daily,2015112700,all-access,user,680
en.wikipedia,Jim_Neidhart,daily,2015112800,all-access,user,717
en.wikipedia,Jim_Neidhart,daily,2015112900,all-access,user,675
en.wikipedia,Jim_Neidhart,daily,2015113000,all-access,user,571
en.wikipedia,Jim_Neidhart,daily,2015120100,all-access,user,585
en.wikipedia,Jim_Neidhart,daily,2015120200,all-access,user,618
en.wikipedia,Jim_Neidhart,daily,2015120300,all-access,user,764
en.wikipedia,Jim_Neidhart,daily,2015120400,all-access,user,568
en.wikipedia,Jim_Neidhart,daily,2015120500,all-access,user,671
en.wikipedia,Jim_Neidhart,daily,2015120600,all-access,user,877
en.wikipedia,Jim_Neidhart,daily,2015120700,all-access,user,726
en.wikipedia,Jim_Neidhart,daily,2015120800,all-access,user,638
en.wikipedia,Jim_Neidhart,daily,2015120900,all-access,user,612
en.wikipedia,Jim_Neidhart,daily,2015121000,all-access,user,606
en.wikipedia,Jim_Neidhart,daily,2015121100,all-access,user,525
en.wikipedia,Jim_Neidhart,daily,2015121200,all-access,user,570
en.wikipedia,Jim_Neidhart,daily,2015121300,all-access,user,601
en.wikipedia,Jim_Neidhart,daily,2015121400,all-access,user,572
en.wikipedia,Jim_Neidhart,daily,2015121500,all-access,user,523
en.wikipedia,Jim_Neidhart,daily,2015121600,all-access,user,512
en.wikipedia,Jim_Neidhart,daily,2015121700,all-access,user,517
en.wikipedia,Jim_Neidhart,daily,2015121800,all-access,user,475
en.wikipedia,Jim_Neidhart,daily,2015121900,all-access,user,536
en.wikipedia,Jim_Neidhart,daily,2015122000,all-access,user,517
en.wikipedia,Jim_Neidhart,daily,2015122100,all-access,user,599
en.wikipedia,Jim_Neidhart,daily,2015122200,all-access,user,726
en.wikipedia,Jim_Neidhart,daily,2015122300,all-access,user,801
en.wikipedia,Jim_Neidhart,daily,2015122400,all-access,user,581
en.wikipedia,Jim_Neidhart,daily,2015122500,all-access,user,493
en.wikipedia,Jim_Neidhart,daily,2015122600,all-access,user,712
en.wikipedia,Jim_Neidhart,daily,2015122700,all-access,user,671
en.wikipedia,Jim_Neidhart,daily,2015122800,all-access,user,694
en.wikipedia,Jim_Neidhart,daily,2015122900,all-access,user,632
en.wikipedia,Jim_Neidhart,daily,2015123000,all-access,user,615
en.wikipedia,Jim_Neidhart,daily,2015123100,all-access,user,601
en.wikipedia,Jim_Neidhart,daily,2016010100,all-access,user,1110
en.wikipedia,Jim_Neidhart,daily,2016010200,all-access,user,845
en.wikipedia,Jim_Neidhart,daily,2016010300,all-access,user,730
en.wikipedia,Jim_Neidhart,daily,2016010400,all-access,user,674
en.wikipedia,Jim_Neidhart,daily,2016010500,all-access,user,658
en.wikipedia,Jim_Neidhart,daily,2016010600,all-access,user,585
en.wikipedia,Jim_Neidhart,daily,2016010700,all-access,user,598
en.wikipedia,Jim_Neidhart,daily,2016010800,all-access,user,647
en.wikipedia,Jim_Neidhart,daily,2016010900,all-access,user,601
en.wikipedia,Jim_Neidhart,daily,2016011000,all-access,user,1057
en.wikipedia,Jim_Neidhart,daily,2016011100,all-access,user,619
en.wikipedia,Jim_Neidhart,daily,2016011200,all-access,user,571
en.wikipedia,Jim_Neidhart,daily,2016011300,all-access,user,662
en.wikipedia,Jim_Neidhart,daily,2016011400,all-access,user,1128
en.wikipedia,Jim_Neidhart,daily,2016011500,all-access,user,690
en.wikipedia,Jim_Neidhart,daily,2016011600,all-access,user,865
en.wikipedia,Jim_Neidhart,daily,2016011700,all-access,user,709
en.wikipedia,Jim_Neidhart,daily,2016011800,all-access,user,693
en.wikipedia,Jim_Neidhart,daily,2016011900,all-access,user,1689
en.wikipedia,Jim_Neidhart,daily,2016012000,all-access,user,1351
en.wikipedia,Jim_Neidhart,daily,2016012100,all-access,user,781
en.wikipedia,Jim_Neidhart,daily,2016012200,all-access,user,1112
en.wikipedia,Jim_Neidhart,daily,2016012300,all-access,user,891
en.wikipedia,Jim_Neidhart,daily,2016012400,all-access,user,1075
en.wikipedia,Jim_Neidhart,daily,2016012500,all-access,user,833
en.wikipedia,Jim_Neidhart,daily,2016012600,all-access,user,991
en.wikipedia,Jim_Neidhart,daily,2016012700,all-access,user,1077
en.wikipedia,Jim_Neidhart,daily,2016012800,all-access,user,851
en.wikipedia,Jim_Neidhart,daily,2016012900,all-access,user,1743
en.wikipedia,Jim_Neidhart,daily,2016013000,all-access,user,1078
en.wikipedia,Jim_Neidhart,daily,2016013100,all-access,user,887
en.wikipedia,Jim_Neidhart,daily,2016020100,all-access,user,3017
en.wikipedia,Jim_Neidhart,daily,2016020200,all-access,user,3830
en.wikipedia,Jim_Neidhart,daily,2016020300,all-access,user,2143
en.wikipedia,Jim_Neidhart,daily,2016020400,all-access,user,1340
en.wikipedia,Jim_Neidhart,daily,2016020500,all-access,user,1056
en.wikipedia,Jim_Neidhart,daily,2016020600,all-access,user,1376
en.wikipedia,Jim_Neidhart,daily,2016020700,all-access,user,981
en.wikipedia,Jim_Neidhart,daily,2016020800,all-access,user,1153
en.wikipedia,Jim_Neidhart,daily,2016020900,all-access,user,1074
en.wikipedia,Jim_Neidhart,daily,2016021000,all-access,user,872
en.wikipedia,Jim_Neidhart,daily,2016021100,all-access,user,797
en.wikipedia,Jim_Neidhart,daily,2016021200,all-access,user,879
en.wikipedia,Jim_Neidhart,daily,2016021300,all-access,user,737
en.wikipedia,Jim_Neidhart,daily,2016021400,all-access,user,784
en.wikipedia,Jim_Neidhart,daily,2016021500,all-access,user,752
en.wikipedia,Jim_Neidhart,daily,2016021600,all-access,user,718
en.wikipedia,Jim_Neidhart,daily,2016021700,all-access,user,727
en.wikipedia,Jim_Neidhart,daily,2016021800,all-access,user,699
en.wikipedia,Jim_Neidhart,daily,2016021900,all-access,user,1048
en.wikipedia,Jim_Neidhart,daily,2016022000,all-access,user,942
en.wikipedia,Jim_Neidhart,daily,2016022100,all-access,user,775
en.wikipedia,Jim_Neidhart,daily,2016022200,all-access,user,696
en.wikipedia,Jim_Neidhart,daily,2016022300,all-access,user,777
en.wikipedia,Jim_Neidhart,daily,2016022400,all-access,user,684
en.wikipedia,Jim_Neidhart,daily,2016022500,all-access,user,612
en.wikipedia,Jim_Neidhart,daily,2016022600,all-access,user,977
en.wikipedia,Jim_Neidhart,daily,2016022700,all-access,user,724
en.wikipedia,Jim_Neidhart,daily,2016022800,all-access,user,754
en.wikipedia,Jim_Neidhart,daily,2016022900,all-access,user,599
en.wikipedia,Jim_Neidhart,daily,2016030100,all-access,user,709
en.wikipedia,Jim_Neidhart,daily,2016030200,all-access,user,2554
en.wikipedia,Jim_Neidhart,daily,2016030300,all-access,user,1811
en.wikipedia,Jim_Neidhart,daily,2016030400,all-access,user,1041
en.wikipedia,Jim_Neidhart,daily,2016030500,all-access,user,1320
en.wikipedia,Jim_Neidhart,daily,2016030600,all-access,user,1298
en.wikipedia,Jim_Neidhart,daily,2016030700,all-access,user,1652
en.wikipedia,Jim_Neidhart,daily,2016030800,all-access,user,1436
en.wikipedia,Jim_Neidhart,daily,2016030900,all-access,user,1212
en.wikipedia,Jim_Neidhart,daily,2016031000,all-access,user,780
en.wikipedia,Jim_Neidhart,daily,2016031100,all-access,user,854
en.wikipedia,Jim_Neidhart,daily,2016031200,all-access,user,913
en.wikipedia,Jim_Neidhart,daily,2016031300,all-access,user,2602
en.wikipedia,Jim_Neidhart,daily,2016031400,all-access,user,1155
en.wikipedia,Jim_Neidhart,daily,2016031500,all-access,user,985
en.wikipedia,Jim_Neidhart,daily,2016031600,all-access,user,2538
en.wikipedia,Jim_Neidhart,daily,2016031700,all-access,user,1262
en.wikipedia,Jim_Neidhart,daily,2016031800,all-access,user,924
en.wikipedia,Jim_Neidhart,daily,2016031900,all-access,user,979
en.wikipedia,Jim_Neidhart,daily,2016032000,all-access,user,1273
en.wikipedia,Jim_Neidhart,daily,2016032100,all-access,user,977
en.wikipedia,Jim_Neidhart,daily,2016032200,all-access,user,1064
en.wikipedia,Jim_Neidhart,daily,2016032300,all-access,user,1140
en.wikipedia,Jim_Neidhart,daily,2016032400,all-access,user,889
en.wikipedia,Jim_Neidhart,daily,2016032500,all-access,user,876
