project,article,granularity,timestamp,access,agent,views
en.wikipedia,John_Mahoney,daily,2015070100,all-access,user,1450
en.wikipedia,John_Mahoney,daily,2015070200,all-access,user,1485
en.wikipedia,John_Mahoney,daily,2015070300,all-access,user,1641
en.wikipedia,John_Mahoney,daily,2015070400,all-access,user,1610
en.wikipedia,John_Mahoney,daily,2015070500,all-access,user,1686
en.wikipedia,John_Mahoney,daily,2015070600,all-access,user,1576
en.wikipedia,John_Mahoney,daily,2015070700,all-access,user,1857
en.wikipedia,John_Mahoney,daily,2015070800,all-access,user,1716
en.wikipedia,John_Mahoney,daily,2015070900,all-access,user,1601
en.wikipedia,John_Mahoney,daily,2015071000,all-access,user,1409
en.wikipedia,John_Mahoney,daily,2015071100,all-access,user,1603
en.wikipedia,John_Mahoney,daily,2015071200,all-access,user,1763
en.wikipedia,John_Mahoney,daily,2015071300,all-access,user,1685
en.wikipedia,John_Mahoney,daily,2015071400,all-access,user,1768
en.wikipedia,John_Mahoney,daily,2015071500,all-access,user,1449
en.wikipedia,John_Mahoney,daily,2015071600,all-access,user,1373
en.wikipedia,John_Mahoney,daily,2015071700,all-access,user,1365
en.wikipedia,John_Mahoney,daily,2015071800,all-access,user,1609
en.wikipedia,John_Mahoney,daily,2015071900,all-access,user,1749
en.wikipedia,John_Mahoney,daily,2015072000,all-access,user,1613
en.wikipedia,John_Mahoney,daily,2015072100,all-access,user,1478
en.wikipedia,John_Mahoney,daily,2015072200,all-access,user,1579
en.wikipedia,John_Mahoney,daily,2015072300,all-access,user,1464
en.wikipedia,John_Mahoney,daily,2015072400,all-access,user,1627
en.wikipedia,John_Mahoney,daily,2015072500,all-access,user,1619
en.wikipedia,John_Mahoney,daily,2015072600,all-access,user,1713
en.wikipedia,John_Mahoney,daily,2015072700,all-access,user,1720
en.wikipedia,John_Mahoney,daily,2015072800,all-access,user,1406
en.wikipedia,John_Mahoney,daily,2015072900,all-access,user,1526
en.wikipedia,John_Mahoney,daily,2015073000,all-access,user,1448
en.wikipedia,John_Mahoney,daily,2015073100,all-access,user,1364
en.wikipedia,John_Mahoney,daily,2015080100,all-access,user,1551
en.wikipedia,John_Mahoney,daily,2015080200,all-access,user,2136
en.wikipedia,John_Mahoney,daily,2015080300,all-access,user,1866
en.wikipedia,John_Mahoney,daily,2015080400,all-access,user,1621
en.wikipedia,John_Mahoney,daily,2015080500,all-access,user,1654
en.wikipedia,John_Mahoney,daily,2015080600,all-access,user,1523
en.wikipedia,John_Mahoney,daily,2015080700,all-access,user,1376
en.wikipedia,John_Mahoney,daily,2015080800,all-access,user,1595
en.wikipedia,John_Mahoney,daily,2015080900,all-access,user,1692
en.wikipedia,John_Mahoney,daily,2015081000,all-access,user,1625
en.wikipedia,John_Mahoney,daily,2015081100,all-access,user,1538
en.wikipedia,John_Mahoney,daily,2015081200,all-access,user,2234
en.wikipedia,John_Mahoney,daily,2015081300,all-access,user,1780
en.wikipedia,John_Mahoney,daily,2015081400,all-access,user,1819
en.wikipedia,John_Mahoney,daily,2015081500,all-access,user,1760
en.wikipedia,John_Mahoney,daily,2015081600,all-access,user,1817
en.wikipedia,John_Mahoney,daily,2015081700,all-access,user,1744
en.wikipedia,John_Mahoney,daily,2015081800,all-access,user,1690
en.wikipedia,John_Mahoney,daily,2015081900,all-access,user,1428
en.wikipedia,John_Mahoney,daily,2015082000,all-access,user,1679
en.wikipedia,John_Mahoney,daily,2015082100,all-access,user,1480
en.wikipedia,John_Mahoney,daily,2015082200,all-access,user,1536
en.wikipedia,John_Mahoney,daily,2015082300,all-access,user,1647
en.wikipedia,John_Mahoney,daily,2015082400,all-access,user,1869
en.wikipedia,John_Mahoney,daily,2015082500,all-access,user,1660
en.wikipedia,John_Mahoney,daily,2015082600,all-access,user,1525
en.wikipedia,John_Mahoney,daily,2015082700,all-access,user,1449
en.wikipedia,John_Mahoney,daily,2015082800,all-access,user,1699
en.wikipedia,John_Mahoney,daily,2015082900,all-access,user,1650
en.wikipedia,John_Mahoney,daily,2015083000,all-access,user,1732
en.wikipedia,John_Mahoney,daily,2015083100,all-access,user,1657
en.wikipedia,John_Mahoney,daily,2015090100,all-access,user,1412
en.wikipedia,John_Mahoney,daily,2015090200,all-access,user,1345
en.wikipedia,John_Mahoney,daily,2015090300,all-access,user,1359
en.wikipedia,John_Mahoney,daily,2015090400,all-access,user,1421
en.wikipedia,John_Mahoney,daily,2015090500,all-access,user,1550
en.wikipedia,John_Mahoney,daily,2015090600,all-access,user,1624
en.wikipedia,John_Mahoney,daily,2015090700,all-access,user,1599
en.wikipedia,John_Mahoney,daily,2015090800,all-access,user,1522
en.wikipedia,John_Mahoney,daily,2015090900,all-access,user,1321
en.wikipedia,John_Mahoney,daily,2015091000,all-access,user,1292
en.wikipedia,John_Mahoney,daily,2015091100,all-access,user,1216
en.wikipedia,John_Mahoney,daily,2015091200,all-access,user,1408
en.wikipedia,John_Mahoney,daily,2015091300,all-access,user,1555
en.wikipedia,John_Mahoney,daily,2015091400,all-access,user,1516
en.wikipedia,John_Mahoney,daily,2015091500,all-access,user,1292
en.wikipedia,John_Mahoney,daily,2015091600,all-access,user,1360
en.wikipedia,John_Mahoney,daily,2015091700,all-access,user,1269
en.wikipedia,John_Mahoney,daily,2015091800,all-access,user,1238
en.wikipedia,John_Mahoney,daily,2015091900,all-access,user,1344
en.wikipedia,John_Mahoney,daily,2015092000,all-access,user,1626
en.wikipedia,John_Mahoney,daily,2015092100,all-access,user,1403
en.wikipedia,John_Mahoney,daily,2015092200,all-access,user,1411
en.wikipedia,John_Mahoney,daily,2015092300,all-access,user,1320
en.wikipedia,John_Mahoney,daily,2015092400,all-access,user,1274
en.wikipedia,John_Mahoney,daily,2015092500,all-access,user,1204
en.wikipedia,John_Mahoney,daily,2015092600,all-access,user,1258
en.wikipedia,John_Mahoney,daily,2015092700,all-access,user,1375
en.wikipedia,John_Mahoney,daily,2015092800,all-access,user,1262
en.wikipedia,John_Mahoney,daily,2015092900,all-access,user,1349
en.wikipedia,John_Mahoney,daily,2015093000,all-access,user,1352
en.wikipedia,John_Mahoney,daily,2015100100,all-access,user,1162
en.wikipedia,John_Mahoney,daily,2015100200,all-access,user,1160
en.wikipedia,John_Mahoney,daily,2015100300,all-access,user,1382
en.wikipedia,John_Mahoney,daily,2015100400,all-access,user,1568
en.wikipedia,John_Mahoney,daily,2015100500,all-access,user,1382
en.wikipedia,John_Mahoney,daily,2015100600,all-access,user,1482
en.wikipedia,John_Mahoney,daily,2015100700,all-access,user,1218
en.wikipedia,John_Mahoney,daily,2015100800,all-access,user,1125
en.wikipedia,John_Mahoney,daily,2015100900,all-access,user,1330
en.wikipedia,John_Mahoney,daily,2015101000,all-access,user,1400
en.wikipedia,John_Mahoney,daily,2015101100,all-access,user,1292
en.wikipedia,John_Mahoney,daily,2015101200,all-access,user,1208
en.wikipedia,John_Mahoney,daily,2015101300,all-access,user,1364
en.wikipedia,John_Mahoney,daily,2015101400,all-access,user,1277
en.wikipedia,John_Mahoney,daily,2015101500,all-access,user,1246
en.wikipedia,John_Mahoney,daily,2015101600,all-access,user,1244
en.wikipedia,John_Mahoney,daily,2015101700,all-access,user,1271
en.wikipedia,John_Mahoney,daily,2015101800,all-access,user,1457
en.wikipedia,John_Mahoney,daily,2015101900,all-access,user,1219
en.wikipedia,John_Mahoney,daily,2015102000,all-access,user,1419
en.wikipedia,John_Mahoney,daily,2015102100,all-access,user,1572
en.wikipedia,John_Mahoney,daily,2015102200,all-access,user,1235
en.wikipedia,John_Mahoney,daily,2015102300,all-access,user,1208
en.wikipedia,John_Mahoney,daily,2015102400,all-access,user,1211
en.wikipedia,John_Mahoney,daily,2015102500,all-access,user,1760
en.wikipedia,John_Mahoney,daily,2015102600,all-access,user,1378
en.wikipedia,John_Mahoney,daily,2015102700,all-access,user,1224
en.wikipedia,John_Mahoney,daily,2015102800,all-access,user,1279
en.wikipedia,John_Mahoney,daily,2015102900,all-access,user,1334
en.wikipedia,John_Mahoney,daily,2015103000,all-access,user,1120
en.wikipedia,John_Mahoney,daily,2015103100,all-access,user,1097
en.wikipedia,John_Mahoney,daily,2015110100,all-access,user,1204
en.wikipedia,John_Mahoney,daily,2015110200,all-access,user,1241
en.wikipedia,John_Mahoney,daily,2015110300,all-access,user,1311
en.wikipedia,John_Mahoney,daily,2015110400,all-access,user,1425
en.wikipedia,John_Mahoney,daily,2015110500,all-access,user,1412
en.wikipedia,John_Mahoney,daily,2015110600,all-access,user,1486
en.wikipedia,John_Mahoney,daily,2015110700,all-access,user,1814
en.wikipedia,John_Mahoney,daily,2015110800,all-access,user,1532
en.wikipedia,John_Mahoney,daily,2015110900,all-access,user,1344
en.wikipedia,John_Mahoney,daily,2015111000,all-access,user,1294
en.wikipedia,John_Mahoney,daily,2015111100,all-access,user,1566
en.wikipedia,John_Mahoney,daily,2015111200,all-access,user,1574
en.wikipedia,John_Mahoney,daily,2015111300,all-access,user,1457
en.wikipedia,John_Mahoney,daily,2015111400,all-access,user,1403
en.wikipedia,John_Mahoney,daily,2015111500,all-access,user,1565
en.wikipedia,John_Mahoney,daily,2015111600,all-access,user,1331
en.wikipedia,John_Mahoney,daily,2015111700,all-access,user,1345
en.wikipedia,John_Mahoney,daily,2015111800,all-access,user,1488
en.wikipedia,John_Mahoney,daily,2015111900,all-access,user,1495
en.wikipedia,John_Mahoney,daily,2015112000,all-access,user,1435
en.wikipedia,John_Mahoney,daily,2015112100,all-access,user,1536
en.wikipedia,John_Mahoney,daily,2015112200,all-access,user,1554
en.wikipedia,John_Mahoney,daily,2015112300,all-access,user,1445
en.wikipedia,John_Mahoney,daily,2015112400,all-access,user,1431
en.wikipedia,John_Mahoney,daily,2015112500,all-access,user,1412
en.wikipedia,John_Mahoney,daily,2015112600,all-access,user,1538
en.wikipedia,John_Mahoney,daily,2015112700,all-access,user,1533
en.wikipedia,John_Mahoney,daily,2015112800,all-access,user,1488
en.wikipedia,John_Mahoney,daily,2015112900,all-access,user,2017
en.wikipedia,John_Mahoney,daily,2015113000,all-access,user,1585
en.wikipedia,John_Mahoney,daily,2015120100,all-access,user,1449
en.wikipedia,John_Mahoney,daily,2015120200,all-access,user,1364
