project,article,granularity,timestamp,access,agent,views
en.wikipedia,John_McCain,daily,2015070100,all-access,user,4508
en.wikipedia,John_McCain,daily,2015070200,all-access,user,4307
en.wikipedia,John_McCain,daily,2015070300,all-access,user,4083
en.wikipedia,John_McCain,daily,2015070400,all-access,user,3805
en.wikipedia,John_McCain,daily,2015070500,all-access,user,3758
en.wikipedia,John_McCain,daily,2015070600,all-access,user,3705
en.wikipedia,John_McCain,daily,2015070700,all-access,user,4323
en.wikipedia,John_McCain,daily,2015070800,all-access,user,4315
en.wikipedia,John_McCain,daily,2015070900,all-access,user,4376
en.wikipedia,John_McCain,daily,2015071000,all-access,user,4201
en.wikipedia,John_McCain,daily,2015071100,all-access,user,4355
en.wikipedia,John_McCain,daily,2015071200,all-access,user,3899
en.wikipedia,John_McCain,daily,2015071300,all-access,user,4024
en.wikipedia,John_McCain,daily,2015071400,all-access,user,4203
en.wikipedia,John_McCain,daily,2015071500,all-access,user,4076
en.wikipedia,John_McCain,daily,2015071600,all-access,user,4701
en.wikipedia,John_McCain,daily,2015071700,all-access,user,5422
en.wikipedia,John_McCain,daily,2015071800,all-access,user,31593
en.wikipedia,John_McCain,daily,2015071900,all-access,user,79714
en.wikipedia,John_McCain,daily,2015072000,all-access,user,74062
en.wikipedia,John_McCain,daily,2015072100,all-access,user,56825
en.wikipedia,John_McCain,daily,2015072200,all-access,user,24919
en.wikipedia,John_McCain,daily,2015072300,all-access,user,13893
en.wikipedia,John_McCain,daily,2015072400,all-access,user,10686
en.wikipedia,John_McCain,daily,2015072500,all-access,user,8728
en.wikipedia,John_McCain,daily,2015072600,all-access,user,9567
en.wikipedia,John_McCain,daily,2015072700,all-access,user,8626
en.wikipedia,John_McCain,daily,2015072800,all-access,user,7837
en.wikipedia,John_McCain,daily,2015072900,all-access,user,6405
en.wikipedia,John_McCain,daily,2015073000,all-access,user,5862
en.wikipedia,John_McCain,daily,2015073100,all-access,user,5425
en.wikipedia,John_McCain,daily,2015080100,all-access,user,4925
en.wikipedia,John_McCain,daily,2015080200,all-access,user,5039
en.wikipedia,John_McCain,daily,2015080300,all-access,user,4305
en.wikipedia,John_McCain,daily,2015080400,all-access,user,4997
en.wikipedia,John_McCain,daily,2015080500,all-access,user,5573
en.wikipedia,John_McCain,daily,2015080600,all-access,user,5293
en.wikipedia,John_McCain,daily,2015080700,all-access,user,7473
en.wikipedia,John_McCain,daily,2015080800,all-access,user,5794
en.wikipedia,John_McCain,daily,2015080900,all-access,user,5859
en.wikipedia,John_McCain,daily,2015081000,all-access,user,5291
en.wikipedia,John_McCain,daily,2015081100,all-access,user,5157
en.wikipedia,John_McCain,daily,2015081200,all-access,user,5155
en.wikipedia,John_McCain,daily,2015081300,all-access,user,4869
en.wikipedia,John_McCain,daily,2015081400,all-access,user,4989
en.wikipedia,John_McCain,daily,2015081500,all-access,user,4477
en.wikipedia,John_McCain,daily,2015081600,all-access,user,4802
en.wikipedia,John_McCain,daily,2015081700,all-access,user,5108
en.wikipedia,John_McCain,daily,2015081800,all-access,user,4915
en.wikipedia,John_McCain,daily,2015081900,all-access,user,5754
en.wikipedia,John_McCain,daily,2015082000,all-access,user,4979
en.wikipedia,John_McCain,daily,2015082100,all-access,user,5359
en.wikipedia,John_McCain,daily,2015082200,all-access,user,4762
en.wikipedia,John_McCain,daily,2015082300,all-access,user,4353
en.wikipedia,John_McCain,daily,2015082400,all-access,user,4208
en.wikipedia,John_McCain,daily,2015082500,all-access,user,4414
en.wikipedia,John_McCain,daily,2015082600,all-access,user,4510
en.wikipedia,John_McCain,daily,2015082700,all-access,user,4294
en.wikipedia,John_McCain,daily,2015082800,all-access,user,4361
en.wikipedia,John_McCain,daily,2015082900,all-access,user,4585
en.wikipedia,John_McCain,daily,2015083000,all-access,user,4766
en.wikipedia,John_McCain,daily,2015083100,all-access,user,4418
en.wikipedia,John_McCain,daily,2015090100,all-access,user,4334
en.wikipedia,John_McCain,daily,2015090200,all-access,user,4851
en.wikipedia,John_McCain,daily,2015090300,all-access,user,4953
en.wikipedia,John_McCain,daily,2015090400,all-access,user,4760
en.wikipedia,John_McCain,daily,2015090500,all-access,user,3985
en.wikipedia,John_McCain,daily,2015090600,all-access,user,4264
en.wikipedia,John_McCain,daily,2015090700,all-access,user,4568
en.wikipedia,John_McCain,daily,2015090800,all-access,user,4443
en.wikipedia,John_McCain,daily,2015090900,all-access,user,4497
en.wikipedia,John_McCain,daily,2015091000,all-access,user,4432
en.wikipedia,John_McCain,daily,2015091100,all-access,user,4401
en.wikipedia,John_McCain,daily,2015091200,all-access,user,4067
en.wikipedia,John_McCain,daily,2015091300,all-access,user,3779
en.wikipedia,John_McCain,daily,2015091400,all-access,user,3849
en.wikipedia,John_McCain,daily,2015091500,all-access,user,4016
en.wikipedia,John_McCain,daily,2015091600,all-access,user,4724
en.wikipedia,John_McCain,daily,2015091700,all-access,user,5995
en.wikipedia,John_McCain,daily,2015091800,all-access,user,6465
en.wikipedia,John_McCain,daily,2015091900,all-access,user,6212
en.wikipedia,John_McCain,daily,2015092000,all-access,user,5769
en.wikipedia,John_McCain,daily,2015092100,all-access,user,5163
en.wikipedia,John_McCain,daily,2015092200,all-access,user,4832
en.wikipedia,John_McCain,daily,2015092300,all-access,user,4583
en.wikipedia,John_McCain,daily,2015092400,all-access,user,4596
en.wikipedia,John_McCain,daily,2015092500,all-access,user,4499
en.wikipedia,John_McCain,daily,2015092600,all-access,user,4158
en.wikipedia,John_McCain,daily,2015092700,all-access,user,4078
en.wikipedia,John_McCain,daily,2015092800,all-access,user,4363
en.wikipedia,John_McCain,daily,2015092900,all-access,user,4010
en.wikipedia,John_McCain,daily,2015093000,all-access,user,4809
en.wikipedia,John_McCain,daily,2015100100,all-access,user,4947
en.wikipedia,John_McCain,daily,2015100200,all-access,user,4973
en.wikipedia,John_McCain,daily,2015100300,all-access,user,4077
en.wikipedia,John_McCain,daily,2015100400,all-access,user,4797
en.wikipedia,John_McCain,daily,2015100500,all-access,user,4391
en.wikipedia,John_McCain,daily,2015100600,all-access,user,6151
en.wikipedia,John_McCain,daily,2015100700,all-access,user,5073
en.wikipedia,John_McCain,daily,2015100800,all-access,user,5123
en.wikipedia,John_McCain,daily,2015100900,all-access,user,4708
en.wikipedia,John_McCain,daily,2015101000,all-access,user,3939
en.wikipedia,John_McCain,daily,2015101100,all-access,user,4027
en.wikipedia,John_McCain,daily,2015101200,all-access,user,5028
