project,article,granularity,timestamp,access,agent,views
en.wikipedia,Kader_Khan,daily,2015070100,all-access,user,2653
en.wikipedia,Kader_Khan,daily,2015070200,all-access,user,2687
en.wikipedia,Kader_Khan,daily,2015070300,all-access,user,2387
en.wikipedia,Kader_Khan,daily,2015070400,all-access,user,2497
en.wikipedia,Kader_Khan,daily,2015070500,all-access,user,2731
en.wikipedia,Kader_Khan,daily,2015070600,all-access,user,2434
en.wikipedia,Kader_Khan,daily,2015070700,all-access,user,2336
en.wikipedia,Kader_Khan,daily,2015070800,all-access,user,2179
en.wikipedia,Kader_Khan,daily,2015070900,all-access,user,2464
en.wikipedia,Kader_Khan,daily,2015071000,all-access,user,2815
en.wikipedia,Kader_Khan,daily,2015071100,all-access,user,2847
en.wikipedia,Kader_Khan,daily,2015071200,all-access,user,2469
en.wikipedia,Kader_Khan,daily,2015071300,all-access,user,2777
en.wikipedia,Kader_Khan,daily,2015071400,all-access,user,3108
en.wikipedia,Kader_Khan,daily,2015071500,all-access,user,3985
en.wikipedia,Kader_Khan,daily,2015071600,all-access,user,4265
en.wikipedia,Kader_Khan,daily,2015071700,all-access,user,3153
en.wikipedia,Kader_Khan,daily,2015071800,all-access,user,3262
en.wikipedia,Kader_Khan,daily,2015071900,all-access,user,3370
en.wikipedia,Kader_Khan,daily,2015072000,all-access,user,3136
en.wikipedia,Kader_Khan,daily,2015072100,all-access,user,3393
en.wikipedia,Kader_Khan,daily,2015072200,all-access,user,3032
en.wikipedia,Kader_Khan,daily,2015072300,all-access,user,3077
en.wikipedia,Kader_Khan,daily,2015072400,all-access,user,3267
en.wikipedia,Kader_Khan,daily,2015072500,all-access,user,3154
en.wikipedia,Kader_Khan,daily,2015072600,all-access,user,3954
en.wikipedia,Kader_Khan,daily,2015072700,all-access,user,3488
en.wikipedia,Kader_Khan,daily,2015072800,all-access,user,2908
en.wikipedia,Kader_Khan,daily,2015072900,all-access,user,3129
en.wikipedia,Kader_Khan,daily,2015073000,all-access,user,2631
en.wikipedia,Kader_Khan,daily,2015073100,all-access,user,2932
en.wikipedia,Kader_Khan,daily,2015080100,all-access,user,2785
en.wikipedia,Kader_Khan,daily,2015080200,all-access,user,2919
en.wikipedia,Kader_Khan,daily,2015080300,all-access,user,2223
en.wikipedia,Kader_Khan,daily,2015080400,all-access,user,2097
en.wikipedia,Kader_Khan,daily,2015080500,all-access,user,2349
en.wikipedia,Kader_Khan,daily,2015080600,all-access,user,2301
en.wikipedia,Kader_Khan,daily,2015080700,all-access,user,2037
en.wikipedia,Kader_Khan,daily,2015080800,all-access,user,2349
en.wikipedia,Kader_Khan,daily,2015080900,all-access,user,4385
en.wikipedia,Kader_Khan,daily,2015081000,all-access,user,9201
en.wikipedia,Kader_Khan,daily,2015081100,all-access,user,4952
en.wikipedia,Kader_Khan,daily,2015081200,all-access,user,3018
en.wikipedia,Kader_Khan,daily,2015081300,all-access,user,2664
en.wikipedia,Kader_Khan,daily,2015081400,all-access,user,2472
en.wikipedia,Kader_Khan,daily,2015081500,all-access,user,2483
en.wikipedia,Kader_Khan,daily,2015081600,all-access,user,3033
en.wikipedia,Kader_Khan,daily,2015081700,all-access,user,2881
en.wikipedia,Kader_Khan,daily,2015081800,all-access,user,2485
en.wikipedia,Kader_Khan,daily,2015081900,all-access,user,2589
en.wikipedia,Kader_Khan,daily,2015082000,all-access,user,2268
en.wikipedia,Kader_Khan,daily,2015082100,all-access,user,2396
en.wikipedia,Kader_Khan,daily,2015082200,all-access,user,2648
en.wikipedia,Kader_Khan,daily,2015082300,all-access,user,2298
en.wikipedia,Kader_Khan,daily,2015082400,all-access,user,2180
en.wikipedia,Kader_Khan,daily,2015082500,all-access,user,2173
en.wikipedia,Kader_Khan,daily,2015082600,all-access,user,2218
