project,article,granularity,timestamp,access,agent,views
en.wikipedia,Ken_Berry,daily,2015070100,all-access,user,473
en.wikipedia,Ken_Berry,daily,2015070200,all-access,user,1182
en.wikipedia,Ken_Berry,daily,2015070300,all-access,user,1652
en.wikipedia,Ken_Berry,daily,2015070400,all-access,user,1375
en.wikipedia,Ken_Berry,daily,2015070500,all-access,user,627
en.wikipedia,Ken_Berry,daily,2015070600,all-access,user,708
en.wikipedia,Ken_Berry,daily,2015070700,all-access,user,607
en.wikipedia,Ken_Berry,daily,2015070800,all-access,user,453
en.wikipedia,Ken_Berry,daily,2015070900,all-access,user,416
en.wikipedia,Ken_Berry,daily,2015071000,all-access,user,542
en.wikipedia,Ken_Berry,daily,2015071100,all-access,user,500
en.wikipedia,Ken_Berry,daily,2015071200,all-access,user,507
en.wikipedia,Ken_Berry,daily,2015071300,all-access,user,490
en.wikipedia,Ken_Berry,daily,2015071400,all-access,user,1608
en.wikipedia,Ken_Berry,daily,2015071500,all-access,user,1304
en.wikipedia,Ken_Berry,daily,2015071600,all-access,user,939
en.wikipedia,Ken_Berry,daily,2015071700,all-access,user,475
en.wikipedia,Ken_Berry,daily,2015071800,all-access,user,862
en.wikipedia,Ken_Berry,daily,2015071900,all-access,user,640
en.wikipedia,Ken_Berry,daily,2015072000,all-access,user,450
en.wikipedia,Ken_Berry,daily,2015072100,all-access,user,528
en.wikipedia,Ken_Berry,daily,2015072200,all-access,user,494
en.wikipedia,Ken_Berry,daily,2015072300,all-access,user,487
en.wikipedia,Ken_Berry,daily,2015072400,all-access,user,592
en.wikipedia,Ken_Berry,daily,2015072500,all-access,user,550
en.wikipedia,Ken_Berry,daily,2015072600,all-access,user,2080
en.wikipedia,Ken_Berry,daily,2015072700,all-access,user,824
en.wikipedia,Ken_Berry,daily,2015072800,all-access,user,455
en.wikipedia,Ken_Berry,daily,2015072900,all-access,user,521
en.wikipedia,Ken_Berry,daily,2015073000,all-access,user,548
en.wikipedia,Ken_Berry,daily,2015073100,all-access,user,463
en.wikipedia,Ken_Berry,daily,2015080100,all-access,user,540
en.wikipedia,Ken_Berry,daily,2015080200,all-access,user,623
en.wikipedia,Ken_Berry,daily,2015080300,all-access,user,372
en.wikipedia,Ken_Berry,daily,2015080400,all-access,user,428
en.wikipedia,Ken_Berry,daily,2015080500,all-access,user,422
en.wikipedia,Ken_Berry,daily,2015080600,all-access,user,606
en.wikipedia,Ken_Berry,daily,2015080700,all-access,user,694
en.wikipedia,Ken_Berry,daily,2015080800,all-access,user,596
en.wikipedia,Ken_Berry,daily,2015080900,all-access,user,515
en.wikipedia,Ken_Berry,daily,2015081000,all-access,user,417
en.wikipedia,Ken_Berry,daily,2015081100,all-access,user,524
en.wikipedia,Ken_Berry,daily,2015081200,all-access,user,433
en.wikipedia,Ken_Berry,daily,2015081300,all-access,user,1469
en.wikipedia,Ken_Berry,daily,2015081400,all-access,user,2107
en.wikipedia,Ken_Berry,daily,2015081500,all-access,user,1822
en.wikipedia,Ken_Berry,daily,2015081600,all-access,user,764
en.wikipedia,Ken_Berry,daily,2015081700,all-access,user,648
en.wikipedia,Ken_Berry,daily,2015081800,all-access,user,637
en.wikipedia,Ken_Berry,daily,2015081900,all-access,user,514
en.wikipedia,Ken_Berry,daily,2015082000,all-access,user,536
en.wikipedia,Ken_Berry,daily,2015082100,all-access,user,461
en.wikipedia,Ken_Berry,daily,2015082200,all-access,user,5509
en.wikipedia,Ken_Berry,daily,2015082300,all-access,user,5298
en.wikipedia,Ken_Berry,daily,2015082400,all-access,user,6648
en.wikipedia,Ken_Berry,daily,2015082500,all-access,user,5487
en.wikipedia,Ken_Berry,daily,2015082600,all-access,user,2826
en.wikipedia,Ken_Berry,daily,2015082700,all-access,user,1595
en.wikipedia,Ken_Berry,daily,2015082800,all-access,user,1861
en.wikipedia,Ken_Berry,daily,2015082900,all-access,user,1991
en.wikipedia,Ken_Berry,daily,2015083000,all-access,user,1789
en.wikipedia,Ken_Berry,daily,2015083100,all-access,user,1044
en.wikipedia,Ken_Berry,daily,2015090100,all-access,user,748
en.wikipedia,Ken_Berry,daily,2015090200,all-access,user,1699
en.wikipedia,Ken_Berry,daily,2015090300,all-access,user,1649
en.wikipedia,Ken_Berry,daily,2015090400,all-access,user,957
en.wikipedia,Ken_Berry,daily,2015090500,all-access,user,833
en.wikipedia,Ken_Berry,daily,2015090600,all-access,user,867
en.wikipedia,Ken_Berry,daily,2015090700,all-access,user,635
en.wikipedia,Ken_Berry,daily,2015090800,all-access,user,651
en.wikipedia,Ken_Berry,daily,2015090900,all-access,user,683
