project,article,granularity,timestamp,access,agent,views
en.wikipedia,László_Fábián,daily,2015070100,all-access,user,0
en.wikipedia,László_Fábián,daily,2015070200,all-access,user,1
en.wikipedia,László_Fábián,daily,2015070400,all-access,user,0
en.wikipedia,László_Fábián,daily,2015070500,all-access,user,1
en.wikipedia,László_Fábián,daily,2015070600,all-access,user,0
en.wikipedia,László_Fábián,daily,2015070700,all-access,user,1
en.wikipedia,László_Fábián,daily,2015070800,all-access,user,0
en.wikipedia,László_Fábián,daily,2015070900,all-access,user,1
en.wikipedia,László_Fábián,daily,2015071000,all-access,user,4
en.wikipedia,László_Fábián,daily,2015071100,all-access,user,1
en.wikipedia,László_Fábián,daily,2015071200,all-access,user,2
en.wikipedia,László_Fábián,daily,2015071500,all-access,user,1
en.wikipedia,László_Fábián,daily,2015071600,all-access,user,1
en.wikipedia,László_Fábián,daily,2015071800,all-access,user,0
en.wikipedia,László_Fábián,daily,2015072000,all-access,user,0
en.wikipedia,László_Fábián,daily,2015072100,all-access,user,0
en.wikipedia,László_Fábián,daily,2015072200,all-access,user,3
en.wikipedia,László_Fábián,daily,2015072300,all-access,user,1
en.wikipedia,László_Fábián,daily,2015072400,all-access,user,0
en.wikipedia,László_Fábián,daily,2015072600,all-access,user,0
en.wikipedia,László_Fábián,daily,2015072800,all-access,user,1
en.wikipedia,László_Fábián,daily,2015072900,all-access,user,0
en.wikipedia,László_Fábián,daily,2015073000,all-access,user,1
en.wikipedia,László_Fábián,daily,2015073100,all-access,user,0
en.wikipedia,László_Fábián,daily,2015080200,all-access,user,2
en.wikipedia,László_Fábián,daily,2015080400,all-access,user,1
en.wikipedia,László_Fábián,daily,2015080600,all-access,user,1
en.wikipedia,László_Fábián,daily,2015080700,all-access,user,1
en.wikipedia,László_Fábián,daily,2015080800,all-access,user,0
en.wikipedia,László_Fábián,daily,2015081000,all-access,user,1
en.wikipedia,László_Fábián,daily,2015081100,all-access,user,1
en.wikipedia,László_Fábián,daily,2015081200,all-access,user,1
en.wikipedia,László_Fábián,daily,2015081300,all-access,user,1
en.wikipedia,László_Fábián,daily,2015081700,all-access,user,1
en.wikipedia,László_Fábián,daily,2015081900,all-access,user,0
en.wikipedia,László_Fábián,daily,2015082100,all-access,user,0
en.wikipedia,László_Fábián,daily,2015082400,all-access,user,1
en.wikipedia,László_Fábián,daily,2015082600,all-access,user,1
en.wikipedia,László_Fábián,daily,2015082900,all-access,user,0
en.wikipedia,László_Fábián,daily,2015090600,all-access,user,0
en.wikipedia,László_Fábián,daily,2015090700,all-access,user,0
en.wikipedia,László_Fábián,daily,2015090800,all-access,user,0
en.wikipedia,László_Fábián,daily,2015090900,all-access,user,1
en.wikipedia,László_Fábián,daily,2015091000,all-access,user,1
en.wikipedia,László_Fábián,daily,2015091100,all-access,user,0
en.wikipedia,László_Fábián,daily,2015091300,all-access,user,1
en.wikipedia,László_Fábián,daily,2015091400,all-access,user,1
en.wikipedia,László_Fábián,daily,2015091500,all-access,user,1
en.wikipedia,László_Fábián,daily,2015091600,all-access,user,3
en.wikipedia,László_Fábián,daily,2015091700,all-access,user,0
en.wikipedia,László_Fábián,daily,2015092000,all-access,user,0
en.wikipedia,László_Fábián,daily,2015092300,all-access,user,0
en.wikipedia,László_Fábián,daily,2015092500,all-access,user,0
en.wikipedia,László_Fábián,daily,2015092700,all-access,user,2
en.wikipedia,László_Fábián,daily,2015092900,all-access,user,0
en.wikipedia,László_Fábián,daily,2015100100,all-access,user,0
en.wikipedia,László_Fábián,daily,2015100200,all-access,user,0
en.wikipedia,László_Fábián,daily,2015100300,all-access,user,0
en.wikipedia,László_Fábián,daily,2015100400,all-access,user,0
en.wikipedia,László_Fábián,daily,2015100700,all-access,user,0
en.wikipedia,László_Fábián,daily,2015101100,all-access,user,0
en.wikipedia,László_Fábián,daily,2015101200,all-access,user,0
en.wikipedia,László_Fábián,daily,2015101400,all-access,user,0
en.wikipedia,László_Fábián,daily,2015101500,all-access,user,0
en.wikipedia,László_Fábián,daily,2015101600,all-access,user,0
en.wikipedia,László_Fábián,daily,2015101700,all-access,user,0
en.wikipedia,László_Fábián,daily,2015101800,all-access,user,0
en.wikipedia,László_Fábián,daily,2015102000,all-access,user,1
en.wikipedia,László_Fábián,daily,2015102100,all-access,user,4
en.wikipedia,László_Fábián,daily,2015102200,all-access,user,0
en.wikipedia,László_Fábián,daily,2015102300,all-access,user,0
en.wikipedia,László_Fábián,daily,2015102700,all-access,user,1
en.wikipedia,László_Fábián,daily,2015102800,all-access,user,1
en.wikipedia,László_Fábián,daily,2015102900,all-access,user,1
en.wikipedia,László_Fábián,daily,2015103000,all-access,user,0
en.wikipedia,László_Fábián,daily,2015110300,all-access,user,0
en.wikipedia,László_Fábián,daily,2015110400,all-access,user,0
en.wikipedia,László_Fábián,daily,2015110500,all-access,user,0
en.wikipedia,László_Fábián,daily,2015110600,all-access,user,0
en.wikipedia,László_Fábián,daily,2015110700,all-access,user,0
en.wikipedia,László_Fábián,daily,2015110900,all-access,user,0
en.wikipedia,László_Fábián,daily,2015111000,all-access,user,0
en.wikipedia,László_Fábián,daily,2015111100,all-access,user,1
en.wikipedia,László_Fábián,daily,2015111200,all-access,user,0
en.wikipedia,László_Fábián,daily,2015111400,all-access,user,0
en.wikipedia,László_Fábián,daily,2015111600,all-access,user,0
en.wikipedia,László_Fábián,daily,2015111800,all-access,user,1
en.wikipedia,László_Fábián,daily,2015112100,all-access,user,0
en.wikipedia,László_Fábián,daily,2015112200,all-access,user,0
en.wikipedia,László_Fábián,daily,2015112300,all-access,user,0
en.wikipedia,László_Fábián,daily,2015112400,all-access,user,3
en.wikipedia,László_Fábián,daily,2015112500,all-access,user,1
en.wikipedia,László_Fábián,daily,2015112700,all-access,user,1
en.wikipedia,László_Fábián,daily,2015112800,all-access,user,0
en.wikipedia,László_Fábián,daily,2015113000,all-access,user,0
en.wikipedia,László_Fábián,daily,2015120300,all-access,user,0
en.wikipedia,László_Fábián,daily,2015120500,all-access,user,0
en.wikipedia,László_Fábián,daily,2015120600,all-access,user,0
en.wikipedia,László_Fábián,daily,2015120700,all-access,user,1
en.wikipedia,László_Fábián,daily,2015120800,all-access,user,1
en.wikipedia,László_Fábián,daily,2015120900,all-access,user,0
en.wikipedia,László_Fábián,daily,2015121000,all-access,user,0
en.wikipedia,László_Fábián,daily,2015121100,all-access,user,0
en.wikipedia,László_Fábián,daily,2015121200,all-access,user,1
en.wikipedia,László_Fábián,daily,2015121300,all-access,user,0
en.wikipedia,László_Fábián,daily,2015121600,all-access,user,1
en.wikipedia,László_Fábián,daily,2015122100,all-access,user,1
en.wikipedia,László_Fábián,daily,2015122500,all-access,user,3
en.wikipedia,László_Fábián,daily,2015123000,all-access,user,0
en.wikipedia,László_Fábián,daily,2016010200,all-access,user,0
en.wikipedia,László_Fábián,daily,2016010400,all-access,user,1
en.wikipedia,László_Fábián,daily,2016010700,all-access,user,0
en.wikipedia,László_Fábián,daily,2016010800,all-access,user,0
en.wikipedia,László_Fábián,daily,2016011000,all-access,user,0
en.wikipedia,László_Fábián,daily,2016011300,all-access,user,1
en.wikipedia,László_Fábián,daily,2016011400,all-access,user,0
en.wikipedia,László_Fábián,daily,2016011600,all-access,user,0
en.wikipedia,László_Fábián,daily,2016011800,all-access,user,0
en.wikipedia,László_Fábián,daily,2016012100,all-access,user,0
en.wikipedia,László_Fábián,daily,2016012300,all-access,user,1
en.wikipedia,László_Fábián,daily,2016012500,all-access,user,0
en.wikipedia,László_Fábián,daily,2016012600,all-access,user,0
en.wikipedia,László_Fábián,daily,2016012700,all-access,user,1
en.wikipedia,László_Fábián,daily,2016020100,all-access,user,1
en.wikipedia,László_Fábián,daily,2016020200,all-access,user,0
en.wikipedia,László_Fábián,daily,2016020300,all-access,user,1
en.wikipedia,László_Fábián,daily,2016020500,all-access,user,1
en.wikipedia,László_Fábián,daily,2016021000,all-access,user,0
en.wikipedia,László_Fábián,daily,2016021100,all-access,user,0
en.wikipedia,László_Fábián,daily,2016021300,all-access,user,1
en.wikipedia,László_Fábián,daily,2016021500,all-access,user,0
en.wikipedia,László_Fábián,daily,2016021600,all-access,user,0
en.wikipedia,László_Fábián,daily,2016021700,all-access,user,0
en.wikipedia,László_Fábián,daily,2016021800,all-access,user,0
en.wikipedia,László_Fábián,daily,2016021900,all-access,user,1
en.wikipedia,László_Fábián,daily,2016022000,all-access,user,0
en.wikipedia,László_Fábián,daily,2016022500,all-access,user,1
en.wikipedia,László_Fábián,daily,2016022600,all-access,user,1
en.wikipedia,László_Fábián,daily,2016022900,all-access,user,3
en.wikipedia,László_Fábián,daily,2016030200,all-access,user,0
en.wikipedia,László_Fábián,daily,2016030600,all-access,user,3
en.wikipedia,László_Fábián,daily,2016030700,all-access,user,1
en.wikipedia,László_Fábián,daily,2016030800,all-access,user,0
en.wikipedia,László_Fábián,daily,2016031000,all-access,user,0
en.wikipedia,László_Fábián,daily,2016031200,all-access,user,0
en.wikipedia,László_Fábián,daily,2016031300,all-access,user,0
en.wikipedia,László_Fábián,daily,2016031400,all-access,user,0
en.wikipedia,László_Fábián,daily,2016031500,all-access,user,0
en.wikipedia,László_Fábián,daily,2016031600,all-access,user,0
en.wikipedia,László_Fábián,daily,2016031700,all-access,user,1
en.wikipedia,László_Fábián,daily,2016031800,all-access,user,0
en.wikipedia,László_Fábián,daily,2016032000,all-access,user,0
en.wikipedia,László_Fábián,daily,2016032200,all-access,user,0
en.wikipedia,László_Fábián,daily,2016032400,all-access,user,0
en.wikipedia,László_Fábián,daily,2016033100,all-access,user,0
en.wikipedia,László_Fábián,daily,2016040200,all-access,user,0
en.wikipedia,László_Fábián,daily,2016040300,all-access,user,0
en.wikipedia,László_Fábián,daily,2016040500,all-access,user,0
en.wikipedia,László_Fábián,daily,2016040700,all-access,user,0
en.wikipedia,László_Fábián,daily,2016041300,all-access,user,0
