project,article,granularity,timestamp,access,agent,views
en.wikipedia,Lalan_Sarang,daily,2017041200,all-access,user,125
en.wikipedia,Lalan_Sarang,daily,2017041300,all-access,user,16
en.wikipedia,Lalan_Sarang,daily,2017041400,all-access,user,17
en.wikipedia,Lalan_Sarang,daily,2017041500,all-access,user,6
en.wikipedia,Lalan_Sarang,daily,2017041600,all-access,user,6
en.wikipedia,Lalan_Sarang,daily,2017041700,all-access,user,2
en.wikipedia,Lalan_Sarang,daily,2017041800,all-access,user,9
en.wikipedia,Lalan_Sarang,daily,2017041900,all-access,user,15
en.wikipedia,Lalan_Sarang,daily,2017042000,all-access,user,7
en.wikipedia,Lalan_Sarang,daily,2017042100,all-access,user,19
en.wikipedia,Lalan_Sarang,daily,2017042200,all-access,user,7
en.wikipedia,Lalan_Sarang,daily,2017042300,all-access,user,2
en.wikipedia,Lalan_Sarang,daily,2017042400,all-access,user,11
en.wikipedia,Lalan_Sarang,daily,2017042500,all-access,user,1
en.wikipedia,Lalan_Sarang,daily,2017042600,all-access,user,7
en.wikipedia,Lalan_Sarang,daily,2017042700,all-access,user,12
en.wikipedia,Lalan_Sarang,daily,2017042800,all-access,user,21
en.wikipedia,Lalan_Sarang,daily,2017042900,all-access,user,6
en.wikipedia,Lalan_Sarang,daily,2017043000,all-access,user,0
en.wikipedia,Lalan_Sarang,daily,2017050100,all-access,user,6
en.wikipedia,Lalan_Sarang,daily,2017050200,all-access,user,3
en.wikipedia,Lalan_Sarang,daily,2017050300,all-access,user,17
en.wikipedia,Lalan_Sarang,daily,2017050400,all-access,user,6
en.wikipedia,Lalan_Sarang,daily,2017050500,all-access,user,4
en.wikipedia,Lalan_Sarang,daily,2017050600,all-access,user,3
en.wikipedia,Lalan_Sarang,daily,2017050700,all-access,user,6
en.wikipedia,Lalan_Sarang,daily,2017050800,all-access,user,6
en.wikipedia,Lalan_Sarang,daily,2017050900,all-access,user,12
en.wikipedia,Lalan_Sarang,daily,2017051000,all-access,user,7
en.wikipedia,Lalan_Sarang,daily,2017051100,all-access,user,16
en.wikipedia,Lalan_Sarang,daily,2017051200,all-access,user,7
en.wikipedia,Lalan_Sarang,daily,2017051300,all-access,user,7
en.wikipedia,Lalan_Sarang,daily,2017051400,all-access,user,8
en.wikipedia,Lalan_Sarang,daily,2017051500,all-access,user,6
en.wikipedia,Lalan_Sarang,daily,2017051600,all-access,user,6
en.wikipedia,Lalan_Sarang,daily,2017051700,all-access,user,4
