project,article,granularity,timestamp,access,agent,views
en.wikipedia,Linda_Carol_Brown,daily,2018041100,all-access,user,68
en.wikipedia,Linda_Carol_Brown,daily,2018041200,all-access,user,99
en.wikipedia,Linda_Carol_Brown,daily,2018041300,all-access,user,59
en.wikipedia,Linda_Carol_Brown,daily,2018041400,all-access,user,34
en.wikipedia,Linda_Carol_Brown,daily,2018041500,all-access,user,70
en.wikipedia,Linda_Carol_Brown,daily,2018041600,all-access,user,73
en.wikipedia,Linda_Carol_Brown,daily,2018041700,all-access,user,62
en.wikipedia,Linda_Carol_Brown,daily,2018041800,all-access,user,66
en.wikipedia,Linda_Carol_Brown,daily,2018041900,all-access,user,56
en.wikipedia,Linda_Carol_Brown,daily,2018042000,all-access,user,66
en.wikipedia,Linda_Carol_Brown,daily,2018042100,all-access,user,49
en.wikipedia,Linda_Carol_Brown,daily,2018042200,all-access,user,35
en.wikipedia,Linda_Carol_Brown,daily,2018042300,all-access,user,60
en.wikipedia,Linda_Carol_Brown,daily,2018042400,all-access,user,82
en.wikipedia,Linda_Carol_Brown,daily,2018042500,all-access,user,158
en.wikipedia,Linda_Carol_Brown,daily,2018042600,all-access,user,152
en.wikipedia,Linda_Carol_Brown,daily,2018042700,all-access,user,139
en.wikipedia,Linda_Carol_Brown,daily,2018042800,all-access,user,60
en.wikipedia,Linda_Carol_Brown,daily,2018042900,all-access,user,80
en.wikipedia,Linda_Carol_Brown,daily,2018043000,all-access,user,102
en.wikipedia,Linda_Carol_Brown,daily,2018050100,all-access,user,194
en.wikipedia,Linda_Carol_Brown,daily,2018050200,all-access,user,153
en.wikipedia,Linda_Carol_Brown,daily,2018050300,all-access,user,169
en.wikipedia,Linda_Carol_Brown,daily,2018050400,all-access,user,115
en.wikipedia,Linda_Carol_Brown,daily,2018050500,all-access,user,41
en.wikipedia,Linda_Carol_Brown,daily,2018050600,all-access,user,61
en.wikipedia,Linda_Carol_Brown,daily,2018050700,all-access,user,113
en.wikipedia,Linda_Carol_Brown,daily,2018050800,all-access,user,102
en.wikipedia,Linda_Carol_Brown,daily,2018050900,all-access,user,86
en.wikipedia,Linda_Carol_Brown,daily,2018051000,all-access,user,97
en.wikipedia,Linda_Carol_Brown,daily,2018051100,all-access,user,90
en.wikipedia,Linda_Carol_Brown,daily,2018051200,all-access,user,46
en.wikipedia,Linda_Carol_Brown,daily,2018051300,all-access,user,91
en.wikipedia,Linda_Carol_Brown,daily,2018051400,all-access,user,136
en.wikipedia,Linda_Carol_Brown,daily,2018051500,all-access,user,99
en.wikipedia,Linda_Carol_Brown,daily,2018051600,all-access,user,86
en.wikipedia,Linda_Carol_Brown,daily,2018051700,all-access,user,172
en.wikipedia,Linda_Carol_Brown,daily,2018051800,all-access,user,143
en.wikipedia,Linda_Carol_Brown,daily,2018051900,all-access,user,55
en.wikipedia,Linda_Carol_Brown,daily,2018052000,all-access,user,46
en.wikipedia,Linda_Carol_Brown,daily,2018052100,all-access,user,87
en.wikipedia,Linda_Carol_Brown,daily,2018052200,all-access,user,74
en.wikipedia,Linda_Carol_Brown,daily,2018052300,all-access,user,75
en.wikipedia,Linda_Carol_Brown,daily,2018052400,all-access,user,65
en.wikipedia,Linda_Carol_Brown,daily,2018052500,all-access,user,85
en.wikipedia,Linda_Carol_Brown,daily,2018052600,all-access,user,37
en.wikipedia,Linda_Carol_Brown,daily,2018052700,all-access,user,53
en.wikipedia,Linda_Carol_Brown,daily,2018052800,all-access,user,51
en.wikipedia,Linda_Carol_Brown,daily,2018052900,all-access,user,83
en.wikipedia,Linda_Carol_Brown,daily,2018053000,all-access,user,60
en.wikipedia,Linda_Carol_Brown,daily,2018053100,all-access,user,58
en.wikipedia,Linda_Carol_Brown,daily,2018060100,all-access,user,58
en.wikipedia,Linda_Carol_Brown,daily,2018060200,all-access,user,31
en.wikipedia,Linda_Carol_Brown,daily,2018060300,all-access,user,49
en.wikipedia,Linda_Carol_Brown,daily,2018060400,all-access,user,61
en.wikipedia,Linda_Carol_Brown,daily,2018060500,all-access,user,65
en.wikipedia,Linda_Carol_Brown,daily,2018060600,all-access,user,44
en.wikipedia,Linda_Carol_Brown,daily,2018060700,all-access,user,56
en.wikipedia,Linda_Carol_Brown,daily,2018060800,all-access,user,57
en.wikipedia,Linda_Carol_Brown,daily,2018060900,all-access,user,55
en.wikipedia,Linda_Carol_Brown,daily,2018061000,all-access,user,58
en.wikipedia,Linda_Carol_Brown,daily,2018061100,all-access,user,64
en.wikipedia,Linda_Carol_Brown,daily,2018061200,all-access,user,54
en.wikipedia,Linda_Carol_Brown,daily,2018061300,all-access,user,47
en.wikipedia,Linda_Carol_Brown,daily,2018061400,all-access,user,55
en.wikipedia,Linda_Carol_Brown,daily,2018061500,all-access,user,41
en.wikipedia,Linda_Carol_Brown,daily,2018061600,all-access,user,33
en.wikipedia,Linda_Carol_Brown,daily,2018061700,all-access,user,41
en.wikipedia,Linda_Carol_Brown,daily,2018061800,all-access,user,41
en.wikipedia,Linda_Carol_Brown,daily,2018061900,all-access,user,33
en.wikipedia,Linda_Carol_Brown,daily,2018062000,all-access,user,48
en.wikipedia,Linda_Carol_Brown,daily,2018062100,all-access,user,44
en.wikipedia,Linda_Carol_Brown,daily,2018062200,all-access,user,46
en.wikipedia,Linda_Carol_Brown,daily,2018062300,all-access,user,46
en.wikipedia,Linda_Carol_Brown,daily,2018062400,all-access,user,36
en.wikipedia,Linda_Carol_Brown,daily,2018062500,all-access,user,53
en.wikipedia,Linda_Carol_Brown,daily,2018062600,all-access,user,41
