project,article,granularity,timestamp,access,agent,views
en.wikipedia,President_of_Vietnam,daily,2015070100,all-access,user,103
en.wikipedia,President_of_Vietnam,daily,2015070200,all-access,user,105
en.wikipedia,President_of_Vietnam,daily,2015070300,all-access,user,137
en.wikipedia,President_of_Vietnam,daily,2015070400,all-access,user,105
en.wikipedia,President_of_Vietnam,daily,2015070500,all-access,user,133
en.wikipedia,President_of_Vietnam,daily,2015070600,all-access,user,147
en.wikipedia,President_of_Vietnam,daily,2015070700,all-access,user,167
en.wikipedia,President_of_Vietnam,daily,2015070800,all-access,user,213
en.wikipedia,President_of_Vietnam,daily,2015070900,all-access,user,140
en.wikipedia,President_of_Vietnam,daily,2015071000,all-access,user,116
en.wikipedia,President_of_Vietnam,daily,2015071100,all-access,user,72
en.wikipedia,President_of_Vietnam,daily,2015071200,all-access,user,87
en.wikipedia,President_of_Vietnam,daily,2015071300,all-access,user,450
en.wikipedia,President_of_Vietnam,daily,2015071400,all-access,user,160
en.wikipedia,President_of_Vietnam,daily,2015071500,all-access,user,103
en.wikipedia,President_of_Vietnam,daily,2015071600,all-access,user,97
en.wikipedia,President_of_Vietnam,daily,2015071700,all-access,user,89
en.wikipedia,President_of_Vietnam,daily,2015071800,all-access,user,84
en.wikipedia,President_of_Vietnam,daily,2015071900,all-access,user,95
en.wikipedia,President_of_Vietnam,daily,2015072000,all-access,user,109
en.wikipedia,President_of_Vietnam,daily,2015072100,all-access,user,115
en.wikipedia,President_of_Vietnam,daily,2015072200,all-access,user,100
en.wikipedia,President_of_Vietnam,daily,2015072300,all-access,user,114
en.wikipedia,President_of_Vietnam,daily,2015072400,all-access,user,100
en.wikipedia,President_of_Vietnam,daily,2015072500,all-access,user,98
en.wikipedia,President_of_Vietnam,daily,2015072600,all-access,user,93
en.wikipedia,President_of_Vietnam,daily,2015072700,all-access,user,123
en.wikipedia,President_of_Vietnam,daily,2015072800,all-access,user,126
en.wikipedia,President_of_Vietnam,daily,2015072900,all-access,user,134
en.wikipedia,President_of_Vietnam,daily,2015073000,all-access,user,115
en.wikipedia,President_of_Vietnam,daily,2015073100,all-access,user,107
en.wikipedia,President_of_Vietnam,daily,2015080100,all-access,user,71
en.wikipedia,President_of_Vietnam,daily,2015080200,all-access,user,102
en.wikipedia,President_of_Vietnam,daily,2015080300,all-access,user,85
en.wikipedia,President_of_Vietnam,daily,2015080400,all-access,user,109
en.wikipedia,President_of_Vietnam,daily,2015080500,all-access,user,110
en.wikipedia,President_of_Vietnam,daily,2015080600,all-access,user,117
en.wikipedia,President_of_Vietnam,daily,2015080700,all-access,user,110
en.wikipedia,President_of_Vietnam,daily,2015080800,all-access,user,94
en.wikipedia,President_of_Vietnam,daily,2015080900,all-access,user,123
en.wikipedia,President_of_Vietnam,daily,2015081000,all-access,user,112
en.wikipedia,President_of_Vietnam,daily,2015081100,all-access,user,112
en.wikipedia,President_of_Vietnam,daily,2015081200,all-access,user,117
en.wikipedia,President_of_Vietnam,daily,2015081300,all-access,user,125
en.wikipedia,President_of_Vietnam,daily,2015081400,all-access,user,92
en.wikipedia,President_of_Vietnam,daily,2015081500,all-access,user,101
en.wikipedia,President_of_Vietnam,daily,2015081600,all-access,user,108
en.wikipedia,President_of_Vietnam,daily,2015081700,all-access,user,114
en.wikipedia,President_of_Vietnam,daily,2015081800,all-access,user,93
en.wikipedia,President_of_Vietnam,daily,2015081900,all-access,user,179
en.wikipedia,President_of_Vietnam,daily,2015082000,all-access,user,112
en.wikipedia,President_of_Vietnam,daily,2015082100,all-access,user,118
en.wikipedia,President_of_Vietnam,daily,2015082200,all-access,user,92
en.wikipedia,President_of_Vietnam,daily,2015082300,all-access,user,99
en.wikipedia,President_of_Vietnam,daily,2015082400,all-access,user,131
en.wikipedia,President_of_Vietnam,daily,2015082500,all-access,user,135
en.wikipedia,President_of_Vietnam,daily,2015082600,all-access,user,126
en.wikipedia,President_of_Vietnam,daily,2015082700,all-access,user,147
en.wikipedia,President_of_Vietnam,daily,2015082800,all-access,user,115
en.wikipedia,President_of_Vietnam,daily,2015082900,all-access,user,85
en.wikipedia,President_of_Vietnam,daily,2015083000,all-access,user,80
en.wikipedia,President_of_Vietnam,daily,2015083100,all-access,user,132
en.wikipedia,President_of_Vietnam,daily,2015090100,all-access,user,147
en.wikipedia,President_of_Vietnam,daily,2015090200,all-access,user,236
en.wikipedia,President_of_Vietnam,daily,2015090300,all-access,user,180
en.wikipedia,President_of_Vietnam,daily,2015090400,all-access,user,157
en.wikipedia,President_of_Vietnam,daily,2015090500,all-access,user,108
en.wikipedia,President_of_Vietnam,daily,2015090600,all-access,user,135
en.wikipedia,President_of_Vietnam,daily,2015090700,all-access,user,162
en.wikipedia,President_of_Vietnam,daily,2015090800,all-access,user,173
en.wikipedia,President_of_Vietnam,daily,2015090900,all-access,user,158
en.wikipedia,President_of_Vietnam,daily,2015091000,all-access,user,141
en.wikipedia,President_of_Vietnam,daily,2015091100,all-access,user,127
en.wikipedia,President_of_Vietnam,daily,2015091200,all-access,user,104
en.wikipedia,President_of_Vietnam,daily,2015091300,all-access,user,119
en.wikipedia,President_of_Vietnam,daily,2015091400,all-access,user,157
en.wikipedia,President_of_Vietnam,daily,2015091500,all-access,user,163
en.wikipedia,President_of_Vietnam,daily,2015091600,all-access,user,159
en.wikipedia,President_of_Vietnam,daily,2015091700,all-access,user,131
en.wikipedia,President_of_Vietnam,daily,2015091800,all-access,user,115
en.wikipedia,President_of_Vietnam,daily,2015091900,all-access,user,112
en.wikipedia,President_of_Vietnam,daily,2015092000,all-access,user,125
en.wikipedia,President_of_Vietnam,daily,2015092100,all-access,user,142
en.wikipedia,President_of_Vietnam,daily,2015092200,all-access,user,144
en.wikipedia,President_of_Vietnam,daily,2015092300,all-access,user,168
en.wikipedia,President_of_Vietnam,daily,2015092400,all-access,user,150
en.wikipedia,President_of_Vietnam,daily,2015092500,all-access,user,162
en.wikipedia,President_of_Vietnam,daily,2015092600,all-access,user,125
en.wikipedia,President_of_Vietnam,daily,2015092700,all-access,user,153
en.wikipedia,President_of_Vietnam,daily,2015092800,all-access,user,202
en.wikipedia,President_of_Vietnam,daily,2015092900,all-access,user,166
en.wikipedia,President_of_Vietnam,daily,2015093000,all-access,user,158
en.wikipedia,President_of_Vietnam,daily,2015100100,all-access,user,124
en.wikipedia,President_of_Vietnam,daily,2015100200,all-access,user,119
en.wikipedia,President_of_Vietnam,daily,2015100300,all-access,user,80
en.wikipedia,President_of_Vietnam,daily,2015100400,all-access,user,107
en.wikipedia,President_of_Vietnam,daily,2015100500,all-access,user,129
en.wikipedia,President_of_Vietnam,daily,2015100600,all-access,user,145
en.wikipedia,President_of_Vietnam,daily,2015100700,all-access,user,141
en.wikipedia,President_of_Vietnam,daily,2015100800,all-access,user,153
en.wikipedia,President_of_Vietnam,daily,2015100900,all-access,user,121
en.wikipedia,President_of_Vietnam,daily,2015101000,all-access,user,132
en.wikipedia,President_of_Vietnam,daily,2015101100,all-access,user,121
en.wikipedia,President_of_Vietnam,daily,2015101200,all-access,user,167
en.wikipedia,President_of_Vietnam,daily,2015101300,all-access,user,153
en.wikipedia,President_of_Vietnam,daily,2015101400,all-access,user,176
en.wikipedia,President_of_Vietnam,daily,2015101500,all-access,user,138
en.wikipedia,President_of_Vietnam,daily,2015101600,all-access,user,131
en.wikipedia,President_of_Vietnam,daily,2015101700,all-access,user,92
en.wikipedia,President_of_Vietnam,daily,2015101800,all-access,user,103
en.wikipedia,President_of_Vietnam,daily,2015101900,all-access,user,165
en.wikipedia,President_of_Vietnam,daily,2015102000,all-access,user,126
en.wikipedia,President_of_Vietnam,daily,2015102100,all-access,user,153
en.wikipedia,President_of_Vietnam,daily,2015102200,all-access,user,158
en.wikipedia,President_of_Vietnam,daily,2015102300,all-access,user,154
en.wikipedia,President_of_Vietnam,daily,2015102400,all-access,user,109
en.wikipedia,President_of_Vietnam,daily,2015102500,all-access,user,115
en.wikipedia,President_of_Vietnam,daily,2015102600,all-access,user,147
en.wikipedia,President_of_Vietnam,daily,2015102700,all-access,user,132
en.wikipedia,President_of_Vietnam,daily,2015102800,all-access,user,151
en.wikipedia,President_of_Vietnam,daily,2015102900,all-access,user,161
en.wikipedia,President_of_Vietnam,daily,2015103000,all-access,user,127
en.wikipedia,President_of_Vietnam,daily,2015103100,all-access,user,79
en.wikipedia,President_of_Vietnam,daily,2015110100,all-access,user,96
en.wikipedia,President_of_Vietnam,daily,2015110200,all-access,user,178
en.wikipedia,President_of_Vietnam,daily,2015110300,all-access,user,193
en.wikipedia,President_of_Vietnam,daily,2015110400,all-access,user,216
en.wikipedia,President_of_Vietnam,daily,2015110500,all-access,user,253
en.wikipedia,President_of_Vietnam,daily,2015110600,all-access,user,168
en.wikipedia,President_of_Vietnam,daily,2015110700,all-access,user,111
en.wikipedia,President_of_Vietnam,daily,2015110800,all-access,user,203
en.wikipedia,President_of_Vietnam,daily,2015110900,all-access,user,210
en.wikipedia,President_of_Vietnam,daily,2015111000,all-access,user,213
en.wikipedia,President_of_Vietnam,daily,2015111100,all-access,user,231
en.wikipedia,President_of_Vietnam,daily,2015111200,all-access,user,251
