project,article,granularity,timestamp,access,agent,views
en.wikipedia,Mac_Miller,daily,2015070100,all-access,user,2296
en.wikipedia,Mac_Miller,daily,2015070200,all-access,user,2609
en.wikipedia,Mac_Miller,daily,2015070300,all-access,user,2489
en.wikipedia,Mac_Miller,daily,2015070400,all-access,user,2000
en.wikipedia,Mac_Miller,daily,2015070500,all-access,user,2537
en.wikipedia,Mac_Miller,daily,2015070600,all-access,user,2468
en.wikipedia,Mac_Miller,daily,2015070700,all-access,user,2315
en.wikipedia,Mac_Miller,daily,2015070800,all-access,user,2428
en.wikipedia,Mac_Miller,daily,2015070900,all-access,user,2283
en.wikipedia,Mac_Miller,daily,2015071000,all-access,user,2213
en.wikipedia,Mac_Miller,daily,2015071100,all-access,user,2142
en.wikipedia,Mac_Miller,daily,2015071200,all-access,user,2052
en.wikipedia,Mac_Miller,daily,2015071300,all-access,user,2249
en.wikipedia,Mac_Miller,daily,2015071400,all-access,user,2187
en.wikipedia,Mac_Miller,daily,2015071500,all-access,user,2239
en.wikipedia,Mac_Miller,daily,2015071600,all-access,user,2104
en.wikipedia,Mac_Miller,daily,2015071700,all-access,user,2112
en.wikipedia,Mac_Miller,daily,2015071800,all-access,user,1908
en.wikipedia,Mac_Miller,daily,2015071900,all-access,user,2109
en.wikipedia,Mac_Miller,daily,2015072000,all-access,user,2322
en.wikipedia,Mac_Miller,daily,2015072100,all-access,user,2241
en.wikipedia,Mac_Miller,daily,2015072200,all-access,user,2474
en.wikipedia,Mac_Miller,daily,2015072300,all-access,user,2389
en.wikipedia,Mac_Miller,daily,2015072400,all-access,user,2254
en.wikipedia,Mac_Miller,daily,2015072500,all-access,user,2189
en.wikipedia,Mac_Miller,daily,2015072600,all-access,user,2109
en.wikipedia,Mac_Miller,daily,2015072700,all-access,user,2498
en.wikipedia,Mac_Miller,daily,2015072800,all-access,user,2231
en.wikipedia,Mac_Miller,daily,2015072900,all-access,user,2217
en.wikipedia,Mac_Miller,daily,2015073000,all-access,user,2989
en.wikipedia,Mac_Miller,daily,2015073100,all-access,user,3737
en.wikipedia,Mac_Miller,daily,2015080100,all-access,user,2919
en.wikipedia,Mac_Miller,daily,2015080200,all-access,user,2870
en.wikipedia,Mac_Miller,daily,2015080300,all-access,user,2603
en.wikipedia,Mac_Miller,daily,2015080400,all-access,user,2780
en.wikipedia,Mac_Miller,daily,2015080500,all-access,user,2552
en.wikipedia,Mac_Miller,daily,2015080600,all-access,user,4586
en.wikipedia,Mac_Miller,daily,2015080700,all-access,user,10283
en.wikipedia,Mac_Miller,daily,2015080800,all-access,user,6335
en.wikipedia,Mac_Miller,daily,2015080900,all-access,user,4842
en.wikipedia,Mac_Miller,daily,2015081000,all-access,user,4935
en.wikipedia,Mac_Miller,daily,2015081100,all-access,user,8505
en.wikipedia,Mac_Miller,daily,2015081200,all-access,user,7782
en.wikipedia,Mac_Miller,daily,2015081300,all-access,user,6026
en.wikipedia,Mac_Miller,daily,2015081400,all-access,user,5003
en.wikipedia,Mac_Miller,daily,2015081500,all-access,user,3794
en.wikipedia,Mac_Miller,daily,2015081600,all-access,user,3849
en.wikipedia,Mac_Miller,daily,2015081700,all-access,user,5499
en.wikipedia,Mac_Miller,daily,2015081800,all-access,user,5000
en.wikipedia,Mac_Miller,daily,2015081900,all-access,user,4069
en.wikipedia,Mac_Miller,daily,2015082000,all-access,user,4583
en.wikipedia,Mac_Miller,daily,2015082100,all-access,user,3779
en.wikipedia,Mac_Miller,daily,2015082200,all-access,user,3132
en.wikipedia,Mac_Miller,daily,2015082300,all-access,user,3155
en.wikipedia,Mac_Miller,daily,2015082400,all-access,user,3699
