project,article,granularity,timestamp,access,agent,views
en.wikipedia,Manuel_Olivencia,daily,2018010100,all-access,user,1723
en.wikipedia,Manuel_Olivencia,daily,2018010200,all-access,user,2800
en.wikipedia,Manuel_Olivencia,daily,2018010300,all-access,user,9303
en.wikipedia,Manuel_Olivencia,daily,2018010400,all-access,user,6511
en.wikipedia,Manuel_Olivencia,daily,2018010500,all-access,user,1597
en.wikipedia,Manuel_Olivencia,daily,2018010600,all-access,user,115
en.wikipedia,Manuel_Olivencia,daily,2018010700,all-access,user,64
en.wikipedia,Manuel_Olivencia,daily,2018010800,all-access,user,62
en.wikipedia,Manuel_Olivencia,daily,2018010900,all-access,user,40
en.wikipedia,Manuel_Olivencia,daily,2018011000,all-access,user,125
en.wikipedia,Manuel_Olivencia,daily,2018011100,all-access,user,98
en.wikipedia,Manuel_Olivencia,daily,2018011200,all-access,user,75
en.wikipedia,Manuel_Olivencia,daily,2018011300,all-access,user,73
en.wikipedia,Manuel_Olivencia,daily,2018011400,all-access,user,107
en.wikipedia,Manuel_Olivencia,daily,2018011500,all-access,user,92
en.wikipedia,Manuel_Olivencia,daily,2018011600,all-access,user,98
en.wikipedia,Manuel_Olivencia,daily,2018011700,all-access,user,68
en.wikipedia,Manuel_Olivencia,daily,2018011800,all-access,user,61
en.wikipedia,Manuel_Olivencia,daily,2018011900,all-access,user,38
en.wikipedia,Manuel_Olivencia,daily,2018012000,all-access,user,43
en.wikipedia,Manuel_Olivencia,daily,2018012100,all-access,user,28
en.wikipedia,Manuel_Olivencia,daily,2018012200,all-access,user,42
en.wikipedia,Manuel_Olivencia,daily,2018012300,all-access,user,30
en.wikipedia,Manuel_Olivencia,daily,2018012400,all-access,user,29
en.wikipedia,Manuel_Olivencia,daily,2018012500,all-access,user,17
en.wikipedia,Manuel_Olivencia,daily,2018012600,all-access,user,24
en.wikipedia,Manuel_Olivencia,daily,2018012700,all-access,user,26
en.wikipedia,Manuel_Olivencia,daily,2018012800,all-access,user,27
en.wikipedia,Manuel_Olivencia,daily,2018012900,all-access,user,36
en.wikipedia,Manuel_Olivencia,daily,2018013000,all-access,user,25
en.wikipedia,Manuel_Olivencia,daily,2018013100,all-access,user,37
en.wikipedia,Manuel_Olivencia,daily,2018020100,all-access,user,27
en.wikipedia,Manuel_Olivencia,daily,2018020200,all-access,user,33
en.wikipedia,Manuel_Olivencia,daily,2018020300,all-access,user,24
en.wikipedia,Manuel_Olivencia,daily,2018020400,all-access,user,29
en.wikipedia,Manuel_Olivencia,daily,2018020500,all-access,user,24
en.wikipedia,Manuel_Olivencia,daily,2018020600,all-access,user,29
en.wikipedia,Manuel_Olivencia,daily,2018020700,all-access,user,22
en.wikipedia,Manuel_Olivencia,daily,2018020800,all-access,user,16
en.wikipedia,Manuel_Olivencia,daily,2018020900,all-access,user,18
en.wikipedia,Manuel_Olivencia,daily,2018021000,all-access,user,20
en.wikipedia,Manuel_Olivencia,daily,2018021100,all-access,user,17
en.wikipedia,Manuel_Olivencia,daily,2018021200,all-access,user,10
en.wikipedia,Manuel_Olivencia,daily,2018021300,all-access,user,21
en.wikipedia,Manuel_Olivencia,daily,2018021400,all-access,user,10
en.wikipedia,Manuel_Olivencia,daily,2018021500,all-access,user,15
en.wikipedia,Manuel_Olivencia,daily,2018021600,all-access,user,9
en.wikipedia,Manuel_Olivencia,daily,2018021700,all-access,user,14
en.wikipedia,Manuel_Olivencia,daily,2018021800,all-access,user,10
en.wikipedia,Manuel_Olivencia,daily,2018021900,all-access,user,12
en.wikipedia,Manuel_Olivencia,daily,2018022000,all-access,user,9
en.wikipedia,Manuel_Olivencia,daily,2018022100,all-access,user,16
en.wikipedia,Manuel_Olivencia,daily,2018022200,all-access,user,13
en.wikipedia,Manuel_Olivencia,daily,2018022300,all-access,user,7
en.wikipedia,Manuel_Olivencia,daily,2018022400,all-access,user,11
en.wikipedia,Manuel_Olivencia,daily,2018022500,all-access,user,22
en.wikipedia,Manuel_Olivencia,daily,2018022600,all-access,user,17
en.wikipedia,Manuel_Olivencia,daily,2018022700,all-access,user,12
en.wikipedia,Manuel_Olivencia,daily,2018022800,all-access,user,20
en.wikipedia,Manuel_Olivencia,daily,2018030100,all-access,user,12
en.wikipedia,Manuel_Olivencia,daily,2018030200,all-access,user,17
en.wikipedia,Manuel_Olivencia,daily,2018030300,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018030400,all-access,user,14
en.wikipedia,Manuel_Olivencia,daily,2018030500,all-access,user,12
en.wikipedia,Manuel_Olivencia,daily,2018030600,all-access,user,12
en.wikipedia,Manuel_Olivencia,daily,2018030700,all-access,user,11
en.wikipedia,Manuel_Olivencia,daily,2018030800,all-access,user,15
en.wikipedia,Manuel_Olivencia,daily,2018030900,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018031000,all-access,user,9
en.wikipedia,Manuel_Olivencia,daily,2018031100,all-access,user,11
en.wikipedia,Manuel_Olivencia,daily,2018031200,all-access,user,7
en.wikipedia,Manuel_Olivencia,daily,2018031300,all-access,user,15
en.wikipedia,Manuel_Olivencia,daily,2018031400,all-access,user,26
en.wikipedia,Manuel_Olivencia,daily,2018031500,all-access,user,13
en.wikipedia,Manuel_Olivencia,daily,2018031600,all-access,user,15
en.wikipedia,Manuel_Olivencia,daily,2018031700,all-access,user,21
en.wikipedia,Manuel_Olivencia,daily,2018031800,all-access,user,12
en.wikipedia,Manuel_Olivencia,daily,2018031900,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018032000,all-access,user,12
en.wikipedia,Manuel_Olivencia,daily,2018032100,all-access,user,13
en.wikipedia,Manuel_Olivencia,daily,2018032200,all-access,user,14
en.wikipedia,Manuel_Olivencia,daily,2018032300,all-access,user,7
en.wikipedia,Manuel_Olivencia,daily,2018032400,all-access,user,8
en.wikipedia,Manuel_Olivencia,daily,2018032500,all-access,user,10
en.wikipedia,Manuel_Olivencia,daily,2018032600,all-access,user,14
