project,article,granularity,timestamp,access,agent,views
en.wikipedia,Marielle_Franco,daily,2018031500,all-access,user,9867
en.wikipedia,Marielle_Franco,daily,2018031600,all-access,user,15271
en.wikipedia,Marielle_Franco,daily,2018031700,all-access,user,9857
en.wikipedia,Marielle_Franco,daily,2018031800,all-access,user,7678
en.wikipedia,Marielle_Franco,daily,2018031900,all-access,user,38029
en.wikipedia,Marielle_Franco,daily,2018032000,all-access,user,29851
en.wikipedia,Marielle_Franco,daily,2018032100,all-access,user,23633
en.wikipedia,Marielle_Franco,daily,2018032200,all-access,user,19599
en.wikipedia,Marielle_Franco,daily,2018032300,all-access,user,15556
en.wikipedia,Marielle_Franco,daily,2018032400,all-access,user,8998
en.wikipedia,Marielle_Franco,daily,2018032500,all-access,user,2197
en.wikipedia,Marielle_Franco,daily,2018032600,all-access,user,1744
en.wikipedia,Marielle_Franco,daily,2018032700,all-access,user,1508
en.wikipedia,Marielle_Franco,daily,2018032800,all-access,user,1532
en.wikipedia,Marielle_Franco,daily,2018032900,all-access,user,1001
en.wikipedia,Marielle_Franco,daily,2018033000,all-access,user,903
en.wikipedia,Marielle_Franco,daily,2018033100,all-access,user,880
en.wikipedia,Marielle_Franco,daily,2018040100,all-access,user,778
en.wikipedia,Marielle_Franco,daily,2018040200,all-access,user,784
en.wikipedia,Marielle_Franco,daily,2018040300,all-access,user,583
en.wikipedia,Marielle_Franco,daily,2018040400,all-access,user,646
en.wikipedia,Marielle_Franco,daily,2018040500,all-access,user,702
en.wikipedia,Marielle_Franco,daily,2018040600,all-access,user,609
en.wikipedia,Marielle_Franco,daily,2018040700,all-access,user,514
en.wikipedia,Marielle_Franco,daily,2018040800,all-access,user,508
en.wikipedia,Marielle_Franco,daily,2018040900,all-access,user,546
en.wikipedia,Marielle_Franco,daily,2018041000,all-access,user,520
en.wikipedia,Marielle_Franco,daily,2018041100,all-access,user,459
en.wikipedia,Marielle_Franco,daily,2018041200,all-access,user,404
en.wikipedia,Marielle_Franco,daily,2018041300,all-access,user,446
en.wikipedia,Marielle_Franco,daily,2018041400,all-access,user,459
en.wikipedia,Marielle_Franco,daily,2018041500,all-access,user,841
en.wikipedia,Marielle_Franco,daily,2018041600,all-access,user,713
en.wikipedia,Marielle_Franco,daily,2018041700,all-access,user,611
en.wikipedia,Marielle_Franco,daily,2018041800,all-access,user,591
en.wikipedia,Marielle_Franco,daily,2018041900,all-access,user,423
en.wikipedia,Marielle_Franco,daily,2018042000,all-access,user,412
en.wikipedia,Marielle_Franco,daily,2018042100,all-access,user,368
en.wikipedia,Marielle_Franco,daily,2018042200,all-access,user,419
en.wikipedia,Marielle_Franco,daily,2018042300,all-access,user,473
en.wikipedia,Marielle_Franco,daily,2018042400,all-access,user,331
en.wikipedia,Marielle_Franco,daily,2018042500,all-access,user,269
