project,article,granularity,timestamp,access,agent,views
en.wikipedia,Microsoft,daily,2015070100,all-access,user,7479
en.wikipedia,Microsoft,daily,2015070200,all-access,user,7671
en.wikipedia,Microsoft,daily,2015070300,all-access,user,6418
en.wikipedia,Microsoft,daily,2015070400,all-access,user,5829
en.wikipedia,Microsoft,daily,2015070500,all-access,user,6086
en.wikipedia,Microsoft,daily,2015070600,all-access,user,7491
en.wikipedia,Microsoft,daily,2015070700,all-access,user,7518
en.wikipedia,Microsoft,daily,2015070800,all-access,user,10472
en.wikipedia,Microsoft,daily,2015070900,all-access,user,9806
en.wikipedia,Microsoft,daily,2015071000,all-access,user,7816
en.wikipedia,Microsoft,daily,2015071100,all-access,user,6237
en.wikipedia,Microsoft,daily,2015071200,all-access,user,6492
en.wikipedia,Microsoft,daily,2015071300,all-access,user,7857
en.wikipedia,Microsoft,daily,2015071400,all-access,user,7314
en.wikipedia,Microsoft,daily,2015071500,all-access,user,7583
en.wikipedia,Microsoft,daily,2015071600,all-access,user,7442
en.wikipedia,Microsoft,daily,2015071700,all-access,user,6212
en.wikipedia,Microsoft,daily,2015071800,all-access,user,5460
en.wikipedia,Microsoft,daily,2015071900,all-access,user,5669
en.wikipedia,Microsoft,daily,2015072000,all-access,user,7240
en.wikipedia,Microsoft,daily,2015072100,all-access,user,7882
en.wikipedia,Microsoft,daily,2015072200,all-access,user,8788
en.wikipedia,Microsoft,daily,2015072300,all-access,user,8648
en.wikipedia,Microsoft,daily,2015072400,all-access,user,7326
en.wikipedia,Microsoft,daily,2015072500,all-access,user,6010
en.wikipedia,Microsoft,daily,2015072600,all-access,user,6133
en.wikipedia,Microsoft,daily,2015072700,all-access,user,8174
en.wikipedia,Microsoft,daily,2015072800,all-access,user,8182
en.wikipedia,Microsoft,daily,2015072900,all-access,user,10496
en.wikipedia,Microsoft,daily,2015073000,all-access,user,9333
en.wikipedia,Microsoft,daily,2015073100,all-access,user,8510
en.wikipedia,Microsoft,daily,2015080100,all-access,user,6891
en.wikipedia,Microsoft,daily,2015080200,all-access,user,6747
en.wikipedia,Microsoft,daily,2015080300,all-access,user,7100
en.wikipedia,Microsoft,daily,2015080400,all-access,user,8767
en.wikipedia,Microsoft,daily,2015080500,all-access,user,7870
en.wikipedia,Microsoft,daily,2015080600,all-access,user,7955
en.wikipedia,Microsoft,daily,2015080700,all-access,user,8200
en.wikipedia,Microsoft,daily,2015080800,all-access,user,6352
en.wikipedia,Microsoft,daily,2015080900,all-access,user,6449
en.wikipedia,Microsoft,daily,2015081000,all-access,user,8158
en.wikipedia,Microsoft,daily,2015081100,all-access,user,12627
en.wikipedia,Microsoft,daily,2015081200,all-access,user,11063
en.wikipedia,Microsoft,daily,2015081300,all-access,user,9423
en.wikipedia,Microsoft,daily,2015081400,all-access,user,8266
en.wikipedia,Microsoft,daily,2015081500,all-access,user,6269
en.wikipedia,Microsoft,daily,2015081600,all-access,user,6830
en.wikipedia,Microsoft,daily,2015081700,all-access,user,8246
en.wikipedia,Microsoft,daily,2015081800,all-access,user,8220
en.wikipedia,Microsoft,daily,2015081900,all-access,user,7898
en.wikipedia,Microsoft,daily,2015082000,all-access,user,7863
en.wikipedia,Microsoft,daily,2015082100,all-access,user,7450
en.wikipedia,Microsoft,daily,2015082200,all-access,user,6008
en.wikipedia,Microsoft,daily,2015082300,all-access,user,6241
en.wikipedia,Microsoft,daily,2015082400,all-access,user,8008
en.wikipedia,Microsoft,daily,2015082500,all-access,user,8269
en.wikipedia,Microsoft,daily,2015082600,all-access,user,8355
en.wikipedia,Microsoft,daily,2015082700,all-access,user,7684
en.wikipedia,Microsoft,daily,2015082800,all-access,user,7133
en.wikipedia,Microsoft,daily,2015082900,all-access,user,5764
en.wikipedia,Microsoft,daily,2015083000,all-access,user,6253
en.wikipedia,Microsoft,daily,2015083100,all-access,user,7639
en.wikipedia,Microsoft,daily,2015090100,all-access,user,8213
en.wikipedia,Microsoft,daily,2015090200,all-access,user,9056
en.wikipedia,Microsoft,daily,2015090300,all-access,user,8188
en.wikipedia,Microsoft,daily,2015090400,all-access,user,7573
en.wikipedia,Microsoft,daily,2015090500,all-access,user,6047
en.wikipedia,Microsoft,daily,2015090600,all-access,user,6922
en.wikipedia,Microsoft,daily,2015090700,all-access,user,7617
en.wikipedia,Microsoft,daily,2015090800,all-access,user,9301
en.wikipedia,Microsoft,daily,2015090900,all-access,user,10234
en.wikipedia,Microsoft,daily,2015091000,all-access,user,9601
en.wikipedia,Microsoft,daily,2015091100,all-access,user,8428
en.wikipedia,Microsoft,daily,2015091200,all-access,user,6604
en.wikipedia,Microsoft,daily,2015091300,all-access,user,8176
en.wikipedia,Microsoft,daily,2015091400,all-access,user,9546
en.wikipedia,Microsoft,daily,2015091500,all-access,user,9635
en.wikipedia,Microsoft,daily,2015091600,all-access,user,9324
en.wikipedia,Microsoft,daily,2015091700,all-access,user,10055
en.wikipedia,Microsoft,daily,2015091800,all-access,user,8463
en.wikipedia,Microsoft,daily,2015091900,all-access,user,6623
en.wikipedia,Microsoft,daily,2015092000,all-access,user,7239
en.wikipedia,Microsoft,daily,2015092100,all-access,user,9513
en.wikipedia,Microsoft,daily,2015092200,all-access,user,9972
en.wikipedia,Microsoft,daily,2015092300,all-access,user,8698
en.wikipedia,Microsoft,daily,2015092400,all-access,user,8542
en.wikipedia,Microsoft,daily,2015092500,all-access,user,8637
