project,article,granularity,timestamp,access,agent,views
en.wikipedia,Nabi_Tajima,daily,2015070500,all-access,user,29
en.wikipedia,Nabi_Tajima,daily,2015070600,all-access,user,29
en.wikipedia,Nabi_Tajima,daily,2015070700,all-access,user,70
en.wikipedia,Nabi_Tajima,daily,2015070800,all-access,user,34
en.wikipedia,Nabi_Tajima,daily,2015070900,all-access,user,316
en.wikipedia,Nabi_Tajima,daily,2015071000,all-access,user,259
en.wikipedia,Nabi_Tajima,daily,2015071100,all-access,user,227
en.wikipedia,Nabi_Tajima,daily,2015071200,all-access,user,194
en.wikipedia,Nabi_Tajima,daily,2015071300,all-access,user,218
en.wikipedia,Nabi_Tajima,daily,2015071400,all-access,user,131
en.wikipedia,Nabi_Tajima,daily,2015071500,all-access,user,153
en.wikipedia,Nabi_Tajima,daily,2015071600,all-access,user,167
en.wikipedia,Nabi_Tajima,daily,2015071700,all-access,user,156
en.wikipedia,Nabi_Tajima,daily,2015071800,all-access,user,142
en.wikipedia,Nabi_Tajima,daily,2015071900,all-access,user,161
en.wikipedia,Nabi_Tajima,daily,2015072000,all-access,user,181
en.wikipedia,Nabi_Tajima,daily,2015072100,all-access,user,137
en.wikipedia,Nabi_Tajima,daily,2015072200,all-access,user,133
en.wikipedia,Nabi_Tajima,daily,2015072300,all-access,user,114
en.wikipedia,Nabi_Tajima,daily,2015072400,all-access,user,137
en.wikipedia,Nabi_Tajima,daily,2015072500,all-access,user,141
en.wikipedia,Nabi_Tajima,daily,2015072600,all-access,user,136
en.wikipedia,Nabi_Tajima,daily,2015072700,all-access,user,144
en.wikipedia,Nabi_Tajima,daily,2015072800,all-access,user,145
en.wikipedia,Nabi_Tajima,daily,2015072900,all-access,user,141
en.wikipedia,Nabi_Tajima,daily,2015073000,all-access,user,150
en.wikipedia,Nabi_Tajima,daily,2015073100,all-access,user,154
en.wikipedia,Nabi_Tajima,daily,2015080100,all-access,user,140
en.wikipedia,Nabi_Tajima,daily,2015080200,all-access,user,172
en.wikipedia,Nabi_Tajima,daily,2015080300,all-access,user,180
en.wikipedia,Nabi_Tajima,daily,2015080400,all-access,user,425
en.wikipedia,Nabi_Tajima,daily,2015080500,all-access,user,247
en.wikipedia,Nabi_Tajima,daily,2015080600,all-access,user,186
en.wikipedia,Nabi_Tajima,daily,2015080700,all-access,user,142
en.wikipedia,Nabi_Tajima,daily,2015080800,all-access,user,182
en.wikipedia,Nabi_Tajima,daily,2015080900,all-access,user,230
en.wikipedia,Nabi_Tajima,daily,2015081000,all-access,user,141
en.wikipedia,Nabi_Tajima,daily,2015081100,all-access,user,139
en.wikipedia,Nabi_Tajima,daily,2015081200,all-access,user,147
en.wikipedia,Nabi_Tajima,daily,2015081300,all-access,user,140
en.wikipedia,Nabi_Tajima,daily,2015081400,all-access,user,110
en.wikipedia,Nabi_Tajima,daily,2015081500,all-access,user,141
en.wikipedia,Nabi_Tajima,daily,2015081600,all-access,user,141
en.wikipedia,Nabi_Tajima,daily,2015081700,all-access,user,143
en.wikipedia,Nabi_Tajima,daily,2015081800,all-access,user,233
en.wikipedia,Nabi_Tajima,daily,2015081900,all-access,user,177
en.wikipedia,Nabi_Tajima,daily,2015082000,all-access,user,200
en.wikipedia,Nabi_Tajima,daily,2015082100,all-access,user,187
en.wikipedia,Nabi_Tajima,daily,2015082200,all-access,user,168
en.wikipedia,Nabi_Tajima,daily,2015082300,all-access,user,197
en.wikipedia,Nabi_Tajima,daily,2015082400,all-access,user,191
en.wikipedia,Nabi_Tajima,daily,2015082500,all-access,user,169
en.wikipedia,Nabi_Tajima,daily,2015082600,all-access,user,187
en.wikipedia,Nabi_Tajima,daily,2015082700,all-access,user,201
en.wikipedia,Nabi_Tajima,daily,2015082800,all-access,user,169
en.wikipedia,Nabi_Tajima,daily,2015082900,all-access,user,199
en.wikipedia,Nabi_Tajima,daily,2015083000,all-access,user,184
en.wikipedia,Nabi_Tajima,daily,2015083100,all-access,user,163
en.wikipedia,Nabi_Tajima,daily,2015090100,all-access,user,136
en.wikipedia,Nabi_Tajima,daily,2015090200,all-access,user,152
en.wikipedia,Nabi_Tajima,daily,2015090300,all-access,user,139
en.wikipedia,Nabi_Tajima,daily,2015090400,all-access,user,136
en.wikipedia,Nabi_Tajima,daily,2015090500,all-access,user,124
en.wikipedia,Nabi_Tajima,daily,2015090600,all-access,user,126
en.wikipedia,Nabi_Tajima,daily,2015090700,all-access,user,149
en.wikipedia,Nabi_Tajima,daily,2015090800,all-access,user,154
en.wikipedia,Nabi_Tajima,daily,2015090900,all-access,user,193
en.wikipedia,Nabi_Tajima,daily,2015091000,all-access,user,156
en.wikipedia,Nabi_Tajima,daily,2015091100,all-access,user,133
en.wikipedia,Nabi_Tajima,daily,2015091200,all-access,user,160
en.wikipedia,Nabi_Tajima,daily,2015091300,all-access,user,183
en.wikipedia,Nabi_Tajima,daily,2015091400,all-access,user,167
en.wikipedia,Nabi_Tajima,daily,2015091500,all-access,user,146
en.wikipedia,Nabi_Tajima,daily,2015091600,all-access,user,133
en.wikipedia,Nabi_Tajima,daily,2015091700,all-access,user,181
en.wikipedia,Nabi_Tajima,daily,2015091800,all-access,user,139
en.wikipedia,Nabi_Tajima,daily,2015091900,all-access,user,132
en.wikipedia,Nabi_Tajima,daily,2015092000,all-access,user,162
en.wikipedia,Nabi_Tajima,daily,2015092100,all-access,user,162
en.wikipedia,Nabi_Tajima,daily,2015092200,all-access,user,155
en.wikipedia,Nabi_Tajima,daily,2015092300,all-access,user,170
en.wikipedia,Nabi_Tajima,daily,2015092400,all-access,user,160
en.wikipedia,Nabi_Tajima,daily,2015092500,all-access,user,175
en.wikipedia,Nabi_Tajima,daily,2015092600,all-access,user,175
en.wikipedia,Nabi_Tajima,daily,2015092700,all-access,user,191
en.wikipedia,Nabi_Tajima,daily,2015092800,all-access,user,452
en.wikipedia,Nabi_Tajima,daily,2015092900,all-access,user,370
en.wikipedia,Nabi_Tajima,daily,2015093000,all-access,user,265
en.wikipedia,Nabi_Tajima,daily,2015100100,all-access,user,211
en.wikipedia,Nabi_Tajima,daily,2015100200,all-access,user,211
en.wikipedia,Nabi_Tajima,daily,2015100300,all-access,user,209
en.wikipedia,Nabi_Tajima,daily,2015100400,all-access,user,231
en.wikipedia,Nabi_Tajima,daily,2015100500,all-access,user,310
en.wikipedia,Nabi_Tajima,daily,2015100600,all-access,user,249
en.wikipedia,Nabi_Tajima,daily,2015100700,all-access,user,287
en.wikipedia,Nabi_Tajima,daily,2015100800,all-access,user,237
en.wikipedia,Nabi_Tajima,daily,2015100900,all-access,user,204
en.wikipedia,Nabi_Tajima,daily,2015101000,all-access,user,215
en.wikipedia,Nabi_Tajima,daily,2015101100,all-access,user,220
en.wikipedia,Nabi_Tajima,daily,2015101200,all-access,user,200
en.wikipedia,Nabi_Tajima,daily,2015101300,all-access,user,246
en.wikipedia,Nabi_Tajima,daily,2015101400,all-access,user,236
en.wikipedia,Nabi_Tajima,daily,2015101500,all-access,user,257
en.wikipedia,Nabi_Tajima,daily,2015101600,all-access,user,297
en.wikipedia,Nabi_Tajima,daily,2015101700,all-access,user,315
en.wikipedia,Nabi_Tajima,daily,2015101800,all-access,user,242
en.wikipedia,Nabi_Tajima,daily,2015101900,all-access,user,240
en.wikipedia,Nabi_Tajima,daily,2015102000,all-access,user,253
en.wikipedia,Nabi_Tajima,daily,2015102100,all-access,user,227
en.wikipedia,Nabi_Tajima,daily,2015102200,all-access,user,223
en.wikipedia,Nabi_Tajima,daily,2015102300,all-access,user,205
en.wikipedia,Nabi_Tajima,daily,2015102400,all-access,user,219
en.wikipedia,Nabi_Tajima,daily,2015102500,all-access,user,212
en.wikipedia,Nabi_Tajima,daily,2015102600,all-access,user,255
en.wikipedia,Nabi_Tajima,daily,2015102700,all-access,user,246
en.wikipedia,Nabi_Tajima,daily,2015102800,all-access,user,235
en.wikipedia,Nabi_Tajima,daily,2015102900,all-access,user,204
en.wikipedia,Nabi_Tajima,daily,2015103000,all-access,user,201
en.wikipedia,Nabi_Tajima,daily,2015103100,all-access,user,184
en.wikipedia,Nabi_Tajima,daily,2015110100,all-access,user,214
en.wikipedia,Nabi_Tajima,daily,2015110200,all-access,user,265
en.wikipedia,Nabi_Tajima,daily,2015110300,all-access,user,242
en.wikipedia,Nabi_Tajima,daily,2015110400,all-access,user,222
en.wikipedia,Nabi_Tajima,daily,2015110500,all-access,user,219
en.wikipedia,Nabi_Tajima,daily,2015110600,all-access,user,213
en.wikipedia,Nabi_Tajima,daily,2015110700,all-access,user,181
en.wikipedia,Nabi_Tajima,daily,2015110800,all-access,user,232
en.wikipedia,Nabi_Tajima,daily,2015110900,all-access,user,245
en.wikipedia,Nabi_Tajima,daily,2015111000,all-access,user,256
en.wikipedia,Nabi_Tajima,daily,2015111100,all-access,user,274
en.wikipedia,Nabi_Tajima,daily,2015111200,all-access,user,247
en.wikipedia,Nabi_Tajima,daily,2015111300,all-access,user,190
en.wikipedia,Nabi_Tajima,daily,2015111400,all-access,user,182
en.wikipedia,Nabi_Tajima,daily,2015111500,all-access,user,167
en.wikipedia,Nabi_Tajima,daily,2015111600,all-access,user,209
en.wikipedia,Nabi_Tajima,daily,2015111700,all-access,user,221
en.wikipedia,Nabi_Tajima,daily,2015111800,all-access,user,202
en.wikipedia,Nabi_Tajima,daily,2015111900,all-access,user,10558
en.wikipedia,Nabi_Tajima,daily,2015112000,all-access,user,1259
en.wikipedia,Nabi_Tajima,daily,2015112100,all-access,user,221
en.wikipedia,Nabi_Tajima,daily,2015112200,all-access,user,220
en.wikipedia,Nabi_Tajima,daily,2015112300,all-access,user,236
en.wikipedia,Nabi_Tajima,daily,2015112400,all-access,user,221
en.wikipedia,Nabi_Tajima,daily,2015112500,all-access,user,395
en.wikipedia,Nabi_Tajima,daily,2015112600,all-access,user,287
en.wikipedia,Nabi_Tajima,daily,2015112700,all-access,user,232
en.wikipedia,Nabi_Tajima,daily,2015112800,all-access,user,251
en.wikipedia,Nabi_Tajima,daily,2015112900,all-access,user,299
en.wikipedia,Nabi_Tajima,daily,2015113000,all-access,user,371
en.wikipedia,Nabi_Tajima,daily,2015120100,all-access,user,358
en.wikipedia,Nabi_Tajima,daily,2015120200,all-access,user,236
en.wikipedia,Nabi_Tajima,daily,2015120300,all-access,user,224
en.wikipedia,Nabi_Tajima,daily,2015120400,all-access,user,287
en.wikipedia,Nabi_Tajima,daily,2015120500,all-access,user,263
en.wikipedia,Nabi_Tajima,daily,2015120600,all-access,user,247
en.wikipedia,Nabi_Tajima,daily,2015120700,all-access,user,331
en.wikipedia,Nabi_Tajima,daily,2015120800,all-access,user,266
en.wikipedia,Nabi_Tajima,daily,2015120900,all-access,user,228
en.wikipedia,Nabi_Tajima,daily,2015121000,all-access,user,239
en.wikipedia,Nabi_Tajima,daily,2015121100,all-access,user,236
en.wikipedia,Nabi_Tajima,daily,2015121200,all-access,user,268
en.wikipedia,Nabi_Tajima,daily,2015121300,all-access,user,331
en.wikipedia,Nabi_Tajima,daily,2015121400,all-access,user,388
en.wikipedia,Nabi_Tajima,daily,2015121500,all-access,user,303
en.wikipedia,Nabi_Tajima,daily,2015121600,all-access,user,244
en.wikipedia,Nabi_Tajima,daily,2015121700,all-access,user,230
en.wikipedia,Nabi_Tajima,daily,2015121800,all-access,user,194
en.wikipedia,Nabi_Tajima,daily,2015121900,all-access,user,183
en.wikipedia,Nabi_Tajima,daily,2015122000,all-access,user,209
en.wikipedia,Nabi_Tajima,daily,2015122100,all-access,user,212
en.wikipedia,Nabi_Tajima,daily,2015122200,all-access,user,187
en.wikipedia,Nabi_Tajima,daily,2015122300,all-access,user,206
en.wikipedia,Nabi_Tajima,daily,2015122400,all-access,user,170
en.wikipedia,Nabi_Tajima,daily,2015122500,all-access,user,191
en.wikipedia,Nabi_Tajima,daily,2015122600,all-access,user,232
en.wikipedia,Nabi_Tajima,daily,2015122700,all-access,user,249
en.wikipedia,Nabi_Tajima,daily,2015122800,all-access,user,251
en.wikipedia,Nabi_Tajima,daily,2015122900,all-access,user,274
en.wikipedia,Nabi_Tajima,daily,2015123000,all-access,user,276
