project,article,granularity,timestamp,access,agent,views
en.wikipedia,Naomi_Parker_Fraley,daily,2018012300,all-access,user,1830
en.wikipedia,Naomi_Parker_Fraley,daily,2018012400,all-access,user,217
en.wikipedia,Naomi_Parker_Fraley,daily,2018012500,all-access,user,48
en.wikipedia,Naomi_Parker_Fraley,daily,2018012600,all-access,user,32
en.wikipedia,Naomi_Parker_Fraley,daily,2018012700,all-access,user,8
en.wikipedia,Naomi_Parker_Fraley,daily,2018012800,all-access,user,9
en.wikipedia,Naomi_Parker_Fraley,daily,2018012900,all-access,user,188
en.wikipedia,Naomi_Parker_Fraley,daily,2018013000,all-access,user,769
en.wikipedia,Naomi_Parker_Fraley,daily,2018013100,all-access,user,1123
en.wikipedia,Naomi_Parker_Fraley,daily,2018020100,all-access,user,2458
en.wikipedia,Naomi_Parker_Fraley,daily,2018020200,all-access,user,1111
en.wikipedia,Naomi_Parker_Fraley,daily,2018020300,all-access,user,3374
en.wikipedia,Naomi_Parker_Fraley,daily,2018020400,all-access,user,3126
en.wikipedia,Naomi_Parker_Fraley,daily,2018020500,all-access,user,1812
en.wikipedia,Naomi_Parker_Fraley,daily,2018020600,all-access,user,2592
en.wikipedia,Naomi_Parker_Fraley,daily,2018020700,all-access,user,2298
en.wikipedia,Naomi_Parker_Fraley,daily,2018020800,all-access,user,3548
en.wikipedia,Naomi_Parker_Fraley,daily,2018020900,all-access,user,2859
en.wikipedia,Naomi_Parker_Fraley,daily,2018021000,all-access,user,2573
en.wikipedia,Naomi_Parker_Fraley,daily,2018021100,all-access,user,2562
en.wikipedia,Naomi_Parker_Fraley,daily,2018021200,all-access,user,2130
en.wikipedia,Naomi_Parker_Fraley,daily,2018021300,all-access,user,1540
en.wikipedia,Naomi_Parker_Fraley,daily,2018021400,all-access,user,1140
en.wikipedia,Naomi_Parker_Fraley,daily,2018021500,all-access,user,726
en.wikipedia,Naomi_Parker_Fraley,daily,2018021600,all-access,user,490
en.wikipedia,Naomi_Parker_Fraley,daily,2018021700,all-access,user,505
en.wikipedia,Naomi_Parker_Fraley,daily,2018021800,all-access,user,479
en.wikipedia,Naomi_Parker_Fraley,daily,2018021900,all-access,user,466
en.wikipedia,Naomi_Parker_Fraley,daily,2018022000,all-access,user,407
en.wikipedia,Naomi_Parker_Fraley,daily,2018022100,all-access,user,320
en.wikipedia,Naomi_Parker_Fraley,daily,2018022200,all-access,user,322
en.wikipedia,Naomi_Parker_Fraley,daily,2018022300,all-access,user,277
en.wikipedia,Naomi_Parker_Fraley,daily,2018022400,all-access,user,212
en.wikipedia,Naomi_Parker_Fraley,daily,2018022500,all-access,user,270
en.wikipedia,Naomi_Parker_Fraley,daily,2018022600,all-access,user,253
en.wikipedia,Naomi_Parker_Fraley,daily,2018022700,all-access,user,256
en.wikipedia,Naomi_Parker_Fraley,daily,2018022800,all-access,user,237
en.wikipedia,Naomi_Parker_Fraley,daily,2018030100,all-access,user,226
en.wikipedia,Naomi_Parker_Fraley,daily,2018030200,all-access,user,206
en.wikipedia,Naomi_Parker_Fraley,daily,2018030300,all-access,user,213
en.wikipedia,Naomi_Parker_Fraley,daily,2018030400,all-access,user,234
en.wikipedia,Naomi_Parker_Fraley,daily,2018030500,all-access,user,1386
en.wikipedia,Naomi_Parker_Fraley,daily,2018030600,all-access,user,414
en.wikipedia,Naomi_Parker_Fraley,daily,2018030700,all-access,user,391
en.wikipedia,Naomi_Parker_Fraley,daily,2018030800,all-access,user,911
en.wikipedia,Naomi_Parker_Fraley,daily,2018030900,all-access,user,354
en.wikipedia,Naomi_Parker_Fraley,daily,2018031000,all-access,user,194
en.wikipedia,Naomi_Parker_Fraley,daily,2018031100,all-access,user,244
en.wikipedia,Naomi_Parker_Fraley,daily,2018031200,all-access,user,250
en.wikipedia,Naomi_Parker_Fraley,daily,2018031300,all-access,user,248
en.wikipedia,Naomi_Parker_Fraley,daily,2018031400,all-access,user,303
en.wikipedia,Naomi_Parker_Fraley,daily,2018031500,all-access,user,256
en.wikipedia,Naomi_Parker_Fraley,daily,2018031600,all-access,user,160
en.wikipedia,Naomi_Parker_Fraley,daily,2018031700,all-access,user,2180
en.wikipedia,Naomi_Parker_Fraley,daily,2018031800,all-access,user,1186
en.wikipedia,Naomi_Parker_Fraley,daily,2018031900,all-access,user,654
en.wikipedia,Naomi_Parker_Fraley,daily,2018032000,all-access,user,358
en.wikipedia,Naomi_Parker_Fraley,daily,2018032100,all-access,user,301
en.wikipedia,Naomi_Parker_Fraley,daily,2018032200,all-access,user,334
en.wikipedia,Naomi_Parker_Fraley,daily,2018032300,all-access,user,258
en.wikipedia,Naomi_Parker_Fraley,daily,2018032400,all-access,user,212
en.wikipedia,Naomi_Parker_Fraley,daily,2018032500,all-access,user,12756
en.wikipedia,Naomi_Parker_Fraley,daily,2018032600,all-access,user,885
en.wikipedia,Naomi_Parker_Fraley,daily,2018032700,all-access,user,220
en.wikipedia,Naomi_Parker_Fraley,daily,2018032800,all-access,user,154
en.wikipedia,Naomi_Parker_Fraley,daily,2018032900,all-access,user,138
en.wikipedia,Naomi_Parker_Fraley,daily,2018033000,all-access,user,109
en.wikipedia,Naomi_Parker_Fraley,daily,2018033100,all-access,user,87
en.wikipedia,Naomi_Parker_Fraley,daily,2018040100,all-access,user,81
en.wikipedia,Naomi_Parker_Fraley,daily,2018040200,all-access,user,136
en.wikipedia,Naomi_Parker_Fraley,daily,2018040300,all-access,user,103
en.wikipedia,Naomi_Parker_Fraley,daily,2018040400,all-access,user,135
en.wikipedia,Naomi_Parker_Fraley,daily,2018040500,all-access,user,114
en.wikipedia,Naomi_Parker_Fraley,daily,2018040600,all-access,user,106
en.wikipedia,Naomi_Parker_Fraley,daily,2018040700,all-access,user,71
en.wikipedia,Naomi_Parker_Fraley,daily,2018040800,all-access,user,90
en.wikipedia,Naomi_Parker_Fraley,daily,2018040900,all-access,user,131
en.wikipedia,Naomi_Parker_Fraley,daily,2018041000,all-access,user,124
en.wikipedia,Naomi_Parker_Fraley,daily,2018041100,all-access,user,129
en.wikipedia,Naomi_Parker_Fraley,daily,2018041200,all-access,user,109
en.wikipedia,Naomi_Parker_Fraley,daily,2018041300,all-access,user,102
en.wikipedia,Naomi_Parker_Fraley,daily,2018041400,all-access,user,71
en.wikipedia,Naomi_Parker_Fraley,daily,2018041500,all-access,user,116
en.wikipedia,Naomi_Parker_Fraley,daily,2018041600,all-access,user,120
en.wikipedia,Naomi_Parker_Fraley,daily,2018041700,all-access,user,112
en.wikipedia,Naomi_Parker_Fraley,daily,2018041800,all-access,user,195
en.wikipedia,Naomi_Parker_Fraley,daily,2018041900,all-access,user,184
en.wikipedia,Naomi_Parker_Fraley,daily,2018042000,all-access,user,96
en.wikipedia,Naomi_Parker_Fraley,daily,2018042100,all-access,user,103
en.wikipedia,Naomi_Parker_Fraley,daily,2018042200,all-access,user,96
en.wikipedia,Naomi_Parker_Fraley,daily,2018042300,all-access,user,108
en.wikipedia,Naomi_Parker_Fraley,daily,2018042400,all-access,user,119
en.wikipedia,Naomi_Parker_Fraley,daily,2018042500,all-access,user,108
en.wikipedia,Naomi_Parker_Fraley,daily,2018042600,all-access,user,124
en.wikipedia,Naomi_Parker_Fraley,daily,2018042700,all-access,user,235
en.wikipedia,Naomi_Parker_Fraley,daily,2018042800,all-access,user,111
en.wikipedia,Naomi_Parker_Fraley,daily,2018042900,all-access,user,105
en.wikipedia,Naomi_Parker_Fraley,daily,2018043000,all-access,user,123
en.wikipedia,Naomi_Parker_Fraley,daily,2018050100,all-access,user,97
en.wikipedia,Naomi_Parker_Fraley,daily,2018050200,all-access,user,124
en.wikipedia,Naomi_Parker_Fraley,daily,2018050300,all-access,user,115
en.wikipedia,Naomi_Parker_Fraley,daily,2018050400,all-access,user,96
en.wikipedia,Naomi_Parker_Fraley,daily,2018050500,all-access,user,77
en.wikipedia,Naomi_Parker_Fraley,daily,2018050600,all-access,user,96
en.wikipedia,Naomi_Parker_Fraley,daily,2018050700,all-access,user,101
en.wikipedia,Naomi_Parker_Fraley,daily,2018050800,all-access,user,313
en.wikipedia,Naomi_Parker_Fraley,daily,2018050900,all-access,user,130
en.wikipedia,Naomi_Parker_Fraley,daily,2018051000,all-access,user,142
en.wikipedia,Naomi_Parker_Fraley,daily,2018051100,all-access,user,95
en.wikipedia,Naomi_Parker_Fraley,daily,2018051200,all-access,user,164
en.wikipedia,Naomi_Parker_Fraley,daily,2018051300,all-access,user,90
en.wikipedia,Naomi_Parker_Fraley,daily,2018051400,all-access,user,115
en.wikipedia,Naomi_Parker_Fraley,daily,2018051500,all-access,user,133
en.wikipedia,Naomi_Parker_Fraley,daily,2018051600,all-access,user,97
en.wikipedia,Naomi_Parker_Fraley,daily,2018051700,all-access,user,95
en.wikipedia,Naomi_Parker_Fraley,daily,2018051800,all-access,user,94
en.wikipedia,Naomi_Parker_Fraley,daily,2018051900,all-access,user,76
en.wikipedia,Naomi_Parker_Fraley,daily,2018052000,all-access,user,68
en.wikipedia,Naomi_Parker_Fraley,daily,2018052100,all-access,user,64
en.wikipedia,Naomi_Parker_Fraley,daily,2018052200,all-access,user,119
en.wikipedia,Naomi_Parker_Fraley,daily,2018052300,all-access,user,93
en.wikipedia,Naomi_Parker_Fraley,daily,2018052400,all-access,user,89
en.wikipedia,Naomi_Parker_Fraley,daily,2018052500,all-access,user,94
