project,article,granularity,timestamp,access,agent,views
en.wikipedia,Naser_Malek_Motiei,daily,2018052500,all-access,user,331
en.wikipedia,Naser_Malek_Motiei,daily,2018052600,all-access,user,7582
en.wikipedia,Naser_Malek_Motiei,daily,2018052700,all-access,user,3626
en.wikipedia,Naser_Malek_Motiei,daily,2018052800,all-access,user,1891
en.wikipedia,Naser_Malek_Motiei,daily,2018052900,all-access,user,961
en.wikipedia,Naser_Malek_Motiei,daily,2018053000,all-access,user,565
en.wikipedia,Naser_Malek_Motiei,daily,2018053100,all-access,user,1177
en.wikipedia,Naser_Malek_Motiei,daily,2018060100,all-access,user,440
en.wikipedia,Naser_Malek_Motiei,daily,2018060200,all-access,user,295
en.wikipedia,Naser_Malek_Motiei,daily,2018060300,all-access,user,307
en.wikipedia,Naser_Malek_Motiei,daily,2018060400,all-access,user,168
en.wikipedia,Naser_Malek_Motiei,daily,2018060500,all-access,user,148
en.wikipedia,Naser_Malek_Motiei,daily,2018060600,all-access,user,154
en.wikipedia,Naser_Malek_Motiei,daily,2018060700,all-access,user,103
en.wikipedia,Naser_Malek_Motiei,daily,2018060800,all-access,user,129
en.wikipedia,Naser_Malek_Motiei,daily,2018060900,all-access,user,153
en.wikipedia,Naser_Malek_Motiei,daily,2018061000,all-access,user,142
en.wikipedia,Naser_Malek_Motiei,daily,2018061100,all-access,user,82
en.wikipedia,Naser_Malek_Motiei,daily,2018061200,all-access,user,53
en.wikipedia,Naser_Malek_Motiei,daily,2018061300,all-access,user,43
en.wikipedia,Naser_Malek_Motiei,daily,2018061400,all-access,user,34
en.wikipedia,Naser_Malek_Motiei,daily,2018061500,all-access,user,33
en.wikipedia,Naser_Malek_Motiei,daily,2018061600,all-access,user,33
en.wikipedia,Naser_Malek_Motiei,daily,2018061700,all-access,user,27
en.wikipedia,Naser_Malek_Motiei,daily,2018061800,all-access,user,32
en.wikipedia,Naser_Malek_Motiei,daily,2018061900,all-access,user,35
en.wikipedia,Naser_Malek_Motiei,daily,2018062000,all-access,user,24
en.wikipedia,Naser_Malek_Motiei,daily,2018062100,all-access,user,23
en.wikipedia,Naser_Malek_Motiei,daily,2018062200,all-access,user,23
en.wikipedia,Naser_Malek_Motiei,daily,2018062300,all-access,user,31
en.wikipedia,Naser_Malek_Motiei,daily,2018062400,all-access,user,35
en.wikipedia,Naser_Malek_Motiei,daily,2018062500,all-access,user,28
en.wikipedia,Naser_Malek_Motiei,daily,2018062600,all-access,user,27
