project,article,granularity,timestamp,access,agent,views
en.wikipedia,Nobel_Prize,daily,2015070100,all-access,user,2713
en.wikipedia,Nobel_Prize,daily,2015070200,all-access,user,2736
en.wikipedia,Nobel_Prize,daily,2015070300,all-access,user,2589
en.wikipedia,Nobel_Prize,daily,2015070400,all-access,user,2530
en.wikipedia,Nobel_Prize,daily,2015070500,all-access,user,3267
en.wikipedia,Nobel_Prize,daily,2015070600,all-access,user,2767
en.wikipedia,Nobel_Prize,daily,2015070700,all-access,user,2875
en.wikipedia,Nobel_Prize,daily,2015070800,all-access,user,3253
en.wikipedia,Nobel_Prize,daily,2015070900,all-access,user,3024
en.wikipedia,Nobel_Prize,daily,2015071000,all-access,user,2721
en.wikipedia,Nobel_Prize,daily,2015071100,all-access,user,2501
en.wikipedia,Nobel_Prize,daily,2015071200,all-access,user,2781
en.wikipedia,Nobel_Prize,daily,2015071300,all-access,user,2977
en.wikipedia,Nobel_Prize,daily,2015071400,all-access,user,3090
en.wikipedia,Nobel_Prize,daily,2015071500,all-access,user,3059
en.wikipedia,Nobel_Prize,daily,2015071600,all-access,user,2894
en.wikipedia,Nobel_Prize,daily,2015071700,all-access,user,2770
en.wikipedia,Nobel_Prize,daily,2015071800,all-access,user,2346
en.wikipedia,Nobel_Prize,daily,2015071900,all-access,user,2581
en.wikipedia,Nobel_Prize,daily,2015072000,all-access,user,2898
en.wikipedia,Nobel_Prize,daily,2015072100,all-access,user,2971
en.wikipedia,Nobel_Prize,daily,2015072200,all-access,user,2882
en.wikipedia,Nobel_Prize,daily,2015072300,all-access,user,2973
en.wikipedia,Nobel_Prize,daily,2015072400,all-access,user,2915
en.wikipedia,Nobel_Prize,daily,2015072500,all-access,user,2840
en.wikipedia,Nobel_Prize,daily,2015072600,all-access,user,2958
en.wikipedia,Nobel_Prize,daily,2015072700,all-access,user,3208
en.wikipedia,Nobel_Prize,daily,2015072800,all-access,user,3868
en.wikipedia,Nobel_Prize,daily,2015072900,all-access,user,3359
en.wikipedia,Nobel_Prize,daily,2015073000,all-access,user,3430
en.wikipedia,Nobel_Prize,daily,2015073100,all-access,user,3126
en.wikipedia,Nobel_Prize,daily,2015080100,all-access,user,2739
en.wikipedia,Nobel_Prize,daily,2015080200,all-access,user,3176
en.wikipedia,Nobel_Prize,daily,2015080300,all-access,user,2947
en.wikipedia,Nobel_Prize,daily,2015080400,all-access,user,5056
en.wikipedia,Nobel_Prize,daily,2015080500,all-access,user,3460
en.wikipedia,Nobel_Prize,daily,2015080600,all-access,user,3262
en.wikipedia,Nobel_Prize,daily,2015080700,all-access,user,3447
en.wikipedia,Nobel_Prize,daily,2015080800,all-access,user,3170
en.wikipedia,Nobel_Prize,daily,2015080900,all-access,user,3371
en.wikipedia,Nobel_Prize,daily,2015081000,all-access,user,3166
en.wikipedia,Nobel_Prize,daily,2015081100,all-access,user,3408
en.wikipedia,Nobel_Prize,daily,2015081200,all-access,user,3476
en.wikipedia,Nobel_Prize,daily,2015081300,all-access,user,3730
en.wikipedia,Nobel_Prize,daily,2015081400,all-access,user,3386
en.wikipedia,Nobel_Prize,daily,2015081500,all-access,user,2878
en.wikipedia,Nobel_Prize,daily,2015081600,all-access,user,3598
en.wikipedia,Nobel_Prize,daily,2015081700,all-access,user,3396
en.wikipedia,Nobel_Prize,daily,2015081800,all-access,user,3731
