project,article,granularity,timestamp,access,agent,views
en.wikipedia,Paulette_Coquatrix,daily,2018052900,all-access,user,566
en.wikipedia,Paulette_Coquatrix,daily,2018053000,all-access,user,1704
en.wikipedia,Paulette_Coquatrix,daily,2018053100,all-access,user,638
en.wikipedia,Paulette_Coquatrix,daily,2018060100,all-access,user,320
en.wikipedia,Paulette_Coquatrix,daily,2018060200,all-access,user,176
en.wikipedia,Paulette_Coquatrix,daily,2018060300,all-access,user,128
en.wikipedia,Paulette_Coquatrix,daily,2018060400,all-access,user,97
en.wikipedia,Paulette_Coquatrix,daily,2018060500,all-access,user,59
en.wikipedia,Paulette_Coquatrix,daily,2018060600,all-access,user,62
en.wikipedia,Paulette_Coquatrix,daily,2018060700,all-access,user,26
en.wikipedia,Paulette_Coquatrix,daily,2018060800,all-access,user,12
en.wikipedia,Paulette_Coquatrix,daily,2018060900,all-access,user,6
en.wikipedia,Paulette_Coquatrix,daily,2018061000,all-access,user,5
en.wikipedia,Paulette_Coquatrix,daily,2018061100,all-access,user,6
en.wikipedia,Paulette_Coquatrix,daily,2018061200,all-access,user,8
en.wikipedia,Paulette_Coquatrix,daily,2018061300,all-access,user,5
en.wikipedia,Paulette_Coquatrix,daily,2018061400,all-access,user,7
en.wikipedia,Paulette_Coquatrix,daily,2018061500,all-access,user,14
en.wikipedia,Paulette_Coquatrix,daily,2018061600,all-access,user,8
en.wikipedia,Paulette_Coquatrix,daily,2018061700,all-access,user,8
en.wikipedia,Paulette_Coquatrix,daily,2018061800,all-access,user,2
en.wikipedia,Paulette_Coquatrix,daily,2018061900,all-access,user,4
en.wikipedia,Paulette_Coquatrix,daily,2018062000,all-access,user,4
en.wikipedia,Paulette_Coquatrix,daily,2018062100,all-access,user,7
en.wikipedia,Paulette_Coquatrix,daily,2018062200,all-access,user,3
en.wikipedia,Paulette_Coquatrix,daily,2018062300,all-access,user,1
en.wikipedia,Paulette_Coquatrix,daily,2018062400,all-access,user,10
en.wikipedia,Paulette_Coquatrix,daily,2018062500,all-access,user,4
en.wikipedia,Paulette_Coquatrix,daily,2018062600,all-access,user,3
