project,article,granularity,timestamp,access,agent,views
en.wikipedia,Prime_Minister_of_India,daily,2015070100,all-access,user,2326
en.wikipedia,Prime_Minister_of_India,daily,2015070200,all-access,user,2061
en.wikipedia,Prime_Minister_of_India,daily,2015070300,all-access,user,2021
en.wikipedia,Prime_Minister_of_India,daily,2015070400,all-access,user,1835
en.wikipedia,Prime_Minister_of_India,daily,2015070500,all-access,user,1913
en.wikipedia,Prime_Minister_of_India,daily,2015070600,all-access,user,2022
en.wikipedia,Prime_Minister_of_India,daily,2015070700,all-access,user,1983
en.wikipedia,Prime_Minister_of_India,daily,2015070800,all-access,user,1893
en.wikipedia,Prime_Minister_of_India,daily,2015070900,all-access,user,1965
en.wikipedia,Prime_Minister_of_India,daily,2015071000,all-access,user,1769
en.wikipedia,Prime_Minister_of_India,daily,2015071100,all-access,user,1823
en.wikipedia,Prime_Minister_of_India,daily,2015071200,all-access,user,2014
en.wikipedia,Prime_Minister_of_India,daily,2015071300,all-access,user,1934
en.wikipedia,Prime_Minister_of_India,daily,2015071400,all-access,user,2059
en.wikipedia,Prime_Minister_of_India,daily,2015071500,all-access,user,1781
en.wikipedia,Prime_Minister_of_India,daily,2015071600,all-access,user,1606
en.wikipedia,Prime_Minister_of_India,daily,2015071700,all-access,user,1462
en.wikipedia,Prime_Minister_of_India,daily,2015071800,all-access,user,1534
en.wikipedia,Prime_Minister_of_India,daily,2015071900,all-access,user,1672
en.wikipedia,Prime_Minister_of_India,daily,2015072000,all-access,user,1676
en.wikipedia,Prime_Minister_of_India,daily,2015072100,all-access,user,2061
en.wikipedia,Prime_Minister_of_India,daily,2015072200,all-access,user,1811
en.wikipedia,Prime_Minister_of_India,daily,2015072300,all-access,user,1928
en.wikipedia,Prime_Minister_of_India,daily,2015072400,all-access,user,2076
en.wikipedia,Prime_Minister_of_India,daily,2015072500,all-access,user,2124
en.wikipedia,Prime_Minister_of_India,daily,2015072600,all-access,user,2046
en.wikipedia,Prime_Minister_of_India,daily,2015072700,all-access,user,3909
en.wikipedia,Prime_Minister_of_India,daily,2015072800,all-access,user,5180
en.wikipedia,Prime_Minister_of_India,daily,2015072900,all-access,user,3538
en.wikipedia,Prime_Minister_of_India,daily,2015073000,all-access,user,3576
en.wikipedia,Prime_Minister_of_India,daily,2015073100,all-access,user,2648
en.wikipedia,Prime_Minister_of_India,daily,2015080100,all-access,user,2296
en.wikipedia,Prime_Minister_of_India,daily,2015080200,all-access,user,2243
