project,article,granularity,timestamp,access,agent,views
en.wikipedia,R._Lee_Ermey,daily,2015070100,all-access,user,2061
en.wikipedia,R._Lee_Ermey,daily,2015070200,all-access,user,2142
en.wikipedia,R._Lee_Ermey,daily,2015070300,all-access,user,1720
en.wikipedia,R._Lee_Ermey,daily,2015070400,all-access,user,2145
en.wikipedia,R._Lee_Ermey,daily,2015070500,all-access,user,2615
en.wikipedia,R._Lee_Ermey,daily,2015070600,all-access,user,1947
en.wikipedia,R._Lee_Ermey,daily,2015070700,all-access,user,2020
en.wikipedia,R._Lee_Ermey,daily,2015070800,all-access,user,2467
en.wikipedia,R._Lee_Ermey,daily,2015070900,all-access,user,4441
en.wikipedia,R._Lee_Ermey,daily,2015071000,all-access,user,7513
en.wikipedia,R._Lee_Ermey,daily,2015071100,all-access,user,6038
en.wikipedia,R._Lee_Ermey,daily,2015071200,all-access,user,3671
en.wikipedia,R._Lee_Ermey,daily,2015071300,all-access,user,2482
en.wikipedia,R._Lee_Ermey,daily,2015071400,all-access,user,2078
en.wikipedia,R._Lee_Ermey,daily,2015071500,all-access,user,1970
en.wikipedia,R._Lee_Ermey,daily,2015071600,all-access,user,2079
en.wikipedia,R._Lee_Ermey,daily,2015071700,all-access,user,1879
en.wikipedia,R._Lee_Ermey,daily,2015071800,all-access,user,2339
en.wikipedia,R._Lee_Ermey,daily,2015071900,all-access,user,2356
en.wikipedia,R._Lee_Ermey,daily,2015072000,all-access,user,2161
en.wikipedia,R._Lee_Ermey,daily,2015072100,all-access,user,2022
en.wikipedia,R._Lee_Ermey,daily,2015072200,all-access,user,1900
en.wikipedia,R._Lee_Ermey,daily,2015072300,all-access,user,2151
en.wikipedia,R._Lee_Ermey,daily,2015072400,all-access,user,1939
en.wikipedia,R._Lee_Ermey,daily,2015072500,all-access,user,2103
en.wikipedia,R._Lee_Ermey,daily,2015072600,all-access,user,2051
en.wikipedia,R._Lee_Ermey,daily,2015072700,all-access,user,6832
