project,article,granularity,timestamp,access,agent,views
en.wikipedia,Richard_Arvin_Overton,daily,2017060300,all-access,user,36
en.wikipedia,Richard_Arvin_Overton,daily,2017060400,all-access,user,684
en.wikipedia,Richard_Arvin_Overton,daily,2017060500,all-access,user,479
en.wikipedia,Richard_Arvin_Overton,daily,2017060600,all-access,user,298
en.wikipedia,Richard_Arvin_Overton,daily,2017060700,all-access,user,467
en.wikipedia,Richard_Arvin_Overton,daily,2017060800,all-access,user,573
en.wikipedia,Richard_Arvin_Overton,daily,2017060900,all-access,user,573
en.wikipedia,Richard_Arvin_Overton,daily,2017061000,all-access,user,640
en.wikipedia,Richard_Arvin_Overton,daily,2017061100,all-access,user,697
en.wikipedia,Richard_Arvin_Overton,daily,2017061200,all-access,user,767
en.wikipedia,Richard_Arvin_Overton,daily,2017061300,all-access,user,762
en.wikipedia,Richard_Arvin_Overton,daily,2017061400,all-access,user,747
en.wikipedia,Richard_Arvin_Overton,daily,2017061500,all-access,user,682
en.wikipedia,Richard_Arvin_Overton,daily,2017061600,all-access,user,521
en.wikipedia,Richard_Arvin_Overton,daily,2017061700,all-access,user,540
en.wikipedia,Richard_Arvin_Overton,daily,2017061800,all-access,user,596
en.wikipedia,Richard_Arvin_Overton,daily,2017061900,all-access,user,416
en.wikipedia,Richard_Arvin_Overton,daily,2017062000,all-access,user,383
en.wikipedia,Richard_Arvin_Overton,daily,2017062100,all-access,user,433
en.wikipedia,Richard_Arvin_Overton,daily,2017062200,all-access,user,440
en.wikipedia,Richard_Arvin_Overton,daily,2017062300,all-access,user,530
en.wikipedia,Richard_Arvin_Overton,daily,2017062400,all-access,user,679
en.wikipedia,Richard_Arvin_Overton,daily,2017062500,all-access,user,927
en.wikipedia,Richard_Arvin_Overton,daily,2017062600,all-access,user,1202
en.wikipedia,Richard_Arvin_Overton,daily,2017062700,all-access,user,1261
en.wikipedia,Richard_Arvin_Overton,daily,2017062800,all-access,user,1104
en.wikipedia,Richard_Arvin_Overton,daily,2017062900,all-access,user,671
en.wikipedia,Richard_Arvin_Overton,daily,2017063000,all-access,user,689
en.wikipedia,Richard_Arvin_Overton,daily,2017070100,all-access,user,534
en.wikipedia,Richard_Arvin_Overton,daily,2017070200,all-access,user,510
en.wikipedia,Richard_Arvin_Overton,daily,2017070300,all-access,user,463
en.wikipedia,Richard_Arvin_Overton,daily,2017070400,all-access,user,428
en.wikipedia,Richard_Arvin_Overton,daily,2017070500,all-access,user,423
en.wikipedia,Richard_Arvin_Overton,daily,2017070600,all-access,user,483
en.wikipedia,Richard_Arvin_Overton,daily,2017070700,all-access,user,362
en.wikipedia,Richard_Arvin_Overton,daily,2017070800,all-access,user,315
en.wikipedia,Richard_Arvin_Overton,daily,2017070900,all-access,user,457
en.wikipedia,Richard_Arvin_Overton,daily,2017071000,all-access,user,427
en.wikipedia,Richard_Arvin_Overton,daily,2017071100,all-access,user,408
en.wikipedia,Richard_Arvin_Overton,daily,2017071200,all-access,user,418
en.wikipedia,Richard_Arvin_Overton,daily,2017071300,all-access,user,489
en.wikipedia,Richard_Arvin_Overton,daily,2017071400,all-access,user,640
en.wikipedia,Richard_Arvin_Overton,daily,2017071500,all-access,user,685
en.wikipedia,Richard_Arvin_Overton,daily,2017071600,all-access,user,502
en.wikipedia,Richard_Arvin_Overton,daily,2017071700,all-access,user,478
en.wikipedia,Richard_Arvin_Overton,daily,2017071800,all-access,user,599
