project,article,granularity,timestamp,access,agent,views
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018033100,all-access,user,29
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018040100,all-access,user,15
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018040200,all-access,user,9
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018040300,all-access,user,4
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018040400,all-access,user,4
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018040500,all-access,user,3
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018040600,all-access,user,3
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018040700,all-access,user,3
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018040800,all-access,user,1
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018040900,all-access,user,6
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018041000,all-access,user,6
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018041100,all-access,user,4
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018041200,all-access,user,2
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018041300,all-access,user,1
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018041400,all-access,user,4
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018041500,all-access,user,2
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018041600,all-access,user,4
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018041700,all-access,user,1
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018041800,all-access,user,1
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018041900,all-access,user,3
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018042000,all-access,user,3
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018042100,all-access,user,4
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018042200,all-access,user,2
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018042400,all-access,user,2
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018042500,all-access,user,1
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018042600,all-access,user,1
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018042800,all-access,user,0
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018042900,all-access,user,1
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018043000,all-access,user,4
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018050100,all-access,user,1
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018050200,all-access,user,1
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018050300,all-access,user,0
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018050400,all-access,user,3
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018050600,all-access,user,3
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018050800,all-access,user,1
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018050900,all-access,user,1
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018051000,all-access,user,0
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018051100,all-access,user,4
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018051400,all-access,user,1
en.wikipedia,Rosa_Ferrer_Obiols,daily,2018051500,all-access,user,1
