project,article,granularity,timestamp,access,agent,views
en.wikipedia,Sondra_Locke,daily,2015070100,all-access,user,1258
en.wikipedia,Sondra_Locke,daily,2015070200,all-access,user,3188
en.wikipedia,Sondra_Locke,daily,2015070300,all-access,user,1631
en.wikipedia,Sondra_Locke,daily,2015070400,all-access,user,1548
en.wikipedia,Sondra_Locke,daily,2015070500,all-access,user,1653
en.wikipedia,Sondra_Locke,daily,2015070600,all-access,user,1440
en.wikipedia,Sondra_Locke,daily,2015070700,all-access,user,1141
en.wikipedia,Sondra_Locke,daily,2015070800,all-access,user,2845
en.wikipedia,Sondra_Locke,daily,2015070900,all-access,user,1373
en.wikipedia,Sondra_Locke,daily,2015071000,all-access,user,1373
en.wikipedia,Sondra_Locke,daily,2015071100,all-access,user,2701
en.wikipedia,Sondra_Locke,daily,2015071200,all-access,user,9426
en.wikipedia,Sondra_Locke,daily,2015071300,all-access,user,2187
en.wikipedia,Sondra_Locke,daily,2015071400,all-access,user,7576
en.wikipedia,Sondra_Locke,daily,2015071500,all-access,user,4925
en.wikipedia,Sondra_Locke,daily,2015071600,all-access,user,4756
en.wikipedia,Sondra_Locke,daily,2015071700,all-access,user,1921
en.wikipedia,Sondra_Locke,daily,2015071800,all-access,user,2129
en.wikipedia,Sondra_Locke,daily,2015071900,all-access,user,2619
en.wikipedia,Sondra_Locke,daily,2015072000,all-access,user,1793
en.wikipedia,Sondra_Locke,daily,2015072100,all-access,user,6107
en.wikipedia,Sondra_Locke,daily,2015072200,all-access,user,2805
en.wikipedia,Sondra_Locke,daily,2015072300,all-access,user,1533
en.wikipedia,Sondra_Locke,daily,2015072400,all-access,user,1268
en.wikipedia,Sondra_Locke,daily,2015072500,all-access,user,1787
en.wikipedia,Sondra_Locke,daily,2015072600,all-access,user,1916
en.wikipedia,Sondra_Locke,daily,2015072700,all-access,user,3345
en.wikipedia,Sondra_Locke,daily,2015072800,all-access,user,1535
en.wikipedia,Sondra_Locke,daily,2015072900,all-access,user,1225
en.wikipedia,Sondra_Locke,daily,2015073000,all-access,user,1586
en.wikipedia,Sondra_Locke,daily,2015073100,all-access,user,2536
en.wikipedia,Sondra_Locke,daily,2015080100,all-access,user,2408
en.wikipedia,Sondra_Locke,daily,2015080200,all-access,user,2204
en.wikipedia,Sondra_Locke,daily,2015080300,all-access,user,3362
en.wikipedia,Sondra_Locke,daily,2015080400,all-access,user,1379
en.wikipedia,Sondra_Locke,daily,2015080500,all-access,user,1272
en.wikipedia,Sondra_Locke,daily,2015080600,all-access,user,1103
en.wikipedia,Sondra_Locke,daily,2015080700,all-access,user,1023
en.wikipedia,Sondra_Locke,daily,2015080800,all-access,user,1476
en.wikipedia,Sondra_Locke,daily,2015080900,all-access,user,1640
en.wikipedia,Sondra_Locke,daily,2015081000,all-access,user,1210
en.wikipedia,Sondra_Locke,daily,2015081100,all-access,user,1113
en.wikipedia,Sondra_Locke,daily,2015081200,all-access,user,1338
en.wikipedia,Sondra_Locke,daily,2015081300,all-access,user,1347
en.wikipedia,Sondra_Locke,daily,2015081400,all-access,user,1586
en.wikipedia,Sondra_Locke,daily,2015081500,all-access,user,1423
en.wikipedia,Sondra_Locke,daily,2015081600,all-access,user,1561
en.wikipedia,Sondra_Locke,daily,2015081700,all-access,user,1612
en.wikipedia,Sondra_Locke,daily,2015081800,all-access,user,1305
en.wikipedia,Sondra_Locke,daily,2015081900,all-access,user,1148
en.wikipedia,Sondra_Locke,daily,2015082000,all-access,user,1096
en.wikipedia,Sondra_Locke,daily,2015082100,all-access,user,1417
en.wikipedia,Sondra_Locke,daily,2015082200,all-access,user,8824
en.wikipedia,Sondra_Locke,daily,2015082300,all-access,user,1889
en.wikipedia,Sondra_Locke,daily,2015082400,all-access,user,2209
en.wikipedia,Sondra_Locke,daily,2015082500,all-access,user,4053
en.wikipedia,Sondra_Locke,daily,2015082600,all-access,user,1425
en.wikipedia,Sondra_Locke,daily,2015082700,all-access,user,2170
en.wikipedia,Sondra_Locke,daily,2015082800,all-access,user,1535
en.wikipedia,Sondra_Locke,daily,2015082900,all-access,user,1531
en.wikipedia,Sondra_Locke,daily,2015083000,all-access,user,1607
en.wikipedia,Sondra_Locke,daily,2015083100,all-access,user,2579
en.wikipedia,Sondra_Locke,daily,2015090100,all-access,user,1608
en.wikipedia,Sondra_Locke,daily,2015090200,all-access,user,1589
en.wikipedia,Sondra_Locke,daily,2015090300,all-access,user,1709
en.wikipedia,Sondra_Locke,daily,2015090400,all-access,user,1454
en.wikipedia,Sondra_Locke,daily,2015090500,all-access,user,1617
