project,article,granularity,timestamp,access,agent,views
en.wikipedia,Sridevi,daily,2015070100,all-access,user,3566
en.wikipedia,Sridevi,daily,2015070200,all-access,user,3612
en.wikipedia,Sridevi,daily,2015070300,all-access,user,3453
en.wikipedia,Sridevi,daily,2015070400,all-access,user,3966
en.wikipedia,Sridevi,daily,2015070500,all-access,user,4201
en.wikipedia,Sridevi,daily,2015070600,all-access,user,3667
en.wikipedia,Sridevi,daily,2015070700,all-access,user,3521
en.wikipedia,Sridevi,daily,2015070800,all-access,user,3951
en.wikipedia,Sridevi,daily,2015070900,all-access,user,3717
en.wikipedia,Sridevi,daily,2015071000,all-access,user,3857
en.wikipedia,Sridevi,daily,2015071100,all-access,user,4127
en.wikipedia,Sridevi,daily,2015071200,all-access,user,4157
en.wikipedia,Sridevi,daily,2015071300,all-access,user,3999
en.wikipedia,Sridevi,daily,2015071400,all-access,user,3631
en.wikipedia,Sridevi,daily,2015071500,all-access,user,3301
en.wikipedia,Sridevi,daily,2015071600,all-access,user,3591
en.wikipedia,Sridevi,daily,2015071700,all-access,user,3619
en.wikipedia,Sridevi,daily,2015071800,all-access,user,3511
en.wikipedia,Sridevi,daily,2015071900,all-access,user,4015
en.wikipedia,Sridevi,daily,2015072000,all-access,user,3666
en.wikipedia,Sridevi,daily,2015072100,all-access,user,3386
en.wikipedia,Sridevi,daily,2015072200,all-access,user,3430
en.wikipedia,Sridevi,daily,2015072300,all-access,user,3378
en.wikipedia,Sridevi,daily,2015072400,all-access,user,3633
en.wikipedia,Sridevi,daily,2015072500,all-access,user,4643
en.wikipedia,Sridevi,daily,2015072600,all-access,user,4297
en.wikipedia,Sridevi,daily,2015072700,all-access,user,3650
en.wikipedia,Sridevi,daily,2015072800,all-access,user,3987
en.wikipedia,Sridevi,daily,2015072900,all-access,user,3390
en.wikipedia,Sridevi,daily,2015073000,all-access,user,3092
en.wikipedia,Sridevi,daily,2015073100,all-access,user,3303
en.wikipedia,Sridevi,daily,2015080100,all-access,user,4032
en.wikipedia,Sridevi,daily,2015080200,all-access,user,4013
en.wikipedia,Sridevi,daily,2015080300,all-access,user,3914
en.wikipedia,Sridevi,daily,2015080400,all-access,user,4356
en.wikipedia,Sridevi,daily,2015080500,all-access,user,3906
en.wikipedia,Sridevi,daily,2015080600,all-access,user,3502
en.wikipedia,Sridevi,daily,2015080700,all-access,user,3373
en.wikipedia,Sridevi,daily,2015080800,all-access,user,3800
en.wikipedia,Sridevi,daily,2015080900,all-access,user,4027
en.wikipedia,Sridevi,daily,2015081000,all-access,user,3540
en.wikipedia,Sridevi,daily,2015081100,all-access,user,3757
en.wikipedia,Sridevi,daily,2015081200,all-access,user,4877
en.wikipedia,Sridevi,daily,2015081300,all-access,user,16167
en.wikipedia,Sridevi,daily,2015081400,all-access,user,6162
en.wikipedia,Sridevi,daily,2015081500,all-access,user,4662
en.wikipedia,Sridevi,daily,2015081600,all-access,user,4591
en.wikipedia,Sridevi,daily,2015081700,all-access,user,3764
en.wikipedia,Sridevi,daily,2015081800,all-access,user,4181
en.wikipedia,Sridevi,daily,2015081900,all-access,user,4277
en.wikipedia,Sridevi,daily,2015082000,all-access,user,5211
en.wikipedia,Sridevi,daily,2015082100,all-access,user,4819
en.wikipedia,Sridevi,daily,2015082200,all-access,user,4907
en.wikipedia,Sridevi,daily,2015082300,all-access,user,8387
en.wikipedia,Sridevi,daily,2015082400,all-access,user,5525
en.wikipedia,Sridevi,daily,2015082500,all-access,user,4381
en.wikipedia,Sridevi,daily,2015082600,all-access,user,4654
en.wikipedia,Sridevi,daily,2015082700,all-access,user,3821
en.wikipedia,Sridevi,daily,2015082800,all-access,user,3696
en.wikipedia,Sridevi,daily,2015082900,all-access,user,3837
en.wikipedia,Sridevi,daily,2015083000,all-access,user,4477
en.wikipedia,Sridevi,daily,2015083100,all-access,user,3759
en.wikipedia,Sridevi,daily,2015090100,all-access,user,3596
en.wikipedia,Sridevi,daily,2015090200,all-access,user,4039
en.wikipedia,Sridevi,daily,2015090300,all-access,user,3467
en.wikipedia,Sridevi,daily,2015090400,all-access,user,4208
en.wikipedia,Sridevi,daily,2015090500,all-access,user,4458
en.wikipedia,Sridevi,daily,2015090600,all-access,user,5103
en.wikipedia,Sridevi,daily,2015090700,all-access,user,4299
en.wikipedia,Sridevi,daily,2015090800,all-access,user,3841
en.wikipedia,Sridevi,daily,2015090900,all-access,user,3841
en.wikipedia,Sridevi,daily,2015091000,all-access,user,3694
en.wikipedia,Sridevi,daily,2015091100,all-access,user,3604
en.wikipedia,Sridevi,daily,2015091200,all-access,user,4528
en.wikipedia,Sridevi,daily,2015091300,all-access,user,4835
en.wikipedia,Sridevi,daily,2015091400,all-access,user,3695
en.wikipedia,Sridevi,daily,2015091500,all-access,user,4039
en.wikipedia,Sridevi,daily,2015091600,all-access,user,3542
en.wikipedia,Sridevi,daily,2015091700,all-access,user,3658
en.wikipedia,Sridevi,daily,2015091800,all-access,user,3694
en.wikipedia,Sridevi,daily,2015091900,all-access,user,4476
en.wikipedia,Sridevi,daily,2015092000,all-access,user,4263
en.wikipedia,Sridevi,daily,2015092100,all-access,user,4490
en.wikipedia,Sridevi,daily,2015092200,all-access,user,4695
en.wikipedia,Sridevi,daily,2015092300,all-access,user,5018
en.wikipedia,Sridevi,daily,2015092400,all-access,user,4569
en.wikipedia,Sridevi,daily,2015092500,all-access,user,4347
en.wikipedia,Sridevi,daily,2015092600,all-access,user,5178
en.wikipedia,Sridevi,daily,2015092700,all-access,user,4834
en.wikipedia,Sridevi,daily,2015092800,all-access,user,4164
en.wikipedia,Sridevi,daily,2015092900,all-access,user,4157
en.wikipedia,Sridevi,daily,2015093000,all-access,user,5156
en.wikipedia,Sridevi,daily,2015100100,all-access,user,6900
en.wikipedia,Sridevi,daily,2015100200,all-access,user,6713
en.wikipedia,Sridevi,daily,2015100300,all-access,user,6792
en.wikipedia,Sridevi,daily,2015100400,all-access,user,6873
en.wikipedia,Sridevi,daily,2015100500,all-access,user,6126
en.wikipedia,Sridevi,daily,2015100600,all-access,user,5658
en.wikipedia,Sridevi,daily,2015100700,all-access,user,5397
en.wikipedia,Sridevi,daily,2015100800,all-access,user,5077
en.wikipedia,Sridevi,daily,2015100900,all-access,user,4439
en.wikipedia,Sridevi,daily,2015101000,all-access,user,4973
