project,article,granularity,timestamp,access,agent,views
en.wikipedia,Stan_Lee,daily,2015070100,all-access,user,7364
en.wikipedia,Stan_Lee,daily,2015070200,all-access,user,6390
en.wikipedia,Stan_Lee,daily,2015070300,all-access,user,5861
en.wikipedia,Stan_Lee,daily,2015070400,all-access,user,5691
en.wikipedia,Stan_Lee,daily,2015070500,all-access,user,6711
en.wikipedia,Stan_Lee,daily,2015070600,all-access,user,6877
en.wikipedia,Stan_Lee,daily,2015070700,all-access,user,5985
en.wikipedia,Stan_Lee,daily,2015070800,all-access,user,5943
en.wikipedia,Stan_Lee,daily,2015070900,all-access,user,5806
en.wikipedia,Stan_Lee,daily,2015071000,all-access,user,6438
en.wikipedia,Stan_Lee,daily,2015071100,all-access,user,8559
en.wikipedia,Stan_Lee,daily,2015071200,all-access,user,9896
en.wikipedia,Stan_Lee,daily,2015071300,all-access,user,9924
en.wikipedia,Stan_Lee,daily,2015071400,all-access,user,15098
en.wikipedia,Stan_Lee,daily,2015071500,all-access,user,12297
en.wikipedia,Stan_Lee,daily,2015071600,all-access,user,8746
en.wikipedia,Stan_Lee,daily,2015071700,all-access,user,11642
en.wikipedia,Stan_Lee,daily,2015071800,all-access,user,10414
en.wikipedia,Stan_Lee,daily,2015071900,all-access,user,11583
en.wikipedia,Stan_Lee,daily,2015072000,all-access,user,10687
en.wikipedia,Stan_Lee,daily,2015072100,all-access,user,9360
en.wikipedia,Stan_Lee,daily,2015072200,all-access,user,8343
en.wikipedia,Stan_Lee,daily,2015072300,all-access,user,7628
en.wikipedia,Stan_Lee,daily,2015072400,all-access,user,7695
en.wikipedia,Stan_Lee,daily,2015072500,all-access,user,8602
en.wikipedia,Stan_Lee,daily,2015072600,all-access,user,10075
en.wikipedia,Stan_Lee,daily,2015072700,all-access,user,9446
en.wikipedia,Stan_Lee,daily,2015072800,all-access,user,8580
en.wikipedia,Stan_Lee,daily,2015072900,all-access,user,9337
en.wikipedia,Stan_Lee,daily,2015073000,all-access,user,7353
en.wikipedia,Stan_Lee,daily,2015073100,all-access,user,7325
en.wikipedia,Stan_Lee,daily,2015080100,all-access,user,7695
en.wikipedia,Stan_Lee,daily,2015080200,all-access,user,8594
en.wikipedia,Stan_Lee,daily,2015080300,all-access,user,9201
en.wikipedia,Stan_Lee,daily,2015080400,all-access,user,14591
en.wikipedia,Stan_Lee,daily,2015080500,all-access,user,13304
en.wikipedia,Stan_Lee,daily,2015080600,all-access,user,12211
en.wikipedia,Stan_Lee,daily,2015080700,all-access,user,11672
en.wikipedia,Stan_Lee,daily,2015080800,all-access,user,13454
en.wikipedia,Stan_Lee,daily,2015080900,all-access,user,13696
en.wikipedia,Stan_Lee,daily,2015081000,all-access,user,11646
en.wikipedia,Stan_Lee,daily,2015081100,all-access,user,9975
en.wikipedia,Stan_Lee,daily,2015081200,all-access,user,9051
en.wikipedia,Stan_Lee,daily,2015081300,all-access,user,10757
en.wikipedia,Stan_Lee,daily,2015081400,all-access,user,9789
en.wikipedia,Stan_Lee,daily,2015081500,all-access,user,10051
en.wikipedia,Stan_Lee,daily,2015081600,all-access,user,9937
en.wikipedia,Stan_Lee,daily,2015081700,all-access,user,8014
en.wikipedia,Stan_Lee,daily,2015081800,all-access,user,9201
en.wikipedia,Stan_Lee,daily,2015081900,all-access,user,8260
en.wikipedia,Stan_Lee,daily,2015082000,all-access,user,7247
en.wikipedia,Stan_Lee,daily,2015082100,all-access,user,6988
en.wikipedia,Stan_Lee,daily,2015082200,all-access,user,7727
en.wikipedia,Stan_Lee,daily,2015082300,all-access,user,9484
en.wikipedia,Stan_Lee,daily,2015082400,all-access,user,7391
en.wikipedia,Stan_Lee,daily,2015082500,all-access,user,6481
en.wikipedia,Stan_Lee,daily,2015082600,all-access,user,6876
en.wikipedia,Stan_Lee,daily,2015082700,all-access,user,7279
en.wikipedia,Stan_Lee,daily,2015082800,all-access,user,6515
en.wikipedia,Stan_Lee,daily,2015082900,all-access,user,7386
en.wikipedia,Stan_Lee,daily,2015083000,all-access,user,7111
en.wikipedia,Stan_Lee,daily,2015083100,all-access,user,6214
en.wikipedia,Stan_Lee,daily,2015090100,all-access,user,5445
en.wikipedia,Stan_Lee,daily,2015090200,all-access,user,6439
en.wikipedia,Stan_Lee,daily,2015090300,all-access,user,6852
en.wikipedia,Stan_Lee,daily,2015090400,all-access,user,6550
en.wikipedia,Stan_Lee,daily,2015090500,all-access,user,6406
en.wikipedia,Stan_Lee,daily,2015090600,all-access,user,9498
en.wikipedia,Stan_Lee,daily,2015090700,all-access,user,7210
en.wikipedia,Stan_Lee,daily,2015090800,all-access,user,10442
en.wikipedia,Stan_Lee,daily,2015090900,all-access,user,8170
en.wikipedia,Stan_Lee,daily,2015091000,all-access,user,6303
en.wikipedia,Stan_Lee,daily,2015091100,all-access,user,6118
en.wikipedia,Stan_Lee,daily,2015091200,all-access,user,7080
en.wikipedia,Stan_Lee,daily,2015091300,all-access,user,7621
en.wikipedia,Stan_Lee,daily,2015091400,all-access,user,6549
en.wikipedia,Stan_Lee,daily,2015091500,all-access,user,5551
en.wikipedia,Stan_Lee,daily,2015091600,all-access,user,5606
en.wikipedia,Stan_Lee,daily,2015091700,all-access,user,5316
en.wikipedia,Stan_Lee,daily,2015091800,all-access,user,5167
en.wikipedia,Stan_Lee,daily,2015091900,all-access,user,6400
en.wikipedia,Stan_Lee,daily,2015092000,all-access,user,6709
en.wikipedia,Stan_Lee,daily,2015092100,all-access,user,6061
en.wikipedia,Stan_Lee,daily,2015092200,all-access,user,5400
en.wikipedia,Stan_Lee,daily,2015092300,all-access,user,5299
en.wikipedia,Stan_Lee,daily,2015092400,all-access,user,5210
en.wikipedia,Stan_Lee,daily,2015092500,all-access,user,5223
en.wikipedia,Stan_Lee,daily,2015092600,all-access,user,6115
en.wikipedia,Stan_Lee,daily,2015092700,all-access,user,8595
en.wikipedia,Stan_Lee,daily,2015092800,all-access,user,7336
en.wikipedia,Stan_Lee,daily,2015092900,all-access,user,6284
en.wikipedia,Stan_Lee,daily,2015093000,all-access,user,5042
en.wikipedia,Stan_Lee,daily,2015100100,all-access,user,4653
en.wikipedia,Stan_Lee,daily,2015100200,all-access,user,5044
en.wikipedia,Stan_Lee,daily,2015100300,all-access,user,6163
en.wikipedia,Stan_Lee,daily,2015100400,all-access,user,5957
en.wikipedia,Stan_Lee,daily,2015100500,all-access,user,5061
en.wikipedia,Stan_Lee,daily,2015100600,all-access,user,4780
en.wikipedia,Stan_Lee,daily,2015100700,all-access,user,4871
en.wikipedia,Stan_Lee,daily,2015100800,all-access,user,4621
en.wikipedia,Stan_Lee,daily,2015100900,all-access,user,4560
en.wikipedia,Stan_Lee,daily,2015101000,all-access,user,5928
en.wikipedia,Stan_Lee,daily,2015101100,all-access,user,6079
en.wikipedia,Stan_Lee,daily,2015101200,all-access,user,5034
en.wikipedia,Stan_Lee,daily,2015101300,all-access,user,4516
en.wikipedia,Stan_Lee,daily,2015101400,all-access,user,4573
en.wikipedia,Stan_Lee,daily,2015101500,all-access,user,5034
en.wikipedia,Stan_Lee,daily,2015101600,all-access,user,4722
en.wikipedia,Stan_Lee,daily,2015101700,all-access,user,4630
en.wikipedia,Stan_Lee,daily,2015101800,all-access,user,5635
en.wikipedia,Stan_Lee,daily,2015101900,all-access,user,5191
en.wikipedia,Stan_Lee,daily,2015102000,all-access,user,4591
en.wikipedia,Stan_Lee,daily,2015102100,all-access,user,4484
en.wikipedia,Stan_Lee,daily,2015102200,all-access,user,4388
en.wikipedia,Stan_Lee,daily,2015102300,all-access,user,5464
en.wikipedia,Stan_Lee,daily,2015102400,all-access,user,5213
en.wikipedia,Stan_Lee,daily,2015102500,all-access,user,5411
en.wikipedia,Stan_Lee,daily,2015102600,all-access,user,5456
en.wikipedia,Stan_Lee,daily,2015102700,all-access,user,5537
en.wikipedia,Stan_Lee,daily,2015102800,all-access,user,4646
en.wikipedia,Stan_Lee,daily,2015102900,all-access,user,4427
en.wikipedia,Stan_Lee,daily,2015103000,all-access,user,4458
en.wikipedia,Stan_Lee,daily,2015103100,all-access,user,5034
en.wikipedia,Stan_Lee,daily,2015110100,all-access,user,6753
en.wikipedia,Stan_Lee,daily,2015110200,all-access,user,5857
en.wikipedia,Stan_Lee,daily,2015110300,all-access,user,5045
en.wikipedia,Stan_Lee,daily,2015110400,all-access,user,5031
en.wikipedia,Stan_Lee,daily,2015110500,all-access,user,7556
en.wikipedia,Stan_Lee,daily,2015110600,all-access,user,5427
en.wikipedia,Stan_Lee,daily,2015110700,all-access,user,5360
en.wikipedia,Stan_Lee,daily,2015110800,all-access,user,5780
en.wikipedia,Stan_Lee,daily,2015110900,all-access,user,5196
en.wikipedia,Stan_Lee,daily,2015111000,all-access,user,4646
en.wikipedia,Stan_Lee,daily,2015111100,all-access,user,4589
en.wikipedia,Stan_Lee,daily,2015111200,all-access,user,6562
en.wikipedia,Stan_Lee,daily,2015111300,all-access,user,5379
en.wikipedia,Stan_Lee,daily,2015111400,all-access,user,4815
en.wikipedia,Stan_Lee,daily,2015111500,all-access,user,6267
en.wikipedia,Stan_Lee,daily,2015111600,all-access,user,5601
en.wikipedia,Stan_Lee,daily,2015111700,all-access,user,4786
en.wikipedia,Stan_Lee,daily,2015111800,all-access,user,6020
en.wikipedia,Stan_Lee,daily,2015111900,all-access,user,4977
en.wikipedia,Stan_Lee,daily,2015112000,all-access,user,5152
en.wikipedia,Stan_Lee,daily,2015112100,all-access,user,6276
en.wikipedia,Stan_Lee,daily,2015112200,all-access,user,7006
en.wikipedia,Stan_Lee,daily,2015112300,all-access,user,5850
en.wikipedia,Stan_Lee,daily,2015112400,all-access,user,5208
en.wikipedia,Stan_Lee,daily,2015112500,all-access,user,7088
en.wikipedia,Stan_Lee,daily,2015112600,all-access,user,6672
en.wikipedia,Stan_Lee,daily,2015112700,all-access,user,6240
en.wikipedia,Stan_Lee,daily,2015112800,all-access,user,7781
en.wikipedia,Stan_Lee,daily,2015112900,all-access,user,8616
en.wikipedia,Stan_Lee,daily,2015113000,all-access,user,6643
en.wikipedia,Stan_Lee,daily,2015120100,all-access,user,6003
en.wikipedia,Stan_Lee,daily,2015120200,all-access,user,5822
en.wikipedia,Stan_Lee,daily,2015120300,all-access,user,5873
en.wikipedia,Stan_Lee,daily,2015120400,all-access,user,5754
en.wikipedia,Stan_Lee,daily,2015120500,all-access,user,6223
en.wikipedia,Stan_Lee,daily,2015120600,all-access,user,6525
en.wikipedia,Stan_Lee,daily,2015120700,all-access,user,6030
en.wikipedia,Stan_Lee,daily,2015120800,all-access,user,5721
en.wikipedia,Stan_Lee,daily,2015120900,all-access,user,5684
en.wikipedia,Stan_Lee,daily,2015121000,all-access,user,5546
en.wikipedia,Stan_Lee,daily,2015121100,all-access,user,6384
en.wikipedia,Stan_Lee,daily,2015121200,all-access,user,10913
en.wikipedia,Stan_Lee,daily,2015121300,all-access,user,8447
en.wikipedia,Stan_Lee,daily,2015121400,all-access,user,7486
en.wikipedia,Stan_Lee,daily,2015121500,all-access,user,5502
en.wikipedia,Stan_Lee,daily,2015121600,all-access,user,5376
en.wikipedia,Stan_Lee,daily,2015121700,all-access,user,7311
en.wikipedia,Stan_Lee,daily,2015121800,all-access,user,4996
en.wikipedia,Stan_Lee,daily,2015121900,all-access,user,5630
en.wikipedia,Stan_Lee,daily,2015122000,all-access,user,5994
en.wikipedia,Stan_Lee,daily,2015122100,all-access,user,5627
en.wikipedia,Stan_Lee,daily,2015122200,all-access,user,5207
en.wikipedia,Stan_Lee,daily,2015122300,all-access,user,5103
en.wikipedia,Stan_Lee,daily,2015122400,all-access,user,5239
en.wikipedia,Stan_Lee,daily,2015122500,all-access,user,6261
en.wikipedia,Stan_Lee,daily,2015122600,all-access,user,7768
en.wikipedia,Stan_Lee,daily,2015122700,all-access,user,7955
en.wikipedia,Stan_Lee,daily,2015122800,all-access,user,25569
en.wikipedia,Stan_Lee,daily,2015122900,all-access,user,16863
en.wikipedia,Stan_Lee,daily,2015123000,all-access,user,9373
en.wikipedia,Stan_Lee,daily,2015123100,all-access,user,7146
en.wikipedia,Stan_Lee,daily,2016010100,all-access,user,8446
en.wikipedia,Stan_Lee,daily,2016010200,all-access,user,9739
en.wikipedia,Stan_Lee,daily,2016010300,all-access,user,10061
en.wikipedia,Stan_Lee,daily,2016010400,all-access,user,7843
en.wikipedia,Stan_Lee,daily,2016010500,all-access,user,7171
en.wikipedia,Stan_Lee,daily,2016010600,all-access,user,6468
en.wikipedia,Stan_Lee,daily,2016010700,all-access,user,7606
