project,article,granularity,timestamp,access,agent,views
en.wikipedia,Stephen_Hawking,daily,2015070100,all-access,user,20874
en.wikipedia,Stephen_Hawking,daily,2015070200,all-access,user,20383
en.wikipedia,Stephen_Hawking,daily,2015070300,all-access,user,22117
en.wikipedia,Stephen_Hawking,daily,2015070400,all-access,user,28104
en.wikipedia,Stephen_Hawking,daily,2015070500,all-access,user,29628
en.wikipedia,Stephen_Hawking,daily,2015070600,all-access,user,23824
en.wikipedia,Stephen_Hawking,daily,2015070700,all-access,user,21486
en.wikipedia,Stephen_Hawking,daily,2015070800,all-access,user,20049
en.wikipedia,Stephen_Hawking,daily,2015070900,all-access,user,20247
en.wikipedia,Stephen_Hawking,daily,2015071000,all-access,user,20823
en.wikipedia,Stephen_Hawking,daily,2015071100,all-access,user,28201
en.wikipedia,Stephen_Hawking,daily,2015071200,all-access,user,33561
en.wikipedia,Stephen_Hawking,daily,2015071300,all-access,user,26366
en.wikipedia,Stephen_Hawking,daily,2015071400,all-access,user,28370
en.wikipedia,Stephen_Hawking,daily,2015071500,all-access,user,39486
en.wikipedia,Stephen_Hawking,daily,2015071600,all-access,user,26123
en.wikipedia,Stephen_Hawking,daily,2015071700,all-access,user,27193
en.wikipedia,Stephen_Hawking,daily,2015071800,all-access,user,33626
en.wikipedia,Stephen_Hawking,daily,2015071900,all-access,user,41993
en.wikipedia,Stephen_Hawking,daily,2015072000,all-access,user,61547
en.wikipedia,Stephen_Hawking,daily,2015072100,all-access,user,79858
en.wikipedia,Stephen_Hawking,daily,2015072200,all-access,user,47210
en.wikipedia,Stephen_Hawking,daily,2015072300,all-access,user,36069
en.wikipedia,Stephen_Hawking,daily,2015072400,all-access,user,33033
en.wikipedia,Stephen_Hawking,daily,2015072500,all-access,user,36740
en.wikipedia,Stephen_Hawking,daily,2015072600,all-access,user,37052
en.wikipedia,Stephen_Hawking,daily,2015072700,all-access,user,35863
en.wikipedia,Stephen_Hawking,daily,2015072800,all-access,user,35414
en.wikipedia,Stephen_Hawking,daily,2015072900,all-access,user,26155
en.wikipedia,Stephen_Hawking,daily,2015073000,all-access,user,22526
en.wikipedia,Stephen_Hawking,daily,2015073100,all-access,user,23215
en.wikipedia,Stephen_Hawking,daily,2015080100,all-access,user,29440
en.wikipedia,Stephen_Hawking,daily,2015080200,all-access,user,32719
en.wikipedia,Stephen_Hawking,daily,2015080300,all-access,user,33821
en.wikipedia,Stephen_Hawking,daily,2015080400,all-access,user,23770
en.wikipedia,Stephen_Hawking,daily,2015080500,all-access,user,24361
en.wikipedia,Stephen_Hawking,daily,2015080600,all-access,user,24546
