project,article,granularity,timestamp,access,agent,views
en.wikipedia,Steve_Ditko,daily,2015070100,all-access,user,558
en.wikipedia,Steve_Ditko,daily,2015070200,all-access,user,492
en.wikipedia,Steve_Ditko,daily,2015070300,all-access,user,460
en.wikipedia,Steve_Ditko,daily,2015070400,all-access,user,523
en.wikipedia,Steve_Ditko,daily,2015070500,all-access,user,517
en.wikipedia,Steve_Ditko,daily,2015070600,all-access,user,601
en.wikipedia,Steve_Ditko,daily,2015070700,all-access,user,584
en.wikipedia,Steve_Ditko,daily,2015070800,all-access,user,557
en.wikipedia,Steve_Ditko,daily,2015070900,all-access,user,524
en.wikipedia,Steve_Ditko,daily,2015071000,all-access,user,563
en.wikipedia,Steve_Ditko,daily,2015071100,all-access,user,779
en.wikipedia,Steve_Ditko,daily,2015071200,all-access,user,685
en.wikipedia,Steve_Ditko,daily,2015071300,all-access,user,780
en.wikipedia,Steve_Ditko,daily,2015071400,all-access,user,1016
en.wikipedia,Steve_Ditko,daily,2015071500,all-access,user,807
en.wikipedia,Steve_Ditko,daily,2015071600,all-access,user,628
en.wikipedia,Steve_Ditko,daily,2015071700,all-access,user,915
en.wikipedia,Steve_Ditko,daily,2015071800,all-access,user,664
en.wikipedia,Steve_Ditko,daily,2015071900,all-access,user,737
en.wikipedia,Steve_Ditko,daily,2015072000,all-access,user,766
en.wikipedia,Steve_Ditko,daily,2015072100,all-access,user,707
en.wikipedia,Steve_Ditko,daily,2015072200,all-access,user,652
en.wikipedia,Steve_Ditko,daily,2015072300,all-access,user,586
en.wikipedia,Steve_Ditko,daily,2015072400,all-access,user,610
en.wikipedia,Steve_Ditko,daily,2015072500,all-access,user,626
en.wikipedia,Steve_Ditko,daily,2015072600,all-access,user,622
en.wikipedia,Steve_Ditko,daily,2015072700,all-access,user,787
en.wikipedia,Steve_Ditko,daily,2015072800,all-access,user,855
en.wikipedia,Steve_Ditko,daily,2015072900,all-access,user,969
en.wikipedia,Steve_Ditko,daily,2015073000,all-access,user,687
en.wikipedia,Steve_Ditko,daily,2015073100,all-access,user,630
en.wikipedia,Steve_Ditko,daily,2015080100,all-access,user,578
en.wikipedia,Steve_Ditko,daily,2015080200,all-access,user,600
en.wikipedia,Steve_Ditko,daily,2015080300,all-access,user,591
en.wikipedia,Steve_Ditko,daily,2015080400,all-access,user,819
en.wikipedia,Steve_Ditko,daily,2015080500,all-access,user,861
en.wikipedia,Steve_Ditko,daily,2015080600,all-access,user,887
en.wikipedia,Steve_Ditko,daily,2015080700,all-access,user,860
en.wikipedia,Steve_Ditko,daily,2015080800,all-access,user,983
en.wikipedia,Steve_Ditko,daily,2015080900,all-access,user,912
en.wikipedia,Steve_Ditko,daily,2015081000,all-access,user,829
en.wikipedia,Steve_Ditko,daily,2015081100,all-access,user,806
en.wikipedia,Steve_Ditko,daily,2015081200,all-access,user,772
en.wikipedia,Steve_Ditko,daily,2015081300,all-access,user,863
en.wikipedia,Steve_Ditko,daily,2015081400,all-access,user,749
en.wikipedia,Steve_Ditko,daily,2015081500,all-access,user,801
en.wikipedia,Steve_Ditko,daily,2015081600,all-access,user,857
en.wikipedia,Steve_Ditko,daily,2015081700,all-access,user,777
en.wikipedia,Steve_Ditko,daily,2015081800,all-access,user,7489
en.wikipedia,Steve_Ditko,daily,2015081900,all-access,user,4704
en.wikipedia,Steve_Ditko,daily,2015082000,all-access,user,913
en.wikipedia,Steve_Ditko,daily,2015082100,all-access,user,800
en.wikipedia,Steve_Ditko,daily,2015082200,all-access,user,758
en.wikipedia,Steve_Ditko,daily,2015082300,all-access,user,870
en.wikipedia,Steve_Ditko,daily,2015082400,all-access,user,788
en.wikipedia,Steve_Ditko,daily,2015082500,all-access,user,704
en.wikipedia,Steve_Ditko,daily,2015082600,all-access,user,690
en.wikipedia,Steve_Ditko,daily,2015082700,all-access,user,712
en.wikipedia,Steve_Ditko,daily,2015082800,all-access,user,1091
en.wikipedia,Steve_Ditko,daily,2015082900,all-access,user,701
en.wikipedia,Steve_Ditko,daily,2015083000,all-access,user,770
en.wikipedia,Steve_Ditko,daily,2015083100,all-access,user,860
en.wikipedia,Steve_Ditko,daily,2015090100,all-access,user,639
en.wikipedia,Steve_Ditko,daily,2015090200,all-access,user,629
en.wikipedia,Steve_Ditko,daily,2015090300,all-access,user,726
en.wikipedia,Steve_Ditko,daily,2015090400,all-access,user,760
en.wikipedia,Steve_Ditko,daily,2015090500,all-access,user,614
en.wikipedia,Steve_Ditko,daily,2015090600,all-access,user,675
en.wikipedia,Steve_Ditko,daily,2015090700,all-access,user,607
en.wikipedia,Steve_Ditko,daily,2015090800,all-access,user,829
en.wikipedia,Steve_Ditko,daily,2015090900,all-access,user,661
en.wikipedia,Steve_Ditko,daily,2015091000,all-access,user,627
en.wikipedia,Steve_Ditko,daily,2015091100,all-access,user,659
en.wikipedia,Steve_Ditko,daily,2015091200,all-access,user,626
en.wikipedia,Steve_Ditko,daily,2015091300,all-access,user,701
en.wikipedia,Steve_Ditko,daily,2015091400,all-access,user,645
en.wikipedia,Steve_Ditko,daily,2015091500,all-access,user,696
en.wikipedia,Steve_Ditko,daily,2015091600,all-access,user,576
en.wikipedia,Steve_Ditko,daily,2015091700,all-access,user,631
en.wikipedia,Steve_Ditko,daily,2015091800,all-access,user,598
en.wikipedia,Steve_Ditko,daily,2015091900,all-access,user,659
en.wikipedia,Steve_Ditko,daily,2015092000,all-access,user,715
en.wikipedia,Steve_Ditko,daily,2015092100,all-access,user,597
en.wikipedia,Steve_Ditko,daily,2015092200,all-access,user,610
en.wikipedia,Steve_Ditko,daily,2015092300,all-access,user,641
en.wikipedia,Steve_Ditko,daily,2015092400,all-access,user,530
en.wikipedia,Steve_Ditko,daily,2015092500,all-access,user,594
en.wikipedia,Steve_Ditko,daily,2015092600,all-access,user,544
