project,article,granularity,timestamp,access,agent,views
en.wikipedia,Tab_Hunter,daily,2015070100,all-access,user,832
en.wikipedia,Tab_Hunter,daily,2015070200,all-access,user,951
en.wikipedia,Tab_Hunter,daily,2015070300,all-access,user,775
en.wikipedia,Tab_Hunter,daily,2015070400,all-access,user,959
en.wikipedia,Tab_Hunter,daily,2015070500,all-access,user,1213
en.wikipedia,Tab_Hunter,daily,2015070600,all-access,user,980
en.wikipedia,Tab_Hunter,daily,2015070700,all-access,user,894
en.wikipedia,Tab_Hunter,daily,2015070800,all-access,user,958
en.wikipedia,Tab_Hunter,daily,2015070900,all-access,user,971
en.wikipedia,Tab_Hunter,daily,2015071000,all-access,user,1338
en.wikipedia,Tab_Hunter,daily,2015071100,all-access,user,3311
en.wikipedia,Tab_Hunter,daily,2015071200,all-access,user,1852
en.wikipedia,Tab_Hunter,daily,2015071300,all-access,user,1192
en.wikipedia,Tab_Hunter,daily,2015071400,all-access,user,839
en.wikipedia,Tab_Hunter,daily,2015071500,all-access,user,719
en.wikipedia,Tab_Hunter,daily,2015071600,all-access,user,698
en.wikipedia,Tab_Hunter,daily,2015071700,all-access,user,656
en.wikipedia,Tab_Hunter,daily,2015071800,all-access,user,1009
en.wikipedia,Tab_Hunter,daily,2015071900,all-access,user,937
en.wikipedia,Tab_Hunter,daily,2015072000,all-access,user,981
en.wikipedia,Tab_Hunter,daily,2015072100,all-access,user,745
en.wikipedia,Tab_Hunter,daily,2015072200,all-access,user,728
en.wikipedia,Tab_Hunter,daily,2015072300,all-access,user,1105
en.wikipedia,Tab_Hunter,daily,2015072400,all-access,user,1164
en.wikipedia,Tab_Hunter,daily,2015072500,all-access,user,850
en.wikipedia,Tab_Hunter,daily,2015072600,all-access,user,1694
en.wikipedia,Tab_Hunter,daily,2015072700,all-access,user,968
en.wikipedia,Tab_Hunter,daily,2015072800,all-access,user,829
en.wikipedia,Tab_Hunter,daily,2015072900,all-access,user,1040
