project,article,granularity,timestamp,access,agent,views
en.wikipedia,Terry_A._Davis,daily,2015070100,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015072200,all-access,user,15
en.wikipedia,Terry_A._Davis,daily,2015072300,all-access,user,2
en.wikipedia,Terry_A._Davis,daily,2015072400,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015072500,all-access,user,0
en.wikipedia,Terry_A._Davis,daily,2015072700,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015080300,all-access,user,3
en.wikipedia,Terry_A._Davis,daily,2015080700,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015081100,all-access,user,2
en.wikipedia,Terry_A._Davis,daily,2015081500,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015082500,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015083100,all-access,user,5
en.wikipedia,Terry_A._Davis,daily,2015090400,all-access,user,2
en.wikipedia,Terry_A._Davis,daily,2015090500,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015090700,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015090900,all-access,user,2
en.wikipedia,Terry_A._Davis,daily,2015092700,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015100300,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015100500,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015101200,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015101800,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015102200,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015102900,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015110300,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015110700,all-access,user,0
en.wikipedia,Terry_A._Davis,daily,2015111200,all-access,user,0
en.wikipedia,Terry_A._Davis,daily,2015120300,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015121600,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015122000,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015122300,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2015123100,all-access,user,2
en.wikipedia,Terry_A._Davis,daily,2016010300,all-access,user,1
en.wikipedia,Terry_A._Davis,daily,2016010400,all-access,user,2
en.wikipedia,Terry_A._Davis,daily,2016010500,all-access,user,1
