project,article,granularity,timestamp,access,agent,views
en.wikipedia,UNICEF,daily,2015070100,all-access,user,2254
en.wikipedia,UNICEF,daily,2015070200,all-access,user,2305
en.wikipedia,UNICEF,daily,2015070300,all-access,user,2114
en.wikipedia,UNICEF,daily,2015070400,all-access,user,1907
en.wikipedia,UNICEF,daily,2015070500,all-access,user,2183
en.wikipedia,UNICEF,daily,2015070600,all-access,user,2852
en.wikipedia,UNICEF,daily,2015070700,all-access,user,2622
en.wikipedia,UNICEF,daily,2015070800,all-access,user,2491
en.wikipedia,UNICEF,daily,2015070900,all-access,user,2229
en.wikipedia,UNICEF,daily,2015071000,all-access,user,1917
en.wikipedia,UNICEF,daily,2015071100,all-access,user,1637
en.wikipedia,UNICEF,daily,2015071200,all-access,user,1983
en.wikipedia,UNICEF,daily,2015071300,all-access,user,2239
en.wikipedia,UNICEF,daily,2015071400,all-access,user,2281
en.wikipedia,UNICEF,daily,2015071500,all-access,user,2163
en.wikipedia,UNICEF,daily,2015071600,all-access,user,1914
en.wikipedia,UNICEF,daily,2015071700,all-access,user,1797
en.wikipedia,UNICEF,daily,2015071800,all-access,user,1690
en.wikipedia,UNICEF,daily,2015071900,all-access,user,1835
en.wikipedia,UNICEF,daily,2015072000,all-access,user,2231
en.wikipedia,UNICEF,daily,2015072100,all-access,user,2292
en.wikipedia,UNICEF,daily,2015072200,all-access,user,2223
en.wikipedia,UNICEF,daily,2015072300,all-access,user,2352
en.wikipedia,UNICEF,daily,2015072400,all-access,user,2041
en.wikipedia,UNICEF,daily,2015072500,all-access,user,1847
en.wikipedia,UNICEF,daily,2015072600,all-access,user,1986
en.wikipedia,UNICEF,daily,2015072700,all-access,user,2143
en.wikipedia,UNICEF,daily,2015072800,all-access,user,2205
en.wikipedia,UNICEF,daily,2015072900,all-access,user,2308
en.wikipedia,UNICEF,daily,2015073000,all-access,user,2258
en.wikipedia,UNICEF,daily,2015073100,all-access,user,2220
en.wikipedia,UNICEF,daily,2015080100,all-access,user,1844
en.wikipedia,UNICEF,daily,2015080200,all-access,user,1966
