project,article,granularity,timestamp,access,agent,views
en.wikipedia,Verne_Troyer,daily,2015070100,all-access,user,1749
en.wikipedia,Verne_Troyer,daily,2015070200,all-access,user,1380
en.wikipedia,Verne_Troyer,daily,2015070300,all-access,user,1407
en.wikipedia,Verne_Troyer,daily,2015070400,all-access,user,1432
en.wikipedia,Verne_Troyer,daily,2015070500,all-access,user,1440
en.wikipedia,Verne_Troyer,daily,2015070600,all-access,user,1940
en.wikipedia,Verne_Troyer,daily,2015070700,all-access,user,3631
en.wikipedia,Verne_Troyer,daily,2015070800,all-access,user,2908
en.wikipedia,Verne_Troyer,daily,2015070900,all-access,user,2603
en.wikipedia,Verne_Troyer,daily,2015071000,all-access,user,2186
en.wikipedia,Verne_Troyer,daily,2015071100,all-access,user,2224
en.wikipedia,Verne_Troyer,daily,2015071200,all-access,user,2537
en.wikipedia,Verne_Troyer,daily,2015071300,all-access,user,4026
en.wikipedia,Verne_Troyer,daily,2015071400,all-access,user,3487
en.wikipedia,Verne_Troyer,daily,2015071500,all-access,user,1696
en.wikipedia,Verne_Troyer,daily,2015071600,all-access,user,1648
en.wikipedia,Verne_Troyer,daily,2015071700,all-access,user,1434
en.wikipedia,Verne_Troyer,daily,2015071800,all-access,user,1574
en.wikipedia,Verne_Troyer,daily,2015071900,all-access,user,1612
en.wikipedia,Verne_Troyer,daily,2015072000,all-access,user,1410
en.wikipedia,Verne_Troyer,daily,2015072100,all-access,user,1574
en.wikipedia,Verne_Troyer,daily,2015072200,all-access,user,1660
en.wikipedia,Verne_Troyer,daily,2015072300,all-access,user,1540
en.wikipedia,Verne_Troyer,daily,2015072400,all-access,user,1351
en.wikipedia,Verne_Troyer,daily,2015072500,all-access,user,1443
en.wikipedia,Verne_Troyer,daily,2015072600,all-access,user,1844
en.wikipedia,Verne_Troyer,daily,2015072700,all-access,user,2067
en.wikipedia,Verne_Troyer,daily,2015072800,all-access,user,1406
en.wikipedia,Verne_Troyer,daily,2015072900,all-access,user,1297
en.wikipedia,Verne_Troyer,daily,2015073000,all-access,user,1376
en.wikipedia,Verne_Troyer,daily,2015073100,all-access,user,1742
en.wikipedia,Verne_Troyer,daily,2015080100,all-access,user,2037
en.wikipedia,Verne_Troyer,daily,2015080200,all-access,user,2330
en.wikipedia,Verne_Troyer,daily,2015080300,all-access,user,1287
en.wikipedia,Verne_Troyer,daily,2015080400,all-access,user,1392
en.wikipedia,Verne_Troyer,daily,2015080500,all-access,user,1315
en.wikipedia,Verne_Troyer,daily,2015080600,all-access,user,1241
en.wikipedia,Verne_Troyer,daily,2015080700,all-access,user,1821
en.wikipedia,Verne_Troyer,daily,2015080800,all-access,user,1162
en.wikipedia,Verne_Troyer,daily,2015080900,all-access,user,1410
en.wikipedia,Verne_Troyer,daily,2015081000,all-access,user,1248
en.wikipedia,Verne_Troyer,daily,2015081100,all-access,user,1294
en.wikipedia,Verne_Troyer,daily,2015081200,all-access,user,3017
en.wikipedia,Verne_Troyer,daily,2015081300,all-access,user,21497
en.wikipedia,Verne_Troyer,daily,2015081400,all-access,user,2681
en.wikipedia,Verne_Troyer,daily,2015081500,all-access,user,2902
en.wikipedia,Verne_Troyer,daily,2015081600,all-access,user,2037
en.wikipedia,Verne_Troyer,daily,2015081700,all-access,user,1930
en.wikipedia,Verne_Troyer,daily,2015081800,all-access,user,1574
en.wikipedia,Verne_Troyer,daily,2015081900,all-access,user,1561
en.wikipedia,Verne_Troyer,daily,2015082000,all-access,user,1437
en.wikipedia,Verne_Troyer,daily,2015082100,all-access,user,2969
en.wikipedia,Verne_Troyer,daily,2015082200,all-access,user,2661
en.wikipedia,Verne_Troyer,daily,2015082300,all-access,user,1931
en.wikipedia,Verne_Troyer,daily,2015082400,all-access,user,1278
en.wikipedia,Verne_Troyer,daily,2015082500,all-access,user,1230
en.wikipedia,Verne_Troyer,daily,2015082600,all-access,user,1223
en.wikipedia,Verne_Troyer,daily,2015082700,all-access,user,1304
en.wikipedia,Verne_Troyer,daily,2015082800,all-access,user,1258
en.wikipedia,Verne_Troyer,daily,2015082900,all-access,user,1507
en.wikipedia,Verne_Troyer,daily,2015083000,all-access,user,2628
en.wikipedia,Verne_Troyer,daily,2015083100,all-access,user,1377
en.wikipedia,Verne_Troyer,daily,2015090100,all-access,user,1169
en.wikipedia,Verne_Troyer,daily,2015090200,all-access,user,1275
en.wikipedia,Verne_Troyer,daily,2015090300,all-access,user,1210
en.wikipedia,Verne_Troyer,daily,2015090400,all-access,user,1420
en.wikipedia,Verne_Troyer,daily,2015090500,all-access,user,2306
en.wikipedia,Verne_Troyer,daily,2015090600,all-access,user,1805
en.wikipedia,Verne_Troyer,daily,2015090700,all-access,user,1829
en.wikipedia,Verne_Troyer,daily,2015090800,all-access,user,1358
en.wikipedia,Verne_Troyer,daily,2015090900,all-access,user,1417
en.wikipedia,Verne_Troyer,daily,2015091000,all-access,user,1829
en.wikipedia,Verne_Troyer,daily,2015091100,all-access,user,1555
en.wikipedia,Verne_Troyer,daily,2015091200,all-access,user,1462
en.wikipedia,Verne_Troyer,daily,2015091300,all-access,user,1498
en.wikipedia,Verne_Troyer,daily,2015091400,all-access,user,1291
en.wikipedia,Verne_Troyer,daily,2015091500,all-access,user,1388
en.wikipedia,Verne_Troyer,daily,2015091600,all-access,user,1077
en.wikipedia,Verne_Troyer,daily,2015091700,all-access,user,1063
en.wikipedia,Verne_Troyer,daily,2015091800,all-access,user,1787
en.wikipedia,Verne_Troyer,daily,2015091900,all-access,user,2212
en.wikipedia,Verne_Troyer,daily,2015092000,all-access,user,1427
en.wikipedia,Verne_Troyer,daily,2015092100,all-access,user,1441
en.wikipedia,Verne_Troyer,daily,2015092200,all-access,user,1231
en.wikipedia,Verne_Troyer,daily,2015092300,all-access,user,1458
en.wikipedia,Verne_Troyer,daily,2015092400,all-access,user,5112
en.wikipedia,Verne_Troyer,daily,2015092500,all-access,user,3738
en.wikipedia,Verne_Troyer,daily,2015092600,all-access,user,3536
en.wikipedia,Verne_Troyer,daily,2015092700,all-access,user,2513
en.wikipedia,Verne_Troyer,daily,2015092800,all-access,user,2019
en.wikipedia,Verne_Troyer,daily,2015092900,all-access,user,1699
en.wikipedia,Verne_Troyer,daily,2015093000,all-access,user,1364
en.wikipedia,Verne_Troyer,daily,2015100100,all-access,user,1245
en.wikipedia,Verne_Troyer,daily,2015100200,all-access,user,1382
en.wikipedia,Verne_Troyer,daily,2015100300,all-access,user,1290
en.wikipedia,Verne_Troyer,daily,2015100400,all-access,user,1319
en.wikipedia,Verne_Troyer,daily,2015100500,all-access,user,1186
en.wikipedia,Verne_Troyer,daily,2015100600,all-access,user,1198
en.wikipedia,Verne_Troyer,daily,2015100700,all-access,user,1134
en.wikipedia,Verne_Troyer,daily,2015100800,all-access,user,1269
en.wikipedia,Verne_Troyer,daily,2015100900,all-access,user,1144
en.wikipedia,Verne_Troyer,daily,2015101000,all-access,user,1602
