project,article,granularity,timestamp,access,agent,views
en.wikipedia,Wang_Danfeng,daily,2018050200,all-access,user,1086
en.wikipedia,Wang_Danfeng,daily,2018050300,all-access,user,15652
en.wikipedia,Wang_Danfeng,daily,2018050400,all-access,user,9847
en.wikipedia,Wang_Danfeng,daily,2018050500,all-access,user,5705
en.wikipedia,Wang_Danfeng,daily,2018050600,all-access,user,4690
en.wikipedia,Wang_Danfeng,daily,2018050700,all-access,user,5200
en.wikipedia,Wang_Danfeng,daily,2018050800,all-access,user,4435
en.wikipedia,Wang_Danfeng,daily,2018050900,all-access,user,218
en.wikipedia,Wang_Danfeng,daily,2018051000,all-access,user,151
en.wikipedia,Wang_Danfeng,daily,2018051100,all-access,user,107
en.wikipedia,Wang_Danfeng,daily,2018051200,all-access,user,116
en.wikipedia,Wang_Danfeng,daily,2018051300,all-access,user,99
en.wikipedia,Wang_Danfeng,daily,2018051400,all-access,user,84
en.wikipedia,Wang_Danfeng,daily,2018051500,all-access,user,99
en.wikipedia,Wang_Danfeng,daily,2018051600,all-access,user,32488
en.wikipedia,Wang_Danfeng,daily,2018051700,all-access,user,388
en.wikipedia,Wang_Danfeng,daily,2018051800,all-access,user,147
en.wikipedia,Wang_Danfeng,daily,2018051900,all-access,user,155
en.wikipedia,Wang_Danfeng,daily,2018052000,all-access,user,100
en.wikipedia,Wang_Danfeng,daily,2018052100,all-access,user,88
en.wikipedia,Wang_Danfeng,daily,2018052200,all-access,user,104
en.wikipedia,Wang_Danfeng,daily,2018052300,all-access,user,51
en.wikipedia,Wang_Danfeng,daily,2018052400,all-access,user,22
en.wikipedia,Wang_Danfeng,daily,2018052500,all-access,user,30
en.wikipedia,Wang_Danfeng,daily,2018052600,all-access,user,33
en.wikipedia,Wang_Danfeng,daily,2018052700,all-access,user,36
en.wikipedia,Wang_Danfeng,daily,2018052800,all-access,user,66
en.wikipedia,Wang_Danfeng,daily,2018052900,all-access,user,65
en.wikipedia,Wang_Danfeng,daily,2018053000,all-access,user,35
en.wikipedia,Wang_Danfeng,daily,2018053100,all-access,user,40
en.wikipedia,Wang_Danfeng,daily,2018060100,all-access,user,28
en.wikipedia,Wang_Danfeng,daily,2018060200,all-access,user,31
en.wikipedia,Wang_Danfeng,daily,2018060300,all-access,user,24
en.wikipedia,Wang_Danfeng,daily,2018060400,all-access,user,32
en.wikipedia,Wang_Danfeng,daily,2018060500,all-access,user,31
en.wikipedia,Wang_Danfeng,daily,2018060600,all-access,user,17
en.wikipedia,Wang_Danfeng,daily,2018060700,all-access,user,28
en.wikipedia,Wang_Danfeng,daily,2018060800,all-access,user,37
en.wikipedia,Wang_Danfeng,daily,2018060900,all-access,user,29
en.wikipedia,Wang_Danfeng,daily,2018061000,all-access,user,12
en.wikipedia,Wang_Danfeng,daily,2018061100,all-access,user,24
en.wikipedia,Wang_Danfeng,daily,2018061200,all-access,user,19
en.wikipedia,Wang_Danfeng,daily,2018061300,all-access,user,11
en.wikipedia,Wang_Danfeng,daily,2018061400,all-access,user,18
en.wikipedia,Wang_Danfeng,daily,2018061500,all-access,user,17
en.wikipedia,Wang_Danfeng,daily,2018061600,all-access,user,9
en.wikipedia,Wang_Danfeng,daily,2018061700,all-access,user,16
en.wikipedia,Wang_Danfeng,daily,2018061800,all-access,user,18
en.wikipedia,Wang_Danfeng,daily,2018061900,all-access,user,11
en.wikipedia,Wang_Danfeng,daily,2018062000,all-access,user,8
en.wikipedia,Wang_Danfeng,daily,2018062100,all-access,user,11
en.wikipedia,Wang_Danfeng,daily,2018062200,all-access,user,17
en.wikipedia,Wang_Danfeng,daily,2018062300,all-access,user,11
en.wikipedia,Wang_Danfeng,daily,2018062400,all-access,user,10
en.wikipedia,Wang_Danfeng,daily,2018062500,all-access,user,11
en.wikipedia,Wang_Danfeng,daily,2018062600,all-access,user,11
