project,article,granularity,timestamp,access,agent,views
en.wikipedia,Whitey_Bulger,daily,2015070100,all-access,user,4715
en.wikipedia,Whitey_Bulger,daily,2015070200,all-access,user,4390
en.wikipedia,Whitey_Bulger,daily,2015070300,all-access,user,3347
en.wikipedia,Whitey_Bulger,daily,2015070400,all-access,user,3149
en.wikipedia,Whitey_Bulger,daily,2015070500,all-access,user,3177
en.wikipedia,Whitey_Bulger,daily,2015070600,all-access,user,3476
en.wikipedia,Whitey_Bulger,daily,2015070700,all-access,user,3137
en.wikipedia,Whitey_Bulger,daily,2015070800,all-access,user,3199
en.wikipedia,Whitey_Bulger,daily,2015070900,all-access,user,3017
en.wikipedia,Whitey_Bulger,daily,2015071000,all-access,user,3063
en.wikipedia,Whitey_Bulger,daily,2015071100,all-access,user,2898
en.wikipedia,Whitey_Bulger,daily,2015071200,all-access,user,4594
en.wikipedia,Whitey_Bulger,daily,2015071300,all-access,user,5342
en.wikipedia,Whitey_Bulger,daily,2015071400,all-access,user,4430
en.wikipedia,Whitey_Bulger,daily,2015071500,all-access,user,4373
en.wikipedia,Whitey_Bulger,daily,2015071600,all-access,user,4337
en.wikipedia,Whitey_Bulger,daily,2015071700,all-access,user,4409
en.wikipedia,Whitey_Bulger,daily,2015071800,all-access,user,4518
en.wikipedia,Whitey_Bulger,daily,2015071900,all-access,user,5337
en.wikipedia,Whitey_Bulger,daily,2015072000,all-access,user,6083
en.wikipedia,Whitey_Bulger,daily,2015072100,all-access,user,6862
en.wikipedia,Whitey_Bulger,daily,2015072200,all-access,user,6500
en.wikipedia,Whitey_Bulger,daily,2015072300,all-access,user,6088
en.wikipedia,Whitey_Bulger,daily,2015072400,all-access,user,5716
en.wikipedia,Whitey_Bulger,daily,2015072500,all-access,user,4790
en.wikipedia,Whitey_Bulger,daily,2015072600,all-access,user,17894
en.wikipedia,Whitey_Bulger,daily,2015072700,all-access,user,16389
en.wikipedia,Whitey_Bulger,daily,2015072800,all-access,user,6776
en.wikipedia,Whitey_Bulger,daily,2015072900,all-access,user,7930
en.wikipedia,Whitey_Bulger,daily,2015073000,all-access,user,25995
en.wikipedia,Whitey_Bulger,daily,2015073100,all-access,user,29466
en.wikipedia,Whitey_Bulger,daily,2015080100,all-access,user,13469
en.wikipedia,Whitey_Bulger,daily,2015080200,all-access,user,13606
en.wikipedia,Whitey_Bulger,daily,2015080300,all-access,user,11528
en.wikipedia,Whitey_Bulger,daily,2015080400,all-access,user,8604
en.wikipedia,Whitey_Bulger,daily,2015080500,all-access,user,9219
en.wikipedia,Whitey_Bulger,daily,2015080600,all-access,user,7122
en.wikipedia,Whitey_Bulger,daily,2015080700,all-access,user,10766
en.wikipedia,Whitey_Bulger,daily,2015080800,all-access,user,7303
en.wikipedia,Whitey_Bulger,daily,2015080900,all-access,user,9940
en.wikipedia,Whitey_Bulger,daily,2015081000,all-access,user,22547
en.wikipedia,Whitey_Bulger,daily,2015081100,all-access,user,12950
en.wikipedia,Whitey_Bulger,daily,2015081200,all-access,user,12836
en.wikipedia,Whitey_Bulger,daily,2015081300,all-access,user,13709
en.wikipedia,Whitey_Bulger,daily,2015081400,all-access,user,12286
en.wikipedia,Whitey_Bulger,daily,2015081500,all-access,user,12177
en.wikipedia,Whitey_Bulger,daily,2015081600,all-access,user,17773
en.wikipedia,Whitey_Bulger,daily,2015081700,all-access,user,13014
en.wikipedia,Whitey_Bulger,daily,2015081800,all-access,user,16143
en.wikipedia,Whitey_Bulger,daily,2015081900,all-access,user,15685
en.wikipedia,Whitey_Bulger,daily,2015082000,all-access,user,16974
en.wikipedia,Whitey_Bulger,daily,2015082100,all-access,user,19436
en.wikipedia,Whitey_Bulger,daily,2015082200,all-access,user,13070
en.wikipedia,Whitey_Bulger,daily,2015082300,all-access,user,15264
en.wikipedia,Whitey_Bulger,daily,2015082400,all-access,user,37703
en.wikipedia,Whitey_Bulger,daily,2015082500,all-access,user,37361
en.wikipedia,Whitey_Bulger,daily,2015082600,all-access,user,31574
en.wikipedia,Whitey_Bulger,daily,2015082700,all-access,user,31818
en.wikipedia,Whitey_Bulger,daily,2015082800,all-access,user,29568
en.wikipedia,Whitey_Bulger,daily,2015082900,all-access,user,30434
en.wikipedia,Whitey_Bulger,daily,2015083000,all-access,user,42534
en.wikipedia,Whitey_Bulger,daily,2015083100,all-access,user,45915
en.wikipedia,Whitey_Bulger,daily,2015090100,all-access,user,32257
en.wikipedia,Whitey_Bulger,daily,2015090200,all-access,user,30144
en.wikipedia,Whitey_Bulger,daily,2015090300,all-access,user,28026
en.wikipedia,Whitey_Bulger,daily,2015090400,all-access,user,53581
en.wikipedia,Whitey_Bulger,daily,2015090500,all-access,user,63037
en.wikipedia,Whitey_Bulger,daily,2015090600,all-access,user,58887
en.wikipedia,Whitey_Bulger,daily,2015090700,all-access,user,70639
en.wikipedia,Whitey_Bulger,daily,2015090800,all-access,user,71382
en.wikipedia,Whitey_Bulger,daily,2015090900,all-access,user,52385
en.wikipedia,Whitey_Bulger,daily,2015091000,all-access,user,47091
en.wikipedia,Whitey_Bulger,daily,2015091100,all-access,user,76659
en.wikipedia,Whitey_Bulger,daily,2015091200,all-access,user,64056
en.wikipedia,Whitey_Bulger,daily,2015091300,all-access,user,82280
en.wikipedia,Whitey_Bulger,daily,2015091400,all-access,user,122572
en.wikipedia,Whitey_Bulger,daily,2015091500,all-access,user,104968
en.wikipedia,Whitey_Bulger,daily,2015091600,all-access,user,85210
en.wikipedia,Whitey_Bulger,daily,2015091700,all-access,user,121054
en.wikipedia,Whitey_Bulger,daily,2015091800,all-access,user,220105
en.wikipedia,Whitey_Bulger,daily,2015091900,all-access,user,242699
en.wikipedia,Whitey_Bulger,daily,2015092000,all-access,user,267037
en.wikipedia,Whitey_Bulger,daily,2015092100,all-access,user,140029
en.wikipedia,Whitey_Bulger,daily,2015092200,all-access,user,98734
en.wikipedia,Whitey_Bulger,daily,2015092300,all-access,user,107466
en.wikipedia,Whitey_Bulger,daily,2015092400,all-access,user,97385
en.wikipedia,Whitey_Bulger,daily,2015092500,all-access,user,95335
en.wikipedia,Whitey_Bulger,daily,2015092600,all-access,user,84481
en.wikipedia,Whitey_Bulger,daily,2015092700,all-access,user,88031
en.wikipedia,Whitey_Bulger,daily,2015092800,all-access,user,54255
en.wikipedia,Whitey_Bulger,daily,2015092900,all-access,user,36387
en.wikipedia,Whitey_Bulger,daily,2015093000,all-access,user,40423
en.wikipedia,Whitey_Bulger,daily,2015100100,all-access,user,44378
en.wikipedia,Whitey_Bulger,daily,2015100200,all-access,user,68830
en.wikipedia,Whitey_Bulger,daily,2015100300,all-access,user,72403
en.wikipedia,Whitey_Bulger,daily,2015100400,all-access,user,88741
en.wikipedia,Whitey_Bulger,daily,2015100500,all-access,user,67240
en.wikipedia,Whitey_Bulger,daily,2015100600,all-access,user,49958
en.wikipedia,Whitey_Bulger,daily,2015100700,all-access,user,48473
en.wikipedia,Whitey_Bulger,daily,2015100800,all-access,user,40309
en.wikipedia,Whitey_Bulger,daily,2015100900,all-access,user,40334
en.wikipedia,Whitey_Bulger,daily,2015101000,all-access,user,54887
en.wikipedia,Whitey_Bulger,daily,2015101100,all-access,user,60093
en.wikipedia,Whitey_Bulger,daily,2015101200,all-access,user,46255
en.wikipedia,Whitey_Bulger,daily,2015101300,all-access,user,41182
en.wikipedia,Whitey_Bulger,daily,2015101400,all-access,user,33638
en.wikipedia,Whitey_Bulger,daily,2015101500,all-access,user,31587
en.wikipedia,Whitey_Bulger,daily,2015101600,all-access,user,29325
en.wikipedia,Whitey_Bulger,daily,2015101700,all-access,user,35787
en.wikipedia,Whitey_Bulger,daily,2015101800,all-access,user,40937
en.wikipedia,Whitey_Bulger,daily,2015101900,all-access,user,31823
en.wikipedia,Whitey_Bulger,daily,2015102000,all-access,user,23979
en.wikipedia,Whitey_Bulger,daily,2015102100,all-access,user,21866
en.wikipedia,Whitey_Bulger,daily,2015102200,all-access,user,20014
en.wikipedia,Whitey_Bulger,daily,2015102300,all-access,user,20640
en.wikipedia,Whitey_Bulger,daily,2015102400,all-access,user,24390
en.wikipedia,Whitey_Bulger,daily,2015102500,all-access,user,26674
en.wikipedia,Whitey_Bulger,daily,2015102600,all-access,user,21378
en.wikipedia,Whitey_Bulger,daily,2015102700,all-access,user,17237
en.wikipedia,Whitey_Bulger,daily,2015102800,all-access,user,15597
en.wikipedia,Whitey_Bulger,daily,2015102900,all-access,user,14999
en.wikipedia,Whitey_Bulger,daily,2015103000,all-access,user,15012
en.wikipedia,Whitey_Bulger,daily,2015103100,all-access,user,17718
en.wikipedia,Whitey_Bulger,daily,2015110100,all-access,user,20845
en.wikipedia,Whitey_Bulger,daily,2015110200,all-access,user,17077
en.wikipedia,Whitey_Bulger,daily,2015110300,all-access,user,13598
en.wikipedia,Whitey_Bulger,daily,2015110400,all-access,user,13328
en.wikipedia,Whitey_Bulger,daily,2015110500,all-access,user,13592
en.wikipedia,Whitey_Bulger,daily,2015110600,all-access,user,12048
en.wikipedia,Whitey_Bulger,daily,2015110700,all-access,user,15175
en.wikipedia,Whitey_Bulger,daily,2015110800,all-access,user,17245
en.wikipedia,Whitey_Bulger,daily,2015110900,all-access,user,15151
en.wikipedia,Whitey_Bulger,daily,2015111000,all-access,user,14708
en.wikipedia,Whitey_Bulger,daily,2015111100,all-access,user,13529
en.wikipedia,Whitey_Bulger,daily,2015111200,all-access,user,15861
en.wikipedia,Whitey_Bulger,daily,2015111300,all-access,user,15159
en.wikipedia,Whitey_Bulger,daily,2015111400,all-access,user,14961
en.wikipedia,Whitey_Bulger,daily,2015111500,all-access,user,18798
en.wikipedia,Whitey_Bulger,daily,2015111600,all-access,user,14160
en.wikipedia,Whitey_Bulger,daily,2015111700,all-access,user,12815
en.wikipedia,Whitey_Bulger,daily,2015111800,all-access,user,13189
en.wikipedia,Whitey_Bulger,daily,2015111900,all-access,user,12164
en.wikipedia,Whitey_Bulger,daily,2015112000,all-access,user,11724
en.wikipedia,Whitey_Bulger,daily,2015112100,all-access,user,15101
en.wikipedia,Whitey_Bulger,daily,2015112200,all-access,user,20445
en.wikipedia,Whitey_Bulger,daily,2015112300,all-access,user,16462
en.wikipedia,Whitey_Bulger,daily,2015112400,all-access,user,19030
en.wikipedia,Whitey_Bulger,daily,2015112500,all-access,user,20375
en.wikipedia,Whitey_Bulger,daily,2015112600,all-access,user,18210
en.wikipedia,Whitey_Bulger,daily,2015112700,all-access,user,26864
en.wikipedia,Whitey_Bulger,daily,2015112800,all-access,user,29121
en.wikipedia,Whitey_Bulger,daily,2015112900,all-access,user,30882
en.wikipedia,Whitey_Bulger,daily,2015113000,all-access,user,20958
en.wikipedia,Whitey_Bulger,daily,2015120100,all-access,user,15998
en.wikipedia,Whitey_Bulger,daily,2015120200,all-access,user,14431
en.wikipedia,Whitey_Bulger,daily,2015120300,all-access,user,12536
en.wikipedia,Whitey_Bulger,daily,2015120400,all-access,user,14551
en.wikipedia,Whitey_Bulger,daily,2015120500,all-access,user,15951
en.wikipedia,Whitey_Bulger,daily,2015120600,all-access,user,17408
en.wikipedia,Whitey_Bulger,daily,2015120700,all-access,user,12877
en.wikipedia,Whitey_Bulger,daily,2015120800,all-access,user,10809
en.wikipedia,Whitey_Bulger,daily,2015120900,all-access,user,9649
en.wikipedia,Whitey_Bulger,daily,2015121000,all-access,user,10374
en.wikipedia,Whitey_Bulger,daily,2015121100,all-access,user,10379
en.wikipedia,Whitey_Bulger,daily,2015121200,all-access,user,11183
en.wikipedia,Whitey_Bulger,daily,2015121300,all-access,user,12340
en.wikipedia,Whitey_Bulger,daily,2015121400,all-access,user,10442
en.wikipedia,Whitey_Bulger,daily,2015121500,all-access,user,8376
en.wikipedia,Whitey_Bulger,daily,2015121600,all-access,user,8138
en.wikipedia,Whitey_Bulger,daily,2015121700,all-access,user,7641
en.wikipedia,Whitey_Bulger,daily,2015121800,all-access,user,7064
en.wikipedia,Whitey_Bulger,daily,2015121900,all-access,user,8757
en.wikipedia,Whitey_Bulger,daily,2015122000,all-access,user,9680
en.wikipedia,Whitey_Bulger,daily,2015122100,all-access,user,7978
en.wikipedia,Whitey_Bulger,daily,2015122200,all-access,user,7908
en.wikipedia,Whitey_Bulger,daily,2015122300,all-access,user,7548
en.wikipedia,Whitey_Bulger,daily,2015122400,all-access,user,8219
en.wikipedia,Whitey_Bulger,daily,2015122500,all-access,user,7324
en.wikipedia,Whitey_Bulger,daily,2015122600,all-access,user,9438
en.wikipedia,Whitey_Bulger,daily,2015122700,all-access,user,10118
en.wikipedia,Whitey_Bulger,daily,2015122800,all-access,user,35224
en.wikipedia,Whitey_Bulger,daily,2015122900,all-access,user,11889
en.wikipedia,Whitey_Bulger,daily,2015123000,all-access,user,10213
en.wikipedia,Whitey_Bulger,daily,2015123100,all-access,user,8673
en.wikipedia,Whitey_Bulger,daily,2016010100,all-access,user,9364
en.wikipedia,Whitey_Bulger,daily,2016010200,all-access,user,14285
en.wikipedia,Whitey_Bulger,daily,2016010300,all-access,user,13989
en.wikipedia,Whitey_Bulger,daily,2016010400,all-access,user,11988
en.wikipedia,Whitey_Bulger,daily,2016010500,all-access,user,9838
en.wikipedia,Whitey_Bulger,daily,2016010600,all-access,user,8912
en.wikipedia,Whitey_Bulger,daily,2016010700,all-access,user,9259
en.wikipedia,Whitey_Bulger,daily,2016010800,all-access,user,9315
en.wikipedia,Whitey_Bulger,daily,2016010900,all-access,user,10561
en.wikipedia,Whitey_Bulger,daily,2016011000,all-access,user,11331
en.wikipedia,Whitey_Bulger,daily,2016011100,all-access,user,10234
en.wikipedia,Whitey_Bulger,daily,2016011200,all-access,user,15128
en.wikipedia,Whitey_Bulger,daily,2016011300,all-access,user,21311
en.wikipedia,Whitey_Bulger,daily,2016011400,all-access,user,22228
en.wikipedia,Whitey_Bulger,daily,2016011500,all-access,user,21450
en.wikipedia,Whitey_Bulger,daily,2016011600,all-access,user,28253
