project,article,granularity,timestamp,access,agent,views
en.wikipedia,XXXTentacion,daily,2016071900,all-access,user,34
en.wikipedia,XXXTentacion,daily,2016072000,all-access,user,1
en.wikipedia,XXXTentacion,daily,2017040600,all-access,user,3226
en.wikipedia,XXXTentacion,daily,2017040700,all-access,user,5148
en.wikipedia,XXXTentacion,daily,2017040800,all-access,user,10791
en.wikipedia,XXXTentacion,daily,2017040900,all-access,user,15215
en.wikipedia,XXXTentacion,daily,2017041000,all-access,user,14762
en.wikipedia,XXXTentacion,daily,2017041100,all-access,user,13545
en.wikipedia,XXXTentacion,daily,2017041200,all-access,user,17710
en.wikipedia,XXXTentacion,daily,2017041300,all-access,user,12052
en.wikipedia,XXXTentacion,daily,2017041400,all-access,user,11025
en.wikipedia,XXXTentacion,daily,2017041500,all-access,user,9638
en.wikipedia,XXXTentacion,daily,2017041600,all-access,user,9513
en.wikipedia,XXXTentacion,daily,2017041700,all-access,user,11636
en.wikipedia,XXXTentacion,daily,2017041800,all-access,user,11552
en.wikipedia,XXXTentacion,daily,2017041900,all-access,user,10294
en.wikipedia,XXXTentacion,daily,2017042000,all-access,user,10514
en.wikipedia,XXXTentacion,daily,2017042100,all-access,user,8946
en.wikipedia,XXXTentacion,daily,2017042200,all-access,user,8032
en.wikipedia,XXXTentacion,daily,2017042300,all-access,user,9629
en.wikipedia,XXXTentacion,daily,2017042400,all-access,user,10505
en.wikipedia,XXXTentacion,daily,2017042500,all-access,user,9865
en.wikipedia,XXXTentacion,daily,2017042600,all-access,user,9123
en.wikipedia,XXXTentacion,daily,2017042700,all-access,user,9360
en.wikipedia,XXXTentacion,daily,2017042800,all-access,user,8010
en.wikipedia,XXXTentacion,daily,2017042900,all-access,user,7775
en.wikipedia,XXXTentacion,daily,2017043000,all-access,user,9010
en.wikipedia,XXXTentacion,daily,2017050100,all-access,user,8901
en.wikipedia,XXXTentacion,daily,2017050200,all-access,user,9567
en.wikipedia,XXXTentacion,daily,2017050300,all-access,user,8334
en.wikipedia,XXXTentacion,daily,2017050400,all-access,user,8660
en.wikipedia,XXXTentacion,daily,2017050500,all-access,user,8022
en.wikipedia,XXXTentacion,daily,2017050600,all-access,user,8238
en.wikipedia,XXXTentacion,daily,2017050700,all-access,user,13283
en.wikipedia,XXXTentacion,daily,2017050800,all-access,user,18239
en.wikipedia,XXXTentacion,daily,2017050900,all-access,user,14081
en.wikipedia,XXXTentacion,daily,2017051000,all-access,user,11681
en.wikipedia,XXXTentacion,daily,2017051100,all-access,user,11704
en.wikipedia,XXXTentacion,daily,2017051200,all-access,user,13370
en.wikipedia,XXXTentacion,daily,2017051300,all-access,user,12446
en.wikipedia,XXXTentacion,daily,2017051400,all-access,user,11550
en.wikipedia,XXXTentacion,daily,2017051500,all-access,user,13309
en.wikipedia,XXXTentacion,daily,2017051600,all-access,user,10584
en.wikipedia,XXXTentacion,daily,2017051700,all-access,user,10190
en.wikipedia,XXXTentacion,daily,2017051800,all-access,user,10539
en.wikipedia,XXXTentacion,daily,2017051900,all-access,user,12877
en.wikipedia,XXXTentacion,daily,2017052000,all-access,user,11576
en.wikipedia,XXXTentacion,daily,2017052100,all-access,user,11418
en.wikipedia,XXXTentacion,daily,2017052200,all-access,user,11961
en.wikipedia,XXXTentacion,daily,2017052300,all-access,user,12464
en.wikipedia,XXXTentacion,daily,2017052400,all-access,user,14236
en.wikipedia,XXXTentacion,daily,2017052500,all-access,user,11645
en.wikipedia,XXXTentacion,daily,2017052600,all-access,user,9513
en.wikipedia,XXXTentacion,daily,2017052700,all-access,user,8563
en.wikipedia,XXXTentacion,daily,2017052800,all-access,user,9150
en.wikipedia,XXXTentacion,daily,2017052900,all-access,user,9357
en.wikipedia,XXXTentacion,daily,2017053000,all-access,user,10086
en.wikipedia,XXXTentacion,daily,2017053100,all-access,user,9299
