project,access,agent,granularity,timestamp,views
en.wikipedia,all-access,user,daily,2015070100,243497551
en.wikipedia,all-access,user,daily,2015070200,241866978
en.wikipedia,all-access,user,daily,2015070300,226919786
en.wikipedia,all-access,user,daily,2015070400,226583272
en.wikipedia,all-access,user,daily,2015070500,240912348
en.wikipedia,all-access,user,daily,2015070600,269069794
en.wikipedia,all-access,user,daily,2015070700,258154609
en.wikipedia,all-access,user,daily,2015070800,251655648
en.wikipedia,all-access,user,daily,2015070900,247520462
en.wikipedia,all-access,user,daily,2015071000,243476493
en.wikipedia,all-access,user,daily,2015071100,230702775
en.wikipedia,all-access,user,daily,2015071200,252692016
en.wikipedia,all-access,user,daily,2015071300,261379918
en.wikipedia,all-access,user,daily,2015071400,260845547
en.wikipedia,all-access,user,daily,2015071500,251635024
en.wikipedia,all-access,user,daily,2015071600,246994967
en.wikipedia,all-access,user,daily,2015071700,234952802
en.wikipedia,all-access,user,daily,2015071800,227727080
en.wikipedia,all-access,user,daily,2015071900,244964019
en.wikipedia,all-access,user,daily,2015072000,259802781
en.wikipedia,all-access,user,daily,2015072100,252873968
en.wikipedia,all-access,user,daily,2015072200,249171981
en.wikipedia,all-access,user,daily,2015072300,249719091
en.wikipedia,all-access,user,daily,2015072400,242932359
en.wikipedia,all-access,user,daily,2015072500,235267986
en.wikipedia,all-access,user,daily,2015072600,248140851
en.wikipedia,all-access,user,daily,2015072700,258529123
en.wikipedia,all-access,user,daily,2015072800,258683054
en.wikipedia,all-access,user,daily,2015072900,264336559
en.wikipedia,all-access,user,daily,2015073000,246860213
en.wikipedia,all-access,user,daily,2015073100,237552925
en.wikipedia,all-access,user,daily,2015080100,226800870
en.wikipedia,all-access,user,daily,2015080200,239656517
en.wikipedia,all-access,user,daily,2015080300,228375350
en.wikipedia,all-access,user,daily,2015080400,250010790
en.wikipedia,all-access,user,daily,2015080500,249349340
en.wikipedia,all-access,user,daily,2015080600,246613997
en.wikipedia,all-access,user,daily,2015080700,246034293
en.wikipedia,all-access,user,daily,2015080800,231022687
en.wikipedia,all-access,user,daily,2015080900,248951046
en.wikipedia,all-access,user,daily,2015081000,247047000
en.wikipedia,all-access,user,daily,2015081100,253841323
en.wikipedia,all-access,user,daily,2015081200,249387622
en.wikipedia,all-access,user,daily,2015081300,247062254
en.wikipedia,all-access,user,daily,2015081400,240888656
en.wikipedia,all-access,user,daily,2015081500,230497886
en.wikipedia,all-access,user,daily,2015081600,250034184
en.wikipedia,all-access,user,daily,2015081700,261042938
en.wikipedia,all-access,user,daily,2015081800,256559156
en.wikipedia,all-access,user,daily,2015081900,252688334
en.wikipedia,all-access,user,daily,2015082000,249434064
en.wikipedia,all-access,user,daily,2015082100,242479338
en.wikipedia,all-access,user,daily,2015082200,230811252
en.wikipedia,all-access,user,daily,2015082300,252886340
en.wikipedia,all-access,user,daily,2015082400,261039667
en.wikipedia,all-access,user,daily,2015082500,258761786
en.wikipedia,all-access,user,daily,2015082600,254101370
en.wikipedia,all-access,user,daily,2015082700,245831137
en.wikipedia,all-access,user,daily,2015082800,240464889
en.wikipedia,all-access,user,daily,2015082900,230416295
en.wikipedia,all-access,user,daily,2015083000,247881805
en.wikipedia,all-access,user,daily,2015083100,264843035
en.wikipedia,all-access,user,daily,2015090100,252926303
en.wikipedia,all-access,user,daily,2015090200,256337644
en.wikipedia,all-access,user,daily,2015090300,259181927
en.wikipedia,all-access,user,daily,2015090400,246656953
en.wikipedia,all-access,user,daily,2015090500,240140754
en.wikipedia,all-access,user,daily,2015090600,261547228
en.wikipedia,all-access,user,daily,2015090700,280607166
en.wikipedia,all-access,user,daily,2015090800,292600143
en.wikipedia,all-access,user,daily,2015090900,267391872
en.wikipedia,all-access,user,daily,2015091000,255912725
en.wikipedia,all-access,user,daily,2015091100,258604993
en.wikipedia,all-access,user,daily,2015091200,247387657
en.wikipedia,all-access,user,daily,2015091300,267025866
en.wikipedia,all-access,user,daily,2015091400,272400818
en.wikipedia,all-access,user,daily,2015091500,269106706
en.wikipedia,all-access,user,daily,2015091600,247869373
en.wikipedia,all-access,user,daily,2015091700,251305605
en.wikipedia,all-access,user,daily,2015091800,238067221
en.wikipedia,all-access,user,daily,2015091900,228698100
en.wikipedia,all-access,user,daily,2015092000,253655851
en.wikipedia,all-access,user,daily,2015092100,266806347
en.wikipedia,all-access,user,daily,2015092200,256616975
en.wikipedia,all-access,user,daily,2015092300,254380575
en.wikipedia,all-access,user,daily,2015092400,248737740
en.wikipedia,all-access,user,daily,2015092500,239108699
en.wikipedia,all-access,user,daily,2015092600,224282227
en.wikipedia,all-access,user,daily,2015092700,245736719
en.wikipedia,all-access,user,daily,2015092800,264016747
en.wikipedia,all-access,user,daily,2015092900,256642184
en.wikipedia,all-access,user,daily,2015093000,251941919
en.wikipedia,all-access,user,daily,2015100100,238845634
en.wikipedia,all-access,user,daily,2015100200,234121441
en.wikipedia,all-access,user,daily,2015100300,221478394
en.wikipedia,all-access,user,daily,2015100400,244396567
en.wikipedia,all-access,user,daily,2015100500,259720123
en.wikipedia,all-access,user,daily,2015100600,262502284
en.wikipedia,all-access,user,daily,2015100700,261144512
en.wikipedia,all-access,user,daily,2015100800,253684153
en.wikipedia,all-access,user,daily,2015100900,240085034
en.wikipedia,all-access,user,daily,2015101000,228090660
en.wikipedia,all-access,user,daily,2015101100,244687728
en.wikipedia,all-access,user,daily,2015101200,265428342
en.wikipedia,all-access,user,daily,2015101300,265408182
en.wikipedia,all-access,user,daily,2015101400,262880270
en.wikipedia,all-access,user,daily,2015101500,253972086
en.wikipedia,all-access,user,daily,2015101600,238920598
en.wikipedia,all-access,user,daily,2015101700,226143828
en.wikipedia,all-access,user,daily,2015101800,249614981
en.wikipedia,all-access,user,daily,2015101900,266948319
en.wikipedia,all-access,user,daily,2015102000,268204292
en.wikipedia,all-access,user,daily,2015102100,259478470
en.wikipedia,all-access,user,daily,2015102200,258182519
en.wikipedia,all-access,user,daily,2015102300,248363326
en.wikipedia,all-access,user,daily,2015102400,230870391
en.wikipedia,all-access,user,daily,2015102500,251712929
en.wikipedia,all-access,user,daily,2015102600,264693228
en.wikipedia,all-access,user,daily,2015102700,263104847
en.wikipedia,all-access,user,daily,2015102800,257566202
en.wikipedia,all-access,user,daily,2015102900,254951606
en.wikipedia,all-access,user,daily,2015103000,242440748
en.wikipedia,all-access,user,daily,2015103100,228390193
en.wikipedia,all-access,user,daily,2015110100,244925316
